	"upgrade_cost"		"Upgrade:"
	"tech_points"	"Tech Points"

	"jex_onibi"		"Jex Onibi"
	"jex_charged_mushroom"			"Charged Sproutling"
	"jex_thunder_blossom"			"Thunder Blossom"

	"tooltip_jex_q"					"[Q] Ability"
	"tooltip_jex_w"					"[W] Ability"
	"tooltip_jex_e"					"[E] Ability"

	"DOTA_Tooltip_ability_onibi_nature_1"		"Nature Module"
	"DOTA_Tooltip_ability_onibi_nature_1_Description"		"Enables the activation of Nature abilities. Enemies who die near Jex will leave behind shrubs for harvesting."

	"DOTA_Tooltip_ability_onibi_nature_2"		"Nature Module"
	"DOTA_Tooltip_ability_onibi_nature_2_Description"		"Enables the activation of Nature abilities. Enemies who die near Jex will leave behind shrubs for harvesting."

	"DOTA_Tooltip_ability_onibi_lightning_1"		"Lightning Module"
	"DOTA_Tooltip_ability_onibi_lightning_1_Description"		"Enables the activation of Lightning abilities. Enemies who die near Jex will leave behind thunderflowers for harvesting."

	"DOTA_Tooltip_ability_onibi_lightning_2"		"Lightning Module"
	"DOTA_Tooltip_ability_onibi_lightning_2_Description"		"Enables the activation of Lightning abilities. Enemies who die near Jex will leave behind thunderflowers for harvesting."

	"DOTA_Tooltip_ability_onibi_cosmic_1"		"Cosmic Module"
	"DOTA_Tooltip_ability_onibi_cosmic_1_Description"		"Enables the activation of Cosmic abilities. Enemies who die near Jex will leave behind galaxy mushroom for harvesting."

	"DOTA_Tooltip_ability_onibi_cosmic_2"		"Cosmic Module"
	"DOTA_Tooltip_ability_onibi_cosmic_2_Description"		"Enables the activation of Cosmic abilities. Enemies who die near Jex will leave behind galaxy mushroom for harvesting."

	"DOTA_Tooltip_ability_onibi_q"				"Q Activator"
	"DOTA_Tooltip_ability_onibi_q_Description"	"Onibi synthesizes his elemental modules and grants a new [Q] ability for Jex."

	"DOTA_Tooltip_ability_onibi_w"				"W Activator"
	"DOTA_Tooltip_ability_onibi_w_Description"	"Onibi synthesizes his elemental modules and grants a new [W] ability for Jex."

	"DOTA_Tooltip_ability_onibi_e"				"E Activator"
	"DOTA_Tooltip_ability_onibi_e_Description"	"Onibi synthesizes his elemental modules and grants a new [E] ability for Jex."

	"DOTA_Tooltip_ability_onibi_invoke"			"Module Activation"
	"DOTA_Tooltip_ability_onibi_invoke_Description"	"Onibi synthesizes his elemental modules and grants a new ability for Jex."

	"DOTA_Tooltip_ability_jex_base_cannon_nature"	"Base Cannon: Nature"
	"DOTA_Tooltip_ability_jex_base_cannon_nature_Description"	"Element: <font color=\"#69BC71\">Nature</font><br>Target an enemy and deal damage."
	"DOTA_Tooltip_ability_jex_base_cannon_nature_damage"		"DAMAGE:"

	"DOTA_Tooltip_ability_jex_base_cannon_lightning"	"Base Cannon: Lightning"
	"DOTA_Tooltip_ability_jex_base_cannon_lightning_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font><br>Target an enemy and deal damage."
	"DOTA_Tooltip_ability_jex_base_cannon_lightning_damage"		"DAMAGE:"

	"DOTA_Tooltip_ability_jex_base_cannon_cosmic"	"Base Cannon: Cosmic"
	"DOTA_Tooltip_ability_jex_base_cannon_cosmic_Description"	"Element: <font color=\"#C25DFC\">Cosmic</font><br>Target an enemy and deal damage."
	"DOTA_Tooltip_ability_jex_base_cannon_cosmic_damage"		"DAMAGE:"

	"DOTA_Tooltip_ability_jex_essence_harvest"	"Essence Harvest"
	"DOTA_Tooltip_ability_jex_essence_harvest_Description"	"Jex selects an area and harvests the biological matter within. The resulting harvest is transferred to Onibi in order to grant him permanent upgrades. Onibi's tech allocation persists through game sessions after saving. Use the website to reset Onibi to level 1."
	"DOTA_Tooltip_ability_jex_essence_harvest_aoe_radius"	"HARVEST RADIUS:"

	"DOTA_Tooltip_ability_jex_cosmic_nature_q"				"Cosmic Barrier"
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_Description"	"Jex forms a spatial barrier that provides magic immunity for the duration."	
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_per_tech"	"<font color=\"#f4b942\">DURATION PER TECH LEVEL</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_base"		"DURATION BASE:"
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_q_4_damage_reduction_pct"	"%<font color=\"#7DFF12\">[Q4] Damage reduction while Cosmic Barrier is active</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_nature_q_e_4_chance_to_add_time"	"%<font color=\"#7DFF12\">[E4] Taking damage with Cosmic Barrier active has chance to add 0.5 seconds to barrier's remaining duration</font>:"

	"DOTA_Tooltip_modifier_jex_magic_immunity"				"Cosmic Barrier"
	"DOTA_Tooltip_modifier_jex_magic_immunity_Description"	"Magic Immune"	

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q"					"Galaxy Laser"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_Description"		"Element: <font color=\"#C25DFC\">Cosmic</font><br>Jex powers up and fires a galactic laser toward the target location. Enemies closer to the starting point of the beam can take multiple instances of damage depending on the beam's total length. Enemies who are hit by the beam receive a debuff that makes them take increased post-mitigation damage from all sources."

	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_attack_damage_added_per_tech"		"%<font color=\"#f4b942\">ATTACK DAMAGE ADDED TO LASER BASE DAMAGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_postmitigation_per_tech"			"%<font color=\"#f4b942\">POST-MITIGATION DAMAGE DEBUFF PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_damage"							"BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_cast_range"						"CAST RANGE:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_debuff_duration"					"DEBUFF DURATION:"
	"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_e_4_damage_increase_pct"			"%<font color=\"#7DFF12\">[E4] Laser base damage increase</font>:"

	"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation"			"Galaxy Laser"
	"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation_Description"	"Taking increased post-mitigation damage"

	"DOTA_Tooltip_ability_jex_thunder_thunder_q"				"Wrath of Lightning"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font><br>A ring of electricity flashes around Jex. All enemies inside the area are struck by a bolt of lightning. If there are fewer enemies than the ability's minimum bolts, some enemies will get hit multiple times."
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_attack_damage_per_tech"	"%<font color=\"#f4b942\">ATTACK DAMAGE ADDED TO BASE DAMAGE PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius_per_tech"		"<font color=\"#f4b942\">RADIUS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_minimum_bolts_per_tech"	"<font color=\"#f4b942\">MINIMUM BOLTS PER TECH</font>:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_minimum_bolts_base"		"MINIMUM BOLTS BASE:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_base_damage"			"BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius"					"BASE RADIUS:"		
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_agility_added_to_base_damage"	"AGILITY MULTIPLIER ADDED TO BASE DAMAGE:"
	"DOTA_Tooltip_ability_jex_thunder_thunder_q_w_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[W4] Lightning base damage increase</font>:"

	"DOTA_Tooltip_ability_jex_lightning_cosmic_q"				"Electron Shield"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_Description"	"Quantum electric particles form a barrier around Jex that makes his health unable to drop below a minimum value. Each time the shield is hit, 1 stack is removed."
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_stacks_per_tech"	"<font color=\"#f4b942\">STACKS PER TECH LEVEL</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_min_health"		"MINIMUM HEALTH:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_duration"			"DURATION:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_w_4_bonus_attack_damage_while_shield_active"		"<font color=\"#7DFF12\">[W4] Increased Base Attack Damage while Electron Shield is active</font>:"
	"DOTA_Tooltip_ability_jex_lightning_cosmic_q_e_4_mana_regen_while_shield_active"			"<font color=\"#7DFF12\">[E4] Increased Mana Regen while Electron Shield is active</font>:"

	"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield"							"Electron Shield"
