	"upgrade_cost"		"升级:"
	"tech_points"	"科技点"

	"jex_onibi"		"杰克斯 鬼火"
	"jex_charged_mushroom"			"充能之芽"
	"jex_thunder_blossom"			"雷霆之花"

	"tooltip_jex_q"					"[Q] 技能"
	"tooltip_jex_w"					"[W] 技能"
	"tooltip_jex_e"					"[E] 技能"
	
	"DOTA_Tooltip_ability_onibi_nature_1"				"自然模块"
	"DOTA_Tooltip_ability_onibi_nature_1_Description"		"激活自然技能。敌人在杰克斯附近死亡会留下用于收割的自然之木。"

	"DOTA_Tooltip_ability_onibi_nature_2"				"自然模块"
	"DOTA_Tooltip_ability_onibi_nature_2_Description"		"激活自然技能。敌人在杰克斯附近死亡会留下用于收割的自然之木。 "

	"DOTA_Tooltip_ability_onibi_lightning_1"			"雷霆模块"
	"DOTA_Tooltip_ability_onibi_lightning_1_Description"		"激活闪电技能。敌人在杰克斯附近死亡会留下用于收割的雷霆之花。"

	"DOTA_Tooltip_ability_onibi_lightning_2"			"雷霆模块"
	"DOTA_Tooltip_ability_onibi_lightning_2_Description"		"激活闪电技能。敌人在杰克斯附近死亡会留下用于收割的雷霆之花。"

	"DOTA_Tooltip_ability_onibi_cosmic_1"				"宇宙模块"
	"DOTA_Tooltip_ability_onibi_cosmic_1_Description"		"激活宇宙技能。敌人在杰克斯附近死亡会留下用于收割的银河蘑菇。"

	"DOTA_Tooltip_ability_onibi_cosmic_2"				"宇宙模块"
	"DOTA_Tooltip_ability_onibi_cosmic_2_Description"		"激活宇宙技能。敌人在杰克斯附近死亡会留下用于收割的银河蘑菇。"

	"DOTA_Tooltip_ability_onibi_q"				"Q 激活器"
	"DOTA_Tooltip_ability_onibi_q_Description"	"鬼火将他的元素模块们结合并且给杰克斯提供一个新的技能。模块的激活会应用于杰克斯的Q技能。 "

	"DOTA_Tooltip_ability_onibi_w"				"W 激活器"
	"DOTA_Tooltip_ability_onibi_w_Description"	"鬼火将他的元素模块们结合并且给杰克斯提供一个新的技能。模块的激活会应用于杰克斯的W技能。"

	"DOTA_Tooltip_ability_onibi_e"				"E 激活器"
	"DOTA_Tooltip_ability_onibi_e_Description"	"鬼火将他的元素模块们结合并且给杰克斯提供一个新的技能。模块的激活会应用于杰克斯的E技能。"

	"DOTA_Tooltip_ability_onibi_invoke"			"模块激活器"
	"DOTA_Tooltip_ability_onibi_invoke_Description"	"鬼火将他的元素模块们结合并且给杰克斯提供一个新的技能。"

	"DOTA_Tooltip_ability_jex_base_cannon_nature"	"基础加农：自然"
	"DOTA_Tooltip_ability_jex_base_cannon_nature_Description"	"元素： <font color=\"#69BC71\">自然</font><br>指定一个敌人并对其造成伤害。"
	"DOTA_Tooltip_ability_jex_base_cannon_nature_damage"		"伤害："

	"DOTA_Tooltip_ability_jex_base_cannon_lightning"	"基础加农：雷霆"
	"DOTA_Tooltip_ability_jex_base_cannon_lightning_Description"	"元素： <font color=\"#5CCDF9\">电</font><br>指定一个敌人并对其造成伤害。"
