		"tooltip_warlord_q_abilities"									"石像形态，寒冰护盾和烈火奔腾"

    	"DOTA_Tooltip_modifier_warlord_earth_charge"					"大地能量"
    	"DOTA_Tooltip_modifier_warlord_earth_charge_Description"		"每层大地能量将提高土元素伤害百分之6。施放元素主宰（R技能）时将释放大地能量"

    	"DOTA_Tooltip_modifier_warlord_ice_charge"						"寒冰能量"
    	"DOTA_Tooltip_modifier_warlord_ice_charge_Description"			"每层寒冰能量将提高冰元素伤害百分之6。施放元素主宰（R技能）时将释放寒冰能量"

    	"DOTA_Tooltip_modifier_warlord_fire_charge"						"火焰能量"
    	"DOTA_Tooltip_modifier_warlord_fire_charge_Description"			"每层火焰能量将提高火元素伤害百分之6。施放元素主宰（R技能）时将释放火焰能量"

    	"DOTA_Tooltip_ability_warlord_stone_form"						"石像形态"
    	"DOTA_Tooltip_ability_warlord_stone_form_Description"			"将督军的皮肤石化,难以移动，但同时祛除所有负面魔法效果，魔法免疫。"
    	"DOTA_Tooltip_ability_warlord_stone_form_duration"				"持续时间："
    	"DOTA_Tooltip_ability_warlord_stone_form_move_slow_percentage"	"移动速度降低："

    	"DOTA_Tooltip_modifier_warlord_stone_form"						"石像形态"
    	"DOTA_Tooltip_modifier_warlord_stone_form_Description"			"魔法免疫且移动速度降低"	
    	
    	"DOTA_Tooltip_ability_warlord_ice_shell"						"寒冰护盾"
    	"DOTA_Tooltip_ability_warlord_ice_shell_Description"			"督军获得一层寒冰护盾，可吸收魔法伤害。"
    	"DOTA_Tooltip_ability_warlord_ice_shell_duration"				"持续时间："
    	"DOTA_Tooltip_ability_warlord_ice_shell_magic_instances_absorbed"	"伤害吸收次数："

    	"DOTA_Tooltip_modifier_warlord_ice_shell"						"寒冰护盾"
    	"DOTA_Tooltip_modifier_warlord_ice_shell_Description"			"吸收魔法伤害"

    	"DOTA_Tooltip_ability_warlord_flame_rush"						"烈火奔腾"
    	"DOTA_Tooltip_ability_warlord_flame_rush_Description"			"内心的火焰激发了督军的斗志，提高其攻击力、移动速度和攻击速度。"
    	"DOTA_Tooltip_ability_warlord_flame_rush_duration"				"持续时间："
    	"DOTA_Tooltip_ability_warlord_flame_rush_basedamage_increase"	"基础攻击力提高："
    	"DOTA_Tooltip_ability_warlord_flame_rush_attackspeed_increase"	"攻击速度提高："
    	"DOTA_Tooltip_ability_warlord_flame_rush_movespeed_increase"	"移动速度提高："

    	"DOTA_Tooltip_modifier_warlord_flame_rush"						"烈火奔腾"
    	"DOTA_Tooltip_modifier_warlord_flame_rush_Description"			"攻击力、移动速度和攻击速度提高"
		
		"DOTA_Tooltip_modifier_ice_buff"						"寒冰屏障"
    	"DOTA_Tooltip_modifier_ice_buff_Description"			"护甲值提高"

    	"DOTA_Tooltip_modifier_fire_buff"						"火焰之怒"
    	"DOTA_Tooltip_modifier_fire_buff_Description"			"攻击力提升"

		
		"DOTA_Tooltip_ability_warlord_rune_q_1"							"[Q1] 石之血"
    	"DOTA_Tooltip_ability_warlord_rune_q_1_Description"				"在石像形态下，督军的生命值回复速度提高。"
    	"DOTA_Tooltip_ability_warlord_rune_q_1_property_one"			"生命回复速度提高"
    	"DOTA_Tooltip_ability_warlord_rune_q_1_suffix"					""

    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_1"				"石之血"
    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_1_Description"	"生命回复速度提高"

    	"DOTA_Tooltip_modifier_earth_buff"						"大地之力"
    	"DOTA_Tooltip_modifier_earth_buff_Description"			"提高生命回复速度"

		"DOTA_Tooltip_ability_warlord_rune_q_2"							"[Q2] 魔力寒冰"
    	"DOTA_Tooltip_ability_warlord_rune_q_2_Description"				"寒冰护盾激活时，元素督军提高护甲值。提高的护甲值按使用寒冰护盾时的护甲值计算。"
    	"DOTA_Tooltip_ability_warlord_rune_q_2_property_one"			"护甲值提高"
    	"DOTA_Tooltip_ability_warlord_rune_q_2_suffix"					"% 获得寒冰护盾时的护甲值"

    	"DOTA_Tooltip_modifier_warlord_rune_q_2_visible"				"魔力寒冰"
    	"DOTA_Tooltip_modifier_warlord_rune_q_2_visible_Description"	"护甲增加"
		
		"DOTA_Tooltip_ability_warlord_rune_q_3"							"[Q3] 火焰之怒"
    	"DOTA_Tooltip_ability_warlord_rune_q_3_Description"				"在烈火奔腾状态下攻击敌人将降低敌人的护甲值，可叠加。"
    	"DOTA_Tooltip_ability_warlord_rune_q_3_property_one"			"护甲值降低"
    	"DOTA_Tooltip_ability_warlord_rune_q_3_suffix"					" 每层"

    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_3_hero"			"火焰之怒"
    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_3_hero_Description"	"攻击敌人将降低敌人的护甲值，可叠加。"	

    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_3_visible"		"火焰之怒"
    	"DOTA_Tooltip_ability_modifier_warlord_rune_q_3_visible_Description"	"护甲值降低"
		
		"DOTA_Tooltip_ability_warlord_rune_q_4"							"[Q4] 元素活力"
    	"DOTA_Tooltip_ability_warlord_rune_q_4_Description"				"施放石像形态，寒冰护盾和烈火奔腾将分别提高督军力量、智力、敏捷值，持续20秒。"
    	"DOTA_Tooltip_ability_warlord_rune_q_4_property_one"			"属性值提高"
    	"DOTA_Tooltip_ability_warlord_rune_q_4_suffix"					""

    	"DOTA_Tooltip_modifier_warlord_rune_q_4_strength"				"元素活力 - 力量"
    	"DOTA_Tooltip_modifier_warlord_rune_q_4_agility"				"元素活力 - 敏捷"
    	"DOTA_Tooltip_modifier_warlord_rune_q_4_intelligence"			"元素活力 - 智力"
	
		"Tooltip_elemental_axes"										"元素巨斧"
    	"Tooltip_throwing_axes"											"投掷巨斧"
		
		"DOTA_Tooltip_modifier_elemental_axe_earth"				"大地之斧"
		"DOTA_Tooltip_modifier_elemental_axe_earth_Description"	"土系技能激活"

		"DOTA_Tooltip_modifier_elemental_axe_ice"				"寒冰之斧"
		"DOTA_Tooltip_modifier_elemental_axe_ice_Description"	"冰系技能激活"

		"DOTA_Tooltip_modifier_elemental_axe_fire"				"火焰之斧"
		"DOTA_Tooltip_modifier_elemental_axe_fire_Description"	"火系技能激活"
		
		"DOTA_Tooltip_ability_axe_throw_earth"							"投掷大地之斧"
		"DOTA_Tooltip_ability_axe_throw_earth_Description"				"元素： <font color=\"#AF843D\">土</font> / <font color=\"#DDDDDD\">普通</font><br>向目标点投掷大地之斧，造成单体伤害并眩晕。"
		"DOTA_Tooltip_ability_axe_throw_earth_Lore"						""
		"DOTA_Tooltip_ability_axe_throw_earth_damage"					"伤害：" 
		"DOTA_Tooltip_ability_axe_throw_earth_stun_duration"			"眩晕持续时间：" 	

 		"DOTA_Tooltip_ability_axe_throw_ice"							"投掷寒冰之斧"
		"DOTA_Tooltip_ability_axe_throw_ice_Description"				"元素： <font color=\"#87D9FF\">冰</font> / <font color=\"#DDDDDD\">普通</font><br>向目标点投掷寒冰之斧，造成AOE伤害并减速。"
		"DOTA_Tooltip_ability_axe_throw_ice_Lore"						""
		"DOTA_Tooltip_ability_axe_throw_ice_damage"						"伤害：" 
		"DOTA_Tooltip_ability_axe_throw_ice_slow_duration"				"减速持续时间：" 
		"DOTA_Tooltip_ability_axe_throw_ice_radius"						"范围：" 

 		"DOTA_Tooltip_ability_axe_throw_fire"							"投掷火焰之斧"
		"DOTA_Tooltip_ability_axe_throw_fire_Description"				"元素： <font color=\"#EF4126\">火</font> / <font color=\"#DDDDDD\">普通</font><br>向目标点投掷火焰之斧，造成AOE伤害并减甲。"
		"DOTA_Tooltip_ability_axe_throw_fire_Lore"						""
		"DOTA_Tooltip_ability_axe_throw_fire_damage"					"伤害：" 
		"DOTA_Tooltip_ability_axe_throw_fire_armor_reduction"			"护甲值降低：" 
		"DOTA_Tooltip_ability_axe_throw_fire_radius"					"范围：" 
		"DOTA_Tooltip_ability_axe_throw_fire_duration"					"减甲持续时间："
		
		"DOTA_Tooltip_ability_warlord_rune_w_1"							"[W1] 砾石之心"
    	"DOTA_Tooltip_ability_warlord_rune_w_1_Description"				"大地之斧将会爆炸，对范围内的敌人造成大地之斧的伤害并且眩晕范围敌人。"
    	"DOTA_Tooltip_ability_warlord_rune_w_1_property_one"			"爆炸范围"
    	"DOTA_Tooltip_ability_warlord_rune_w_1_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_w_1_property_two"			"眩晕持续时间"
    	"DOTA_Tooltip_ability_warlord_rune_w_1_suffix_two"				" 秒"
		
		"DOTA_Tooltip_ability_warlord_rune_w_2"							"[W2] 冰霜加固"
    	"DOTA_Tooltip_ability_warlord_rune_w_2_Description"				"当敌人仍受到第一个寒冰之斧减速效果时，被第二个寒冰之斧击中，敌人将被完全冻结并且眩晕。被冻结的敌人所受到的全部物理和魔法伤害增加。敌人在解冻后将获得4秒的抗冻能力。"
    	"DOTA_Tooltip_ability_warlord_rune_w_2_property_one"			"冻结持续时间"
    	"DOTA_Tooltip_ability_warlord_rune_w_2_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_w_2_property_two"			"冻结时所受到的物理和魔法伤害提高"
    	"DOTA_Tooltip_ability_warlord_rune_w_2_suffix_two"				"%"

		"DOTA_Tooltip_ability_warlord_rune_w_3"							"[W3] 战争热血"
    	"DOTA_Tooltip_ability_warlord_rune_w_3_Description"				"增加火焰之斧爆炸范围，你的攻击力的一部分将加入到火焰之斧的伤害中。"
    	"DOTA_Tooltip_ability_warlord_rune_w_3_property_one"			"范围增加"
    	"DOTA_Tooltip_ability_warlord_rune_w_3_suffix"					""
    	"DOTA_Tooltip_ability_warlord_rune_w_3_property_two"			"火焰之斧附加伤害"
    	"DOTA_Tooltip_ability_warlord_rune_w_3_suffix_two"				"% 攻击力"
		
		"DOTA_Tooltip_ability_warlord_rune_w_4"							"[W4] 锐利之斧"
    	"DOTA_Tooltip_ability_warlord_rune_w_4_Description"				"元素督军投掷飞斧将造成额外的纯粹伤害。同时，攻击力的一部分将加入到投掷飞斧的基础伤害中。"
    	"DOTA_Tooltip_ability_warlord_rune_w_4_property_one"			"额外的纯粹伤害"
    	"DOTA_Tooltip_ability_warlord_rune_w_4_suffix"					"% 基础伤害"
    	"DOTA_Tooltip_ability_warlord_rune_w_4_property_two"			"攻击力的 % 将加入到基础伤害"
    	"DOTA_Tooltip_ability_warlord_rune_w_4_suffix_two"				"%"

		
