		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard and Ice Lance"
		
		"DOTA_Tooltip_ability_blizzard"									"Blizzard"
		"DOTA_Tooltip_ability_blizzard_Description"						"Element: <font color=\"#87D9FF\">Ice</font><br>Drops waves of ice on enemies within the target area, damaging and slowing them. Each wave that hits an enemy reduces their <font color=\"#87D9FF\">Ice</font> resistance by for 8 seconds, stacking infinitely."
		"DOTA_Tooltip_ability_blizzard_Lore"							""
		"DOTA_Tooltip_ability_blizzard_wave_damage"						"DAMAGE PER WAVE:"
		"DOTA_Tooltip_ability_blizzard_movement_slow"					"MOVE SLOW:"
		"DOTA_Tooltip_ability_blizzard_ice_resist_loss"					"ICE RESIST LOSS PER WAVE:"

		"DOTA_Tooltip_modifier_blizzard_ice_resist_loss"				"Blizzard Ice Resist Loss"
		"DOTA_Tooltip_modifier_blizzard_ice_resist_loss_Description"	"Taking increased Ice Damage"
		
		"DOTA_Tooltip_ability_ice_lance"								"Ice Lance"
		"DOTA_Tooltip_ability_ice_lance_Description"					"Element: <font color=\"#87D9FF\">Ice</font><br>Fires an icy projectile toward the target location. On impact, the struck target receives a stacking movement slow debuff. Additionally fractures and deals 50% damage to 2 nearby targets."
		"DOTA_Tooltip_ability_ice_lance_Lore"							""
		
		"DOTA_Tooltip_modifier_ice_lance_cold"							"Ice Lance Slow"
		"DOTA_Tooltip_modifier_ice_lance_cold_Description"				"Reduced movement speed."	
		"DOTA_Tooltip_modifier_ice_lance_frozen"						"Frozen"

		"DOTA_Tooltip_modifier_blizzard_cooldown"						"Blizzard Cooldown"
		"DOTA_Tooltip_modifier_blizzard_cooldown_description"			"While Blizzard is cooling down you have Ice Lance."
		
		"DOTA_Tooltip_ability_sorceress_rune_q_1"							"[Q1] Ice Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_Description"				"While Blizzard is cooling down - the spell is replaced with Ice Lance. Ice Lance is an instant cast single target projectile. Additionally fractures and deals 50% damage to 2 nearby targets."
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_property_one"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_suffix"					""
		
		"DOTA_Tooltip_ability_sorceress_rune_q_2"							"[Q2] Frost Nova"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_Description"				"Casting arcane explosion twice in succession releases a blood-freezing Frost Nova. Frozen enemies are rooted. 10 second cooldown. Your water elemental will cast this at the same time. Enemies who are frozen by any means take increased post-mitigation damage from sorceress."
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_property_one"				"Frozen Post-Mitigation Damage Amp"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_suffix"					"%"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_property_two"				"Freeze Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_suffix_two"				" seconds"
		
		"DOTA_Tooltip_modifier_frost_nova_up"							"Frost Nova"
		"DOTA_Tooltip_modifier_frost_nova_up_description"				"Your next Arcane Explosion will also unleash a Frost Nova."
		"DOTA_Tooltip_modifier_frost_nova_down"							"Frost Nova"
		"DOTA_Tooltip_modifier_frost_nova_down_description"				"Cooling down."
		
		"DOTA_Tooltip_ability_sorceress_rune_q_3"							"[Q3] Shatter"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_Description"				"20% chance for Ice Lance to explode in an area with bonus damage and freeze enemies. After 5 seconds of freezing, enemies are immune to shatter freeze for 8 seconds."
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_property_one"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_suffix"					"% of Ice Lance Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_property_two"				"Freeze Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_suffix_two"				" seconds"
		
		"DOTA_Tooltip_ability_sorceress_rune_q_4"							"[Q4] Ice Mastery"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_Description"				"Sorceress' attributes increase the power of all <font color=\"#87D9FF\">Ice</font> damage."
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_property_one"				"Damage Bonus"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_suffix"					"% for each 10 points of attributes."


		"DOTA_Tooltip_ability_arcane_explosion"							"Arcane Explosion"
		"DOTA_Tooltip_ability_arcane_explosion_Description"				"Element: <font color=\"#E1A2E8\">Arcane</font><br>A powerful burst of Arcane Energy instantly damages nearby enemies based on current mana."
		"DOTA_Tooltip_ability_arcane_explosion_Lore"					""
		"DOTA_Tooltip_ability_arcane_explosion_damage"					"DAMAGE AS % OF CURRENT MANA:"
		"DOTA_Tooltip_ability_arcane_explosion_radius"					"RADIUS:"
		
		"DOTA_Tooltip_ability_sorceress_rune_w_1"							"[W1] Arcane Shell"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_Description"				"Casting Arcane Explosion applies a shell that absorbs the next 3 instances of damage. Whoever attacks the shell takes damage based on Sorceress' Intelligence. The damage is multiplied by the ability's level."
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_property_one"				"Duration"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_suffix"					" seconds"  
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_property_two"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_suffix_two"				"x Intelligence"

    	"DOTA_Tooltip_modifier_arcane_shell"								"Arcane Shell"
    	"DOTA_Tooltip_modifier_arcane_shell_Description"					"Absorbs the next instance of damage and zaps the attacker."	
		
		"DOTA_Tooltip_ability_sorceress_rune_w_2"							"[W2] Amplify Magic"
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_Description"				"Enemies struck by Arcane Explosion and Arcane Shell take enhanced <font color=\"#E1A2E8\">Arcane</font> damage from all sources for 9 seconds. Stacks up to 5 times."
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_property_one"				"Arcane Damage Amplify per Stack"
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_suffix"					"%"

    	"DOTA_Tooltip_modifier_sorceress_rune_w_2"							"Amplify Magic"
    	"DOTA_Tooltip_modifier_sorceress_rune_w_2_Description"				"Taking increased Arcane damage."	

		"DOTA_Tooltip_ability_sorceress_rune_w_3"							"[W3] Arcane Intellect"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_Description"				"The sorceress and nearby allies gain bonus intelligence and increased mana regen."
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_property_one"				"Intelligence Bonus"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_property_two"				"Mana Regen"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_suffix_two"				""
		
		"DOTA_Tooltip_modifier_arcane_intellect_visible"					"Arcane Intellect"				
		"DOTA_Tooltip_modifier_arcane_intellect_visible_description"		"Bonus Intelligence and mana regen."
				
		"DOTA_Tooltip_modifier_ice_block"									"Ice Block"
		"DOTA_Tooltip_modifier_ice_block_description"						"Increased Armor and Magic Resistance."

		"DOTA_Tooltip_ability_sorceress_rune_w_4"							"[W4] Arcane Burst"
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_Description"				"Increases the ability damage of Arcane Explosion"
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_property_one"				"Arcane Explosion Damage Increase"
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_suffix"					"%"

    	"DOTA_Tooltip_modifier_arcane_enchantment"							"Arcane Enchantment"
    	"DOTA_Tooltip_modifier_arcane_enchantment_Description"				"Your Ice Lances and Fireballs are enhanced."

		"DOTA_Tooltip_ability_sorceress_blink"							"Blink"
		"DOTA_Tooltip_ability_sorceress_blink_Description"				"Teleports the Sorceress to the target position. 50% chance to refresh Ultimate's cooldown and go into a Clear Casting state. In Clear Cast your Ultimate is instant cast and has a 1 second cooldown, and deals amplified damage."
		"DOTA_Tooltip_ability_sorceress_blink_Lore"						""
		"DOTA_Tooltip_ability_sorceress_blink_range"					"MAX DISTANCE:"
		"DOTA_Tooltip_ability_sorceress_blink_amp"						"CLEAR CAST SPELL AMPLIFICATION:"
		
		"DOTA_Tooltip_ability_sorceress_rune_e_1"							"[E1] Flicker"
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_Description"				"When you cast blink you gain Flicker charges. If you have 10 or more Flicker charges - blink's cooldown does not activate. Free blinks do not gain Flicker Charges."
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_property_one"				"Charges gained on Blink"
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_suffix"					""
			
    	"DOTA_Tooltip_modifier_flicker_charges"								"Flicker"
    	"DOTA_Tooltip_modifier_flicker_charges_Description"					"If you have 10 or more charges, blink's cooldown will not activate"	
		
		"DOTA_Tooltip_ability_sorceress_rune_e_2"							"[E2] Summon Water Elemental"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_Description"				"When you cast blink - summon a Water Elemental if you don't already have one. The Water Elemental has the 10x armor and health of Sorceress."
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_property_one"				"Attack Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_property_two"				"Mana cost on summon"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_suffix_two"				""

		"sorc_water_elemental"												"Water Elemental"
		
		"DOTA_Tooltip_ability_sorc_elemental_ability"						"Cold Attacks"
    	"DOTA_Tooltip_ability_sorc_elemental_ability_Description"			"Attacks explode in an AOE around their target and slow all who are affected. AOE damage is magical."
		
		"DOTA_Tooltip_modifier_hero_summon_ai"								"Active AI"

    	"DOTA_Tooltip_ability_hero_summon_ai"								"Companion AI"
    	"DOTA_Tooltip_ability_hero_summon_ai_Description"					"Toggles On/Off this unit's default behaviour."
		
		"DOTA_Tooltip_ability_sorceress_rune_e_3"							"[E3] Frost Tide"
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_Description"				"Water Elemental does enhanced damage to Frozen enemies."
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_property_one"				"Damage Increase"
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_suffix"					"%"

		"DOTA_Tooltip_modifier_modifier_clear_cast"							"Clear Cast"
		"DOTA_Tooltip_modifier_modifier_clear_cast_description"				"Ultimate is instant cast and has a 1 second cooldown."
		
		"DOTA_Tooltip_ability_sorceress_rune_e_4"							"[E4] Grand Elemental"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_Description"				"Your Water Elemental deals extra magic damage on attack based on Sorceress' attack damage. Also gives a chance for the elemental to have a multi-attack."
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_property_one"				"Elemental Magic Damage Bonus"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_suffix"					"% for each 100 caster attack"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_property_two"				"Chance for Multi-Strike"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_suffix_two"				"%"

		"Tooltip_sorceress_r"											"Pyroblast and Fireball"
		
		"DOTA_Tooltip_ability_pyroblast"								"Pyroblast"
		"DOTA_Tooltip_ability_pyroblast_Description"					"Element: <font color=\"#EF4126\">Fire</font><br>Channels a massive fireball that travels slowly towards the cast location, dealing damage and stunning enemies on impact."
		"DOTA_Tooltip_ability_pyroblast_Lore"							""
		"DOTA_Tooltip_ability_pyroblast_damage"							"DAMAGE:"
		"DOTA_Tooltip_ability_pyroblast_range"							"DISTANCE:"
		"DOTA_Tooltip_ability_pyroblast_stun_duration"					"STUN DURATION:"
		
		"DOTA_Tooltip_ability_fireball"										"Fireball"
		"DOTA_Tooltip_ability_fireball_Description"							"Element: <font color=\"#EF4126\">Fire</font><br>Fires a flaming projectile directly in front of the caster. When it strikes a target, it explodes and deals AOE damage. Gain attackspeed and movespeed on impact, and gain attack damage from 100% of the base ability damage."
		"DOTA_Tooltip_ability_fireball_Lore"								""

		"DOTA_Tooltip_modifier_fireball_stacks"						"Fireball Surge"
		"DOTA_Tooltip_modifier_fireball_stacks_Description"			"Increased attack damage and movespeed."

		"DOTA_Tooltip_modifier_pyro_cooldown"								"Pyroblast"
		"DOTA_Tooltip_modifier_pyro_cooldown_description"					"While Pyroblast is cooling down you have Fireball."
		
		"DOTA_Tooltip_ability_sorceress_rune_r_1"							"[R1] Fireball"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_Description"				"While Pyroblast is cooling down - the spell is replaced with Fireball. Fireball is an instant cast projectile that deals AOE damage on impact. Gain attack speed and movespeed when fireball hits, and gain attack damage from the base ability damage. Attack damage buff stacks up to 3 times."
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_property_one"				"Damage"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_property_two"				"Attack Speed and Movespeed"
    	"DOTA_Tooltip_ability_sorceress_rune_r_1_suffix_two"				""

		"DOTA_Tooltip_ability_sorceress_rune_r_2"							"[R2] Ignite"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_Description"				"Enemies struck by Pyroblast also ignite in flames and take burn damage over 6 seconds. Enemies struck by Fireball are ignited for 2 seconds."
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_property_one"				"Damage Per 0.15 seconds"
    	"DOTA_Tooltip_ability_sorceress_rune_r_2_suffix"					"% of damage taken"
		
		"DOTA_Tooltip_ability_sorceress_rune_r_3"							"[R3] Flamestrike"
