		//Abilities
		
		"Tooltip_sorceress_q"											"Blizzard и Ice Lance"
		
		"DOTA_Tooltip_ability_blizzard"									"Blizzard"
		"DOTA_Tooltip_ability_blizzard_Description"						"Стихия: <font color=\"#87D9FF\">Лёд</font><br>Посылает волны льда во врагов в указанной точке, нанося урон и замедляя их. С каждым успешным попаданием по врагам их сопротивление стихии <font color=\"#87D9FF\">Льда</font> снижается на 8 секунд. Складывается неограниченное количество раз."
		"DOTA_Tooltip_ability_blizzard_Lore"							""
		"DOTA_Tooltip_ability_blizzard_wave_damage"						"УРОН ЗА ВОЛНУ:"
		"DOTA_Tooltip_ability_blizzard_movement_slow"					"ЗАМЕДЛЕНИЕ:"
		"DOTA_Tooltip_ability_blizzard_ice_resist_loss"					"СНИЖЕНИЕ СОПРОТИВЛЕНИЯ ЛЬДУ ЗА ВОЛНУ:"

		"DOTA_Tooltip_modifier_blizzard_ice_resist_loss"				"Blizzard Ice Resist Loss"
		"DOTA_Tooltip_modifier_blizzard_ice_resist_loss_Description"	"Получает увеличенный урон стихии Льда"
		
		"DOTA_Tooltip_ability_ice_lance"								"Ice Lance"
		"DOTA_Tooltip_ability_ice_lance_Description"					"Стихия: <font color=\"#87D9FF\">Лёд</font><br>Отправляет в указанную точку ледяное копьё. При попадании по врагу, копьё оставляет складывающийся эффект, который снижает скорость передвижения противника. При попадании, копьё разделяется и наносит 50% своего урона двум дополнительным целям."
		"DOTA_Tooltip_ability_ice_lance_Lore"							""
		
		"DOTA_Tooltip_modifier_ice_lance_cold"							"Ice Lance Slow"
		"DOTA_Tooltip_modifier_ice_lance_cold_Description"				"Скорость передвижения снижена."	
		"DOTA_Tooltip_modifier_ice_lance_frozen"						"Заморожен"

		"DOTA_Tooltip_modifier_blizzard_cooldown"						"Blizzard Cooldown"
		"DOTA_Tooltip_modifier_blizzard_cooldown_description"			"Пока (Q) Blizzard перезаряжается, герой может использовать [Q1] Ice Lance."
		
		"DOTA_Tooltip_ability_sorceress_rune_q_1"							"[Q1] Ice Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_Description"				"Пока способность Blizzard восстанавливается, оно заменяется на умение [Q1]. [Q1] выпускается прямо перед Sorceress. При попадании, копьё разделяется и наносит 50% своего урона двум дополнительным целям."
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_property_one"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_q_1_suffix"					""
		
		"DOTA_Tooltip_ability_sorceress_rune_q_2"							"[Q2] Frost Nova"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_Description"				"Прочтение способности @Ability2 два раза подряд выпускает леденящий кровь взрыв. Замороженные враги будут обездвижены. Перезаряжается 10 секунд. Элементаль воды произносит [Q2] вместе с героем. Замороженные любым способом враги получают увеличенный пост-резистный урон от Sorceress."
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_property_one"				"Усиление пост-резистного урона по замороженным врагам"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_suffix"					"%"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_property_two"				"Время заморозки"
    	"DOTA_Tooltip_ability_sorceress_rune_q_2_suffix_two"				" сек."
		
		"DOTA_Tooltip_modifier_frost_nova_up"							"Frost Nova"
		"DOTA_Tooltip_modifier_frost_nova_up_description"				"Следующее применение Arcane Explosion заморозит врагов"
		"DOTA_Tooltip_modifier_frost_nova_down"							"Frost Nova"
		"DOTA_Tooltip_modifier_frost_nova_down_description"				"Перезаряжается."
		
		"DOTA_Tooltip_ability_sorceress_rune_q_3"							"[Q3] Shatter"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_Description"				"С 20% шансом попавшее во врага ледяное копьё взорвётся, нанося увеличенный урон и замораживая ближайших врагов. Спустя 5 секунд непрерывной заморозки, противники становятся невосприимчивы к заморозке на следующие 8 секунд."
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_property_one"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_suffix"					"% от урона [Q1] Ice Lance"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_property_two"				"Длительность заморозки"
    	"DOTA_Tooltip_ability_sorceress_rune_q_3_suffix_two"				" сек."
		
		"DOTA_Tooltip_ability_sorceress_rune_q_4"							"[Q4] Ice Mastery"
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_Description"				"Увеличивает урон стихии <font color=\"#87D9FF\">Льда</font> счёт значения атрибутов."
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_property_one"				"Увеличение урона на "
    	"DOTA_Tooltip_ability_sorceress_rune_q_4_suffix"					"% за каждые 10 очков атрибутов."


		"DOTA_Tooltip_ability_arcane_explosion"							"Arcane Explosion"
		"DOTA_Tooltip_ability_arcane_explosion_Description"				"Стихия: <font color=\"#E1A2E8\">Тайна</font><br>Мощный взрыв тайной энергии мгновенно наносящий урон ближайшим врагам, зависящий от текущего значения маны героя."
		"DOTA_Tooltip_ability_arcane_explosion_Lore"					""
		"DOTA_Tooltip_ability_arcane_explosion_damage"					"УРОН, % ОТ ТЕКУЩЕЙ МАНЫ:"
		"DOTA_Tooltip_ability_arcane_explosion_radius"					"РАДИУС:"
		
		"DOTA_Tooltip_ability_sorceress_rune_w_1"							"[W1] Arcane Shell"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_Description"				"Прочтение @Ability2 наделит героя щитом, имеющим 3 заряда. Каждый заряд тратится на полное поглощение урона. Противник, атакующий щит, получит урон, основанный на показателе Интеллекта Sorceress. Наносимый урон умножается на уровень способности (W) Arcane Explosion."
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_property_one"				"Длительность"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_suffix"					" сек."  
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_property_two"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_w_1_suffix_two"				"x Интеллекта"

    	"DOTA_Tooltip_modifier_arcane_shell"								"Arcane Shell"
    	"DOTA_Tooltip_modifier_arcane_shell_Description"					"Поглощает следующий входящий урон и наносит урон атаковавшему."	
		
		"DOTA_Tooltip_ability_sorceress_rune_w_2"							"[W2] Amplify Magic"
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_Description"				"Враги, задетые @Ability2 и [W1] будут получать дополнительный урон стихии <font color=\"#E1A2E8\">Тайны</font> из всех источников на 9 секунд. Эффект может быть сложен до 5 раз."
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_property_one"				"Доп. стихийный урон Тайны за заряд"
    	"DOTA_Tooltip_ability_sorceress_rune_w_2_suffix"					"%"

    	"DOTA_Tooltip_modifier_sorceress_rune_w_2"							"Amplify Magic"
    	"DOTA_Tooltip_modifier_sorceress_rune_w_2_Description"				"Получает увеличенный стихийный урон Тайны."	

		"DOTA_Tooltip_ability_sorceress_rune_w_3"							"[W3] Arcane Intellect"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_Description"				"Sorceress и ближайшие союзники получают бонус к Интеллекту и регенерации маны."
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_property_one"				"Доп. очков Интеллекта"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_property_two"				"Доп. регенерация маны"
    	"DOTA_Tooltip_ability_sorceress_rune_w_3_suffix_two"				""
		
		"DOTA_Tooltip_modifier_arcane_intellect_visible"					"Arcane Intellect"				
		"DOTA_Tooltip_modifier_arcane_intellect_visible_description"		"Доп. интеллект и регенерация маны."
				
		"DOTA_Tooltip_modifier_ice_block"									"Ice Block"
		"DOTA_Tooltip_modifier_ice_block_description"						"Броня и сопротивление магии увеличены."

		"DOTA_Tooltip_ability_sorceress_rune_w_4"							"[W4] Arcane Burst"
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_Description"				"Увеличивает базовый урон умения @Ability2."
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_property_one"				"Усиление (W) Arcane Explosion"
    	"DOTA_Tooltip_ability_sorceress_rune_w_4_suffix"					"%"

    	"DOTA_Tooltip_modifier_arcane_enchantment"							"Arcane Enchantment"
    	"DOTA_Tooltip_modifier_arcane_enchantment_Description"				"Урон от [Q1] Ice Lances и [R1] Fireballs увеличен."

		"DOTA_Tooltip_ability_sorceress_blink"							"Blink"
		"DOTA_Tooltip_ability_sorceress_blink_Description"				"Sorceress телепортируется в указанную точку. С 50% шансом будет сброшено время перезарядки умения (R), а герой ненадолго получит возможность мгновенно произносить свою ультимативную способность. Время перезарядки ульты при этом будет равно 1 секунде, а урон умения увеличивается в несколько раз. "
		"DOTA_Tooltip_ability_sorceress_blink_Lore"						""
		"DOTA_Tooltip_ability_sorceress_blink_range"					"МАКС. РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_sorceress_blink_amp"						"УРОН СПОСОБНОСТЕЙ ПРИ АКТИВНОМ CLEAR CAST, x:"
		
		"DOTA_Tooltip_ability_sorceress_rune_e_1"							"[E1] Flicker"
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_Description"				"При использовании @Ability3 получает заряд. При накоплении 10 и более зарядов Flicker способность @Ability3 не потребует перезарядки. @Ability3 без кулдауна не будет пополнять заряды Flicker."
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_property_one"				"Зарядов получено при прочтении Blink"
    	"DOTA_Tooltip_ability_sorceress_rune_e_1_suffix"					""
			
    	"DOTA_Tooltip_modifier_flicker_charges"								"Flicker"
    	"DOTA_Tooltip_modifier_flicker_charges_Description"					"При накоплении 10 зарядов, восстановление способности Blink не будет активировано, позволяя прыгнуть еще раз."	
		
		"DOTA_Tooltip_ability_sorceress_rune_e_2"							"[E2] Summon Water Elemental"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_Description"				"После использования @Ability3 призывает Водного элементаля, который будет иметь здоровье, равное здоровью Sorceress и 10х брони героя. Может существовать только один Водный элементаль."
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_property_one"				"Урон"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_suffix"					""
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_property_two"				"Необходимо маны для призыва"
    	"DOTA_Tooltip_ability_sorceress_rune_e_2_suffix_two"				""

		"sorc_water_elemental"												"Элементаль Воды"
		
		"DOTA_Tooltip_ability_sorc_elemental_ability"						"Холодные атаки"
    	"DOTA_Tooltip_ability_sorc_elemental_ability_Description"			"Атаки взрываются при попадании, замедляя все задетые цели и нанося им урон. Тип наносимого урона по области - магический."
		
		"DOTA_Tooltip_modifier_hero_summon_ai"								"ИИ - Агрессор"

    	"DOTA_Tooltip_ability_hero_summon_ai"								"ИИ - Попутчик"
    	"DOTA_Tooltip_ability_hero_summon_ai_Description"					"Меняет режим действия подконтрольных юнитов."
		
		"DOTA_Tooltip_ability_sorceress_rune_e_3"							"[E3] Frost Tide"
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_Description"				"Водный элементаль наносит увеличенный урон по замороженным врагам."
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_property_one"				"Усиление урона"
    	"DOTA_Tooltip_ability_sorceress_rune_e_3_suffix"					"%"

		"DOTA_Tooltip_modifier_modifier_clear_cast"							"Clear Cast"
		"DOTA_Tooltip_modifier_modifier_clear_cast_description"				"Умение (R) произносится мгновенно и восстанавливается 1 секунду."
		
		"DOTA_Tooltip_ability_sorceress_rune_e_4"							"[E4] Grand Elemental"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_Description"				"К обычным атакам элементаля воды добавляется магический урон, равный % от урона Sorceress. Также позволяет ему с некоторым шансом атаковать несколько раз."
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_property_one"				"Доп. магический урон элементаля"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_suffix"					"% за каждые 100 ед. урона Sorceress"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_property_two"				"Шанс повторной атаки"
    	"DOTA_Tooltip_ability_sorceress_rune_e_4_suffix_two"				"%"

		"Tooltip_sorceress_r"											"Pyroblast и Fireball"
		
		"DOTA_Tooltip_ability_pyroblast"								"Pyroblast"
		"DOTA_Tooltip_ability_pyroblast_Description"					"Стихия: <font color=\"#EF4126\">Огонь</font><br>Sorceress в течение 2 секунд призывает мощное огненное ядро, которое начинает медленно лететь от героя в указанную точку. Попав во врага, огненное ядро взрывается, нанося урон и оглушая всех ближайших противников."
		"DOTA_Tooltip_ability_pyroblast_Lore"							""
		"DOTA_Tooltip_ability_pyroblast_damage"							"УРОН:"
		"DOTA_Tooltip_ability_pyroblast_range"							"ДАЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_pyroblast_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		
		"DOTA_Tooltip_ability_fireball"										"Fireball"
		"DOTA_Tooltip_ability_fireball_Description"							"Стихия: <font color=\"#EF4126\">Огонь</font><br>Мгновенно стреляет огненным шаром впереди Sorceress. При попадании по врагу шар взрывается и наносит урон по площади. При попадании герой получает бонус к урону, скорости атаки и скорости передвижения. Бонус к урону равен базовому урону этого умения"
		"DOTA_Tooltip_ability_fireball_Lore"								""

		"DOTA_Tooltip_modifier_fireball_stacks"						"Fireball Surge"
		"DOTA_Tooltip_modifier_fireball_stacks_Description"			"Увеличен урон и скорость передвижения."

		"DOTA_Tooltip_modifier_pyro_cooldown"								"Pyroblast"
		"DOTA_Tooltip_modifier_pyro_cooldown_description"					"Пока способность Pyroblast восстанавливается, она заменяется на умение Fireball."
		
		"DOTA_Tooltip_ability_sorceress_rune_r_1"							"[R1] Fireball"
