		//Abilities
		"DOTA_Tooltip_ability_tachyon_shell"								"Tachyon Shell"
    	"DOTA_Tooltip_ability_tachyon_shell_Description"					"Стихия: <font color=\"#B5FFB7\">Время</font><br>Окружает выбранную цель полем нестабильных частиц, разрывающих материю. Наносит урон и замедляет ближайших врагов."
    	"DOTA_Tooltip_ability_tachyon_shell_damage"							"УРОН:"
    	"DOTA_Tooltip_ability_tachyon_shell_duration"						"ДЛИТЕЛЬНОСТЬ:"
    	"DOTA_Tooltip_ability_tachyon_shell_move_slow"						"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"

    	"DOTA_Tooltip_modifier_tachyon_shell"								"Tachnyon Shell"
    	"DOTA_Tooltip_modifier_tachyon_shell_Description"					"Наносит урон существам, враждебным для Zhonik"
		
		"DOTA_Tooltip_ability_zonik_rune_q_1"								"[Q1] Supercharge"
    	"DOTA_Tooltip_ability_zonik_rune_q_1_Description"					"Щит от @Ability1, наложенный на Zhonik наносит увеличенный урон."
    	"DOTA_Tooltip_ability_zonik_rune_q_1_property_one"					"Увеличение урона"
    	"DOTA_Tooltip_ability_zonik_rune_q_1_suffix"						"%"

    	"DOTA_Tooltip_ability_zonik_rune_q_2"								"[Q2] Flying Battery"
    	"DOTA_Tooltip_ability_zonik_rune_q_2_Description"					"Когда носитель щита погибает, эффект переносится на ближайшего врага или союзника."
    	"DOTA_Tooltip_ability_zonik_rune_q_2_property_one"					"Длительность нового щита"
    	"DOTA_Tooltip_ability_zonik_rune_q_2_suffix"						" сек."
    	"DOTA_Tooltip_ability_zonik_rune_q_2_property_two"					"Радиус распространения"
    	"DOTA_Tooltip_ability_zonik_rune_q_2_suffix_two"					""

    	"DOTA_Tooltip_ability_zonik_rune_q_3"								"[Q3] Collision Chaos"
    	"DOTA_Tooltip_ability_zonik_rune_q_3_Description"					"Враги, попавшие под действие @Ability1 получают больше пост-резистного урона от Zhonik."
    	"DOTA_Tooltip_ability_zonik_rune_q_3_property_one"					"Увеличение пост-резистного урона"
    	"DOTA_Tooltip_ability_zonik_rune_q_3_suffix"						"%"

    	"DOTA_Tooltip_ability_zonik_rune_q_4"								"[Q4] Temporal Dampening"
    	"DOTA_Tooltip_ability_zonik_rune_q_4_Description"					"Союзные юниты, на которых работает щит @Ability1 получают меньше урона из всех источников. Эффект работает вдвое сильнее, когда щитом укрыт сам Zhonik."
    	"DOTA_Tooltip_ability_zonik_rune_q_4_property_one"					"Снижение урона"
    	"DOTA_Tooltip_ability_zonik_rune_q_4_suffix"						"%"


    	"DOTA_Tooltip_ability_zonik_mach_punch"								"Mach Punch"
    	"DOTA_Tooltip_ability_zonik_mach_punch_Description"					"Стихия: <font color=\"#DDDDDD\">Нормальный</font> / <font color=\"#B5FFB7\">Время</font><br>Zhonik замахивается и ударяет по выбранному врагу со всей силы. Цель оглушается и получает урон, зависящий от урона героя. Если скорость передвижения героя выше вражеской, то пост-резистный урон будет увеличен на 1% за каждую единицу скорости в разнице."
    	"DOTA_Tooltip_ability_zonik_mach_punch_stun_duration"				"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
    	"DOTA_Tooltip_ability_zonik_mach_punch_damage_mult"					"МНОЖИТЕЛЬ УРОНА, %:"
		
		"DOTA_Tooltip_ability_zonik_rune_w_1"								"[W1] Sonic Boom"
    	"DOTA_Tooltip_ability_zonik_rune_w_1_Description"					"Попадая по врагу умением @Ability2 распространяется волна, наносящая ближайшим противникам и основной цели урон в размере % от базового урона героя."
    	"DOTA_Tooltip_ability_zonik_rune_w_1_property_one"					"Урон"
    	"DOTA_Tooltip_ability_zonik_rune_w_1_suffix"						"% от (W) Mach Punch"

    	"DOTA_Tooltip_ability_zonik_rune_w_2"								"[W2] Temporal Discharge"
    	"DOTA_Tooltip_ability_zonik_rune_w_2_Description"					"Каждый раз, преодолевая расстояние в 240 юнитов, герой получает заряд [W2]. Прочтение @Ability2 тратит все заряды, от чего увеличивается урон удара. Максимум 20 зарядов."
    	"DOTA_Tooltip_ability_zonik_rune_w_2_property_one"					"Усиление урона (W) Mach Punch за заряд"
    	"DOTA_Tooltip_ability_zonik_rune_w_2_suffix"						"%"

    	"DOTA_Tooltip_modifier_temporal_discharge"							"Temporal Discharge"
    	"DOTA_Tooltip_modifier_temporal_discharge_Description"				"Каждый заряд увеличивает урон от следующего удара (W) Mach Punch."

    	"DOTA_Tooltip_ability_zonik_rune_w_3"								"[W3] Whiplash"
    	"DOTA_Tooltip_ability_zonik_rune_w_3_Description"					"Когда герой оглушен, обездвижен или отталкивается врагами, он получает заряд [W3] каждые 0.1 секунды. По окончании этих эффектов вся накопленная энергия высвобождается взрывом в радиусе 600. Оглушение от [W3] зависит от времени оглушения @Ability2."
    	"DOTA_Tooltip_ability_zonik_rune_w_3_property_one"					"Урон за каждый заряд [W3] Whiplash"
    	"DOTA_Tooltip_ability_zonik_rune_w_3_suffix"						""
    	"DOTA_Tooltip_ability_zonik_rune_w_3_property_two"					"Длительность оглушения"
    	"DOTA_Tooltip_ability_zonik_rune_w_3_suffix_two"					" сек."

    	"DOTA_Tooltip_modifier_mach_punch_whiplash"							"Whiplash"
    	"DOTA_Tooltip_modifier_mach_punch_whiplash_Description"				"Сразу после того, как герой освободится от оглушения и обездвиживания, произойдёт взрыв, оглушающий врагов и наносящий им урон."

    	"DOTA_Tooltip_ability_zonik_rune_w_4"								"[W4] Echo"
    	"DOTA_Tooltip_ability_zonik_rune_w_4_Description"					"Вместе с базовыми способностями и обычными атаками на врагах остаются заряды [W4]. Если за 4 секунды враг не получит дополнительных зарядов, весь нанесённый до этого урон высвободится мощным эхом, игнорирующим свойство монстров 'Стойкость'. Для расчета берется весь урон, при котором враг получает заряды [W4]."
    	"DOTA_Tooltip_ability_zonik_rune_w_4_property_one"					"Урон"
    	"DOTA_Tooltip_ability_zonik_rune_w_4_suffix"						"% от суммы всего полученного урона"
		
		"DOTA_Tooltip_modifier_zonik_echo"									"[W4] Echo"
    	"DOTA_Tooltip_modifier_zonik_echo_Description"						"Урон, наносимый героем накапливает на врагах заряды. Когда время действия эффекта истечет, будет нанесен урон."


    	"DOTA_Tooltip_ability_zonik_lightspeed"								"Lightspeed"
    	"DOTA_Tooltip_ability_zonik_lightspeed_Description"					"Zhonik заряжает себя, увеличивая максимальную скорость передвижения и позволяя проходить через препятствия. Каждый раз, преодолевая расстояние в 60 юнитов потратится 0.75% макс. маны. Когда закончится мана, бафф исчезнет."	
    	"DOTA_Tooltip_ability_zonik_lightspeed_movespeed_cap"				"ГРАНИЦА МАКСИМАЛЬНОЙ СКОРОСТИ:"
    	"DOTA_Tooltip_ability_zonik_lightspeed_duration"					"ДЛИТЕЛЬНОСТЬ:"

    	"DOTA_Tooltip_modifier_zonik_lightspeed"							"Lightspeed"
    	"DOTA_Tooltip_modifier_zonik_lightspeed_Description"				"Увеличена максимальная скорость передвижения. Можно проходить через препятствия."
		
		"DOTA_Tooltip_ability_zonik_rune_e_1"								"[E1] Surge"
    	"DOTA_Tooltip_ability_zonik_rune_e_1_Description"					"Увеличивает скорость передвижения на время действия (E) Lightspeed."
    	"DOTA_Tooltip_ability_zonik_rune_e_1_property_one"					"Доп. скорость передвижения"
    	"DOTA_Tooltip_ability_zonik_rune_e_1_suffix"						""

    	"DOTA_Tooltip_ability_zonik_rune_e_2"								"[E2] Green Streak"
    	"DOTA_Tooltip_ability_zonik_rune_e_2_Description"					"Каждый раз, проходя дистанцию в 360 юнитов во время действия @Ability3, герой оставляет свои энергетические копии, которые взрываются через 1 секунду, если рядом находится враг. Урон от взрыва энергетической копии основывается на количестве текущей у героя маны. Копия взрывается через 5 секунд, если не была активирована врагом."
    	"DOTA_Tooltip_ability_zonik_rune_e_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_zonik_rune_e_2_suffix"						" за каждое очко текущей маны"

    	"DOTA_Tooltip_ability_zonik_rune_e_3"								"[E3] Blur"
    	"DOTA_Tooltip_ability_zonik_rune_e_3_Description"					"Во время действия @Ability3, Zhonik блокирует получаемый физический и магический урон в зависимости от его Ловкости."
    	"DOTA_Tooltip_ability_zonik_rune_e_3_property_one"					"Блокировка физического и магического урона"
    	"DOTA_Tooltip_ability_zonik_rune_e_3_suffix"						" за каждое очко Ловкости"

    	"DOTA_Tooltip_ability_zonik_rune_e_4"								"[E4] Sonic Rush"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_Description"					"Дополнительное увеличение максимальной скорости передвижения во время @Ability3."
    	"DOTA_Tooltip_ability_zonik_rune_e_4_property_one"					"Доп. макс. скорость передвижения"
    	"DOTA_Tooltip_ability_zonik_rune_e_4_suffix"						""


    	"DOTA_Tooltip_ability_zonik_speedball"								"Speedball"
    	"DOTA_Tooltip_ability_zonik_speedball_Description"					"Стихия: <font color=\"#B5FFB7\">Время</font> / <font color=\"#C25DFC\">Космос</font><br>Zhonik бросается в сторону выбранного врага с дополнительной скоростью и увеличенной максимальной скоростью. При столкновении Zhonik взрывается, оглушая себя на 1 секунду и нанося урон ближайшим врагам. Приказ герою на любое действие отменит рывок от этого умения. Во время рывка перезарядка способности постепенно снижается, и каждый задетый противник уменьшит текущую перезарядку на 0.1 сек. Урон способности умножается на текущую скорость передвижения."	
    	"DOTA_Tooltip_ability_zonik_speedball_movespeed"				"УВЕЛИЧЕНИЕ БАЗОВОЙ И МАКСИМАЛЬНОЙ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_zonik_speedball_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_zonik_speedball_stun_duration"			"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ ВРАГОВ:"
    	"DOTA_Tooltip_ability_zonik_speedball_speed_mult"			"МНОЖИТЕЛЬ УРОНА НА СКОРОСТЬ:"

    	"DOTA_Tooltip_modifier_zonik_speedball"							"Speedball"
    	"DOTA_Tooltip_modifier_zonik_speedball_Description"				"Стремительно бежит в сторону врага."	

		"DOTA_Tooltip_ability_zonik_rune_r_1"								"[R1] Road Rash"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_Description"					"Враги, задетые героем во время @Ability4 будут атакованы (срабатывают все возможные модификаторы атаки) и кратковременно оглушены. Каждый задетый враг увеличивает урон героя на %. Усиление урона длится еще 8 секунд после окончания действия @Ability4."
    	"DOTA_Tooltip_ability_zonik_rune_r_1_property_one"					"Бонус к урону героя"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_suffix"						"%"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_property_two"					"Длительность оглушения"
    	"DOTA_Tooltip_ability_zonik_rune_r_1_suffix_two"					" сек."

    	"DOTA_Tooltip_modifier_speedball_a_d_visible"						"Road Rash"
    	"DOTA_Tooltip_modifier_speedball_a_d_visible_Description"			"Бонус к урону."

    	"DOTA_Tooltip_ability_zonik_rune_r_2"								"[R2] Regen Runner"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_Description"					"Увеличивает регенерацию здоровья и маны на % от скорости передвижения. Эффект блокируется оглушением и обездвиживанием."
    	"DOTA_Tooltip_ability_zonik_rune_r_2_property_one"					"Доп. реген. здоровья"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_suffix"						"% от скорости передвижения"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_property_two"					"Доп. реген. маны"
    	"DOTA_Tooltip_ability_zonik_rune_r_2_suffix_two"					"% от скорости передвижения"

    	"DOTA_Tooltip_ability_zonik_rune_r_3"								"[R3] Pummel"
    	"DOTA_Tooltip_ability_zonik_rune_r_3_Description"					"Когда заканчивается собственное оглушение героя после @Ability4, герой с некоторым шансом может свободно применить @Ability2 в исходную цель, если та еще жива. Значение шанса выше 100% гарантирует многократное срабатывание эффекта."
    	"DOTA_Tooltip_ability_zonik_rune_r_3_property_one"					"Шанс на дополнительное применение (W) Mach Punch"
    	"DOTA_Tooltip_ability_zonik_rune_r_3_suffix"						"%"

    	"DOTA_Tooltip_ability_zonik_rune_r_4"								"[R4] Brawler"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_Description"					"Пассивно увеличивает Силу героя. Каждое очко Силы увеличивает базовый урон."
    	"DOTA_Tooltip_ability_zonik_rune_r_4_property_one"					"Доп. очков Силы"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_suffix"						""
    	"DOTA_Tooltip_ability_zonik_rune_r_4_property_two"					"Увеличение базового урона на"
    	"DOTA_Tooltip_ability_zonik_rune_r_4_suffix_two"					" за каждое очко Силы"
		
		//Arcanas
		
		"item_property_zonik_arcana1"										"Warp Field"
    	"property_zonik_arcana1_description"								"Заменяет (E) @Ability3 и все соответствующие руны на (E) Warp Field."

    	"DOTA_Tooltip_ability_zhonik_temporal_field"						"Warp Field"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_Description"			"Zhonik бросается в указанную точку и создаёт поле искривлённого пространства в радиусе 800, которое замедляет попавших в область действия врагов. Находясь внутри поля, Zhonik получает на 80% меньше урона и приобретает бонус, увеличивающий скорость передвижения и максимально возможную скорость передвижения. Некоторые эффекты оглушения и безмолвия снимаются с героя, пока он находится в области действия поля."
    	"DOTA_Tooltip_ability_zhonik_temporal_field_movespeed_cap"				"МАКС. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_movespeed_bonus"	"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_duration"	"ДЛИТЕЛЬНОСТЬ ДЕЙСТВИЯ ПОЛЯ:"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_cast_range"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_enemy_move_slow"	"ЗАМЕДЛЕНИЕ ВРАГОВ:"
    	"DOTA_Tooltip_ability_zhonik_temporal_field_damage_resistance"	"СНИЖЕНИЕ ВХОДЯЩЕГО УРОНА ДЛЯ ГЕРОЯ ZHONIK, %:"

