		//Abilities
		"DOTA_Tooltip_ability_seismic_flare"										"Seismic Flare"
		"DOTA_Tooltip_ability_seismic_flare_Description"							"Стихия: <font color=\"#EF4126\">Огонь</font> / <font color=\"#AF843D\">Земля</font><br>Раскалывает землю под ногами врагов, притягивая их к центру разрыва и оглушая."
		"DOTA_Tooltip_ability_seismic_flare_Lore"									"Базовая способность: Q"
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_aoe"				"ОБЛАСТЬ:"
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_stun_duration"		"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

    	"DOTA_Tooltip_ability_flamewaker_rune_q_1"								"[Q1] Thick Skin"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_Description"					"Увеличивает броню и реген. здоровья героя."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_one"					"Доп. броня"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix"						""
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_two"					"Доп. реген. здоровья"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_1" 							"Thick Skin"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_1_description" 				"Броня и регенерация здоровья увеличены"

		"DOTA_Tooltip_ability_flamewaker_rune_q_2"								"[Q2] Restorative Earth"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_Description"					"В течении 5 секунд восстанавливает здоровье за каждого врага, задетого умением Seismic Flare."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_property_one"					"Лечение/Сек"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_suffix"						" за каждого врага"

    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect"							"Restorative Earth"
    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect_Description"				"Восстанавливает здоровье каждые 0.5 секунды"	

		"DOTA_Tooltip_ability_flamewaker_rune_q_3"								"[Q3] Eruption"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_Description"					"@Ability1 создает всплеск лавы, длящийся 7 секунд. Урон этой руны усиливается за счет показателя Силы."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_one"					"Урон от лавы в секунду (От показателя Силы)"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix"						"x"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_two"					"Урон от лавы в секунду"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff" 						"Warrior's Call"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff_description" 			"Увеличивает урон и скорость атаки."
		
		"DOTA_Tooltip_ability_flamewaker_rune_q_4"								"[Q4] Molten Flux"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_Description"					"Восстановленное здоровье от руны [Q2] и урон, нанесенный руной [Q3] увеличивают урон Flamewaker на 4 секунды."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_one"					"Доп. урон от руны Restorative Earth"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix"						" за каждое очко здоровья, восстановленное руной Restorative Earth"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_two"					"Доп. урон от руны Eruption"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix_two"					" за каждые 10 ед. урона"

		"DOTA_Tooltip_modifier_flamewaker_rune_q_4" 							"Molten Flux"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_4_description" 				"Урон увеличен."
		
		"DOTA_Tooltip_ability_second_heartbeat"										"Second Heartbeat"
		"DOTA_Tooltip_ability_second_heartbeat_Description"							"Сердце Flamewaker издаёт импульс чистого огня, нанося урон всем врагам перед ним."
		"DOTA_Tooltip_ability_second_heartbeat_Lore"									""
    	"DOTA_Tooltip_ability_second_heartbeat_damage"									"УРОН:"

		"DOTA_Tooltip_ability_flamewaker_rune_w_1"								"[W1] Incendiary Blade"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_Description"					"Ваши атаки порождают огненный взрыв, нанося физический урон в радиусе 450."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_property_one"					"Урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_suffix"						"% от урона героя."

		"DOTA_Tooltip_modifier_flamewaker_rune_w_1" 							"Incendiary Blade"
		"DOTA_Tooltip_modifier_flamewaker_rune_w_1_description" 				"Ваши атаки взрываются, нанося урон огнём"

		"DOTA_Tooltip_ability_flamewaker_rune_w_2"								"[W2] Volcanic Pulse"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_Description"					"Увеличивает радиус и базовый урон умения @Ability2"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_one"					"Доп. радиус"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix"						""
     	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_two"                 "Доп. базовый урон умения"
        "DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix_two"                   "%"
		
		"DOTA_Tooltip_ability_flamewaker_rune_w_3"								"[W3] Searing Heat"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_Description"					"Пламя от умения @Ability2 также проникает через вражескую броню, оставляя складывающийся эффект понижения брони на 5 секунд."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_property_one"					"Складывающееся понижение брони"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_suffix"						""
		
		"DOTA_Tooltip_modifier_flamewaker_rune_w_4_cooldown"					"Dragon's Wrath Cooldown"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_4"								"[W4] Dragon's Wrath"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_Description"					"Применяя @Ability2, герой мгновенно прыгнет к цели, которая его атаковала и нанесет критический удар. Перезаряжается 0.5 секунды. Во время прыжка весь получаемый урон снижается на 100%"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_suffix"						"%"
		
		"DOTA_Tooltip_ability_heat_wave"										"Heat Wave"
		"DOTA_Tooltip_ability_heat_wave_Description"							"Стихия: <font color=\"#EF4126\">Огонь</font><br>Flamewaker высвобождает энергию огня, увеличивая свой урон, скорость передвижения и получая возможность ходить сквозь препятствия, дополнительно увеличивая максимальную скорость передвижения. У ближайших противников снижена броня."
		"DOTA_Tooltip_ability_heat_wave_Lore"									""
    	"DOTA_Tooltip_ability_heat_wave_max_ms"									"МАКС.СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_heat_wave_base_dmg"								"ДОП.УРОН:"
    	"DOTA_Tooltip_ability_heat_wave_movespeed"								"СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
    	"DOTA_Tooltip_ability_heat_wave_duration"								"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_heat_wave_armor_shred"                            "СНИЖЕНИЕ БРОНИ:"

    	"DOTA_Tooltip_modifier_heatwave_phase_one"								"Heat Wave"
    	"DOTA_Tooltip_modifier_heatwave_phase_one_Description"					"Скорость передвижения и максимальная скорость передвижения увеличены."
		
		"DOTA_Tooltip_ability_flamewaker_rune_e_1"								"[E1] Blazing Trail"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_Description"					"Flamewaker оставляет след тлеющих угольков во время передвижения при активном умении @Ability3. Противники на углях получают дополнительный урон (пре-резистный) за каждую единицу отрицательной брони. Максимальный бонус урона за одну руну равен 200%."
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_property_one"					"Урон/сек"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_suffix"						""
		"DOTA_Tooltip_ability_flamewaker_rune_e_1_property_two"                 "Увеличение урона"
        "DOTA_Tooltip_ability_flamewaker_rune_e_1_suffix_two"                      "% за ед. отрицательной брони"

    	"DOTA_Tooltip_ability_flamewaker_rune_e_2"								"[E2] Dragon Rage"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_Description"					"После активации умения @Ability3, в течении 6 секунд все ближайшие враги получат ожоги. Урон руны усиливается за счёт показателя Ловкости."
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_property_one"					"Основной урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_suffix"						""
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_property_two"					"Доп. урон (от Ловкости)"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_suffix_two"					"x"

		"DOTA_Tooltip_flamewaker_rune_e_2_buff" 								"Dragon Rage"
		"DOTA_Tooltip_flamewaker_rune_e_2_buff_description" 					"Поджигает ближайших врагов."
		
		"DOTA_Tooltip_ability_flamewaker_rune_e_3"								"[E3] Dragon Aspect"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_Description"					"После прочтения @Ability3, Flamewaker получит бонус к урону и скорости атаки на 6 секунд."
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_suffix"						"%"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_property_two"					"Доп. скорость атаки"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_suffix_two"					""
		
		"DOTA_Tooltip_modifier_rune_e_3_damage_boost"							"Dragon Aspect"
    	"DOTA_Tooltip_modifier_rune_e_3_damage_boost_Description"				"Урон и скорость атаки увеличены"
		
		"DOTA_Tooltip_modifier_searing_heat"									"Searing Heat"
    	"DOTA_Tooltip_modifier_searing_heat_Description"						"Понижает броню"
		
		"DOTA_Tooltip_ability_flamewaker_rune_e_4"								"[E4] Splitting Flame"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_Description"					"Враги, задетые [E1] загораются, из-за чего теряют броню и получают ежесекундный урон 5 секунд, основанный на показателе урона от [E1]."
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_property_one"					"Урона в секунду"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_suffix"						"% от урона Blazing Trail"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_property_two"					"Понижение брони"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_4_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_e_4" 							"Splitting Flame"
		"DOTA_Tooltip_modifier_flamewaker_rune_e_4_description" 				"Показатель брони понижен и ежесекундно получает урон."
		
		"DOTA_Tooltip_ability_cataclysm"									"Cataclysm"
		"DOTA_Tooltip_ability_cataclysm_Description"						"Стихия: <font color=\"#EF4126\">Огонь</font> / <font color=\"#AF843D\">Земля</font><br>Наполняется огнем в течении 2 секунд, после чего образуется мощный взрыв, наносящий урон, замедляющий и отталкивающий всех врагов вокруг себя."
		"DOTA_Tooltip_ability_cataclysm_Lore"								""
		"DOTA_Tooltip_ability_cataclysm_damage"							"УРОН:"
    	"DOTA_Tooltip_ability_cataclysm_radius"							"РАДИУС:"
    	"DOTA_Tooltip_ability_cataclysm_stun_duration"					"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_1"								"[R1] Mountain Strike"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_Description"					"С 25% шансом при атаке Flamewaker подбросит свою цель в воздух, оглушая её на 0.3 секунды, и получая в этот короткий момент бонусный урон атаки."
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_property_one"					"Бонусный урон атаки"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_1_suffix"						"%"
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_2"								"[R2] Flaming Vortex"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_Description"					"При успешном прочтении @Ability4 выпускает волны огня по спирали. Каждая волная наносит <% FLAMEWAKER_R2_INSTANCE_OF_DAMAGE_COUNT %> порций урона, а урон базируется на уровне надетых предметов в 4 степени. (Предметы 100 уровня считаются за 110). "
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_property_one"					"Урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_2_suffix"						"* (<% FLAMEWAKER_R2_INNER_SCALE_BASE %> * (Total Gear Levels)) ^ <% FLAMEWAKER_R2_DMG_EXP_SCALE_BASE %>"

		"DOTA_Tooltip_ability_flamewaker_rune_r_3"								"[R3] Mountain's Energy"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_Description"					"По завершении прочтения @Ability4, Flamewaker получает дополнительные очки Силы на 12 секунд."
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_property_one"					"Доп. Силы"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_3_suffix"						""

		"DOTA_Tooltip_modifier_flamewaker_rune_r_3" 							"Mountain's Energy"
		"DOTA_Tooltip_modifier_flamewaker_rune_r_3_description" 				"Герой получает бонусные очки Силы"
		
		"DOTA_Tooltip_ability_flamewaker_rune_r_4"								"[R4] Volcano Blood"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_Description"					"Увеличивает урон стихий <font color=\"#EF4126\">Огня</font> и <font color=\"#AF843D\">Земли</font> в зависимости от значения Силы Flamewaker."
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_property_one"					"Доп. урон стихий Огня и Земли"
    	"DOTA_Tooltip_ability_flamewaker_rune_r_4_suffix"						"% за каждые 10 очков Силы"
		
		//Arcanas
		"DOTA_Tooltip_ability_flamewaker_arcana_ability"						"Dragon Fire"
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_Description"			"Стихия: <font color=\"#EF4126\">Огонь</font><br>Быстрый точечный взрыв, способный оглушить врагов. Наносит урон в небольшой области. Можно прочесть повторно перед перезарядкой в промежутке <% FLAMEWAKER_ARCANA_Q_FREE_CAST_DURATION %> сек. В начальной точке образуется только один взрыв, но выбор следующей точки на дистанции <% FLAMEWAKER_ARCANA_Q_MIN_DISTANCE %> - <% FLAMEWAKER_ARCANA_Q_MAX_DISTANCE %> вызовет линию из множества взрывов. Урон дополнительно увеличивается в зависимости от значения Силы героя."
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_strength_mult"			"МНОЖИТЕЛЬ УРОНА ОТ ЗНАЧЕНИЯ СИЛЫ:"
    	"DOTA_Tooltip_ability_flamewaker_arcana_ability_stun_duration"			"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

    	"item_property_flamewaker_arcana1"										"Dragon Fire"
    	"property_flamewaker_arcana1_description"								"Заменяет умение @Ability1 и все соответствующие руны на Dragon Fire."

  		"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1"						"[Q1] Dragon Knight"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_Description"			"Получает дополнительную броню и регенерацию маны в зависимости от количества недостающего здоровья. Максимально взоможный бонус достигается на <% FLAMEWAKER_ARCANA_Q1_MISSED_HP_FOR_GET_STACK_BASE * FLAMEWAKER_ARCANA_Q1_MAX_STACKS_BASE%> отсутствующего здоровья."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_property_one"			"Доп. броня"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_suffix"				" за каждые недостающие <% FLAMEWAKER_ARCANA_Q1_MISSED_HP_FOR_GET_STACK_BASE %> очков здоровья"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_property_two"			"Доп. реген. маны"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_arcana1_suffix_two"			" за каждые недостающие <% FLAMEWAKER_ARCANA_Q1_MISSED_HP_FOR_GET_STACK_BASE %> очков здоровья"

  		"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1"						"[Q2] Flame Surge"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_Description"			"После прочтения @Ability1, герой получит бонус, увеличивающий скорость передвижения и исходящий пост-резистный урон. Кроме того, противники, задетые @Ability1 получают дополнительно неограниченно стакающиеся заряды увеличенного пост-резистного урона (в 6 раз слабее основного увеличения от руны), но эффект возымеет только наибольшее увеличение (бонус на герое, либо дебафф на противнике)."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_property_one"			"Доп. скорость передвижения"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_suffix"				""
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_property_two"			"Усиление пост-резистного урона"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_arcana1_suffix_two"			"%"

    	"DOTA_Tooltip_modifier_flamewaker_arcana_b_a_effect"					"Flame Surge"
    	"DOTA_Tooltip_modifier_flamewaker_arcana_b_a_effect_Description"		"Увеличена скорость передвижения и наносит дополнительный урон."

  		"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1"						"[Q3] Firestorm"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_Description"			"Каждое прочтение @Ability1 имеет шанс создать дополнительные взрывы в точке каста, либо в конце линии взрывов. Значение шанса выше 100% гарантирует многократное срабатывание. Взрывы от руны расходятся от целевой точки по спирали."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_property_one"			"Шанс"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_arcana1_suffix"				"%"

  		"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1"						"[Q4] Inferno Ring"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_Description"			"Пассивно окружает героя кольцом пламени, которое наносит магический урон всем задетым врагам каждые 0.4 секунды, основанный на общем уроне героя. Flamewaker получает меньше урона от врагов, находящихся внутри огненного кольца."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_property_one"			"Огненный урон"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_suffix"				"% от общего урона героя"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_property_two"			"Снижение входящего урона"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_arcana1_suffix_two"			"%"

    	"DOTA_Tooltip_modifier_flamewaker_arcana_d_a_aura"						"Inferno Ring"
    	"DOTA_Tooltip_modifier_flamewaker_arcana_d_a_aura_Description"			"Получает магический урон и наносит меньше урона герою Flamewaker"

    	"DOTA_Tooltip_ability_flamewaker_dragonflame"						"Fireborne"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_Description"			"Стихия: <font color=\"#EF4126\">Огонь</font><br>Flamewaker останавливается на месте и начинает извергать поток драконьего пламени, нанося урон врагам и снижая их броню в конусе перед собой с интервалом в 0.1 секунды. Когда продолжительность применения заклинания превышает 1.5 секунды, герой получает щит, поглощающий весь входящий урон. Применение этой способности нельзя прервать оглушением или безмолвием. Каждую десятую часть секунды тратится 10% маны от стоимости умения. Действие способности прекратится, когда у героя закончится запас маны."
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_base_damage"			"УРОН:"
    	"DOTA_Tooltip_ability_flamewaker_dragonflame_attack_dmg_bonus"			"ДОП. УРОН ОГНЯ, % ОТ УРОНА ГЕРОЯ:"
