		//Abilities
		"DOTA_Tooltip_ability_seismic_flare"										"地震爆发"
		"DOTA_Tooltip_ability_seismic_flare_Description"							"元素： <font color=\"#EF4126\">火</font> / <font color=\"#AF843D\">土</font><br>引发一次来自地底的震动，吸引目标点附近的所有单位并造成眩晕。"
		"DOTA_Tooltip_ability_seismic_flare_Lore"									""
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_aoe"				"范围："
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_stun_duration"		"眩晕持续时间："

    	"DOTA_Tooltip_ability_flamewaker_rune_q_1"								"[Q1] 龙族血统"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_Description"					"提高护甲和生命回复速度。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_one"					"额外护甲值"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix"						""
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_two"					"生命回复速度提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_1" 							"龙族血统"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_1_description" 				"护甲值和生命回复速度提高"

		"DOTA_Tooltip_ability_flamewaker_rune_q_2"								"[Q2] 大地回春"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_Description"					"每当地震爆发击中一个敌人时回复一定生命值，持续5秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_property_one"					"每秒生命值回复"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_suffix"						" 每击中一个单位"

    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect"							"大地回春"
    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect_Description"				"每0.5秒回复生命值"	

		"DOTA_Tooltip_ability_flamewaker_rune_q_3"								"[Q3] 火山喷发"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_Description"					"施放地震爆发时将同时在目标点喷发岩浆，持续7秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_one"					"岩浆每秒伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix"						"x 力量值"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_two"					"额外固定伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff" 						"战争咆哮"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff_description" 			"攻击力和攻击速度提升"
		
		"DOTA_Tooltip_ability_flamewaker_rune_q_4"								"[Q4] 炽热岩浆"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_Description"					"每当大地回春为你回复生命值或者火山喷发造成伤害时，提高你的基础攻击力，持续4秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_one"					"大地回春提高基础攻击力"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix"						"每点生命值回复"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_two"					"火山喷发提高基础攻击力"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix_two"					"每造成10点伤害"

		"DOTA_Tooltip_modifier_flamewaker_rune_q_4" 							"炽热岩浆"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_4_description" 				"提高基础攻击力"
		
		"DOTA_Tooltip_ability_second_heartbeat"										"第二脉搏"
		"DOTA_Tooltip_ability_second_heartbeat_Description"							"元素： <font color=\"#EF4126\">火</font><br>以纯净的火焰振动烈焰行者的心脏，对前方所有单位造成伤害。"
		"DOTA_Tooltip_ability_second_heartbeat_Lore"									""
    	"DOTA_Tooltip_ability_second_heartbeat_damage"									"伤害："

		"DOTA_Tooltip_ability_flamewaker_rune_w_1"								"[W1] 灼热之刃"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_Description"					"你的普通攻击附有火焰，对480范围内的单位造成物理伤害。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_property_one"					"伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_suffix"						"% 总攻击力"

		"DOTA_Tooltip_modifier_flamewaker_rune_w_1" 							"灼热之刃"
		"DOTA_Tooltip_modifier_flamewaker_rune_w_1_description" 				"你的攻击附有火焰伤害。"

		"DOTA_Tooltip_ability_flamewaker_rune_w_2"								"[W2] 火山脉冲"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_Description"					"增加第二脉搏的范围和基础技能伤害。（距离提升上限1000码）"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_one"					"范围增加"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix"						""
     	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_two"                 "伤害提高"
        "DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix_two"                   "%"
		
		"DOTA_Tooltip_ability_flamewaker_rune_w_3"								"[W3] 灼热"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_Description"					"第二脉搏同时烧焦敌人的护甲，持续6秒，可叠加。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_property_one"					"每层护甲值降低"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_suffix"						""
		
		"DOTA_Tooltip_modifier_flamewaker_rune_w_4_cooldown"					"龙王之怒冷却中"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_4"								"[W4] 龙王之怒"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_Description"					"当你施放第二脉搏时，立即跳跃至最后对你造成伤害的目标身旁，对其造成暴击伤害。冷却时间0.5秒。跳跃过程中伤害减免100%。"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_property_one"					"暴击伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_suffix"						"%"
		
		"DOTA_Tooltip_ability_heat_wave"										"炙热冲锋"
		"DOTA_Tooltip_ability_heat_wave_Description"							"元素： <font color=\"#EF4126\">火</font><br>烈焰行者激活一股热能，提高移动速度和攻击力，移动无视地形，同时提高移动速度上限。在炙热冲锋过程中接近烈焰行者的敌人的护甲将会被降低。"
		"DOTA_Tooltip_ability_heat_wave_Lore"									""
    	"DOTA_Tooltip_ability_heat_wave_max_ms"									"移动速度上限："
    	"DOTA_Tooltip_ability_heat_wave_base_dmg"								"攻击力："
    	"DOTA_Tooltip_ability_heat_wave_movespeed"								"移动速度："
    	"DOTA_Tooltip_ability_heat_wave_duration"								"持续时间："
	"DOTA_Tooltip_ability_heat_wave_armor_shred"                                                            "护甲降低:"

    	"DOTA_Tooltip_modifier_heatwave_phase_one"								"炙热冲锋"
    	"DOTA_Tooltip_modifier_heatwave_phase_one_Description"					"移动速度和移动速度上限提高"
		
		"DOTA_Tooltip_ability_flamewaker_rune_e_1"								"[E1] 余烬"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_Description"					"烈焰行者炙热冲锋后将在地上留下余烬，灼烧碰到余烬的敌人,并且加深敌人受到的物理伤害（税前），提高数值基于敌人负甲的数值。税前伤害最大加成为200% x 符文等级."
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_property_one"					"每秒伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_1_suffix"						""
	"DOTA_Tooltip_ability_flamewaker_rune_e_1_property_two"                 "税前伤害增加"
        "DOTA_Tooltip_ability_flamewaker_rune_e_1_suffix_two"                      "% 每一点负值护甲"

        "DOTA_Tooltip_heatwave_fire_damage"                                     "余烬"
        "DOTA_Tooltip_heatwave_fire_damage_Description"                         "负值护甲增加税前物理伤害"


    	"DOTA_Tooltip_ability_flamewaker_rune_e_2"								"[E2] 龙之怒"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_Description"					"施放炙热冲锋后，开始自焚对附近敌人造成伤害，持续6秒。敏捷值可提高伤害。"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_property_one"					"基础伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_suffix"						""
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_property_two"					"额外伤害"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_2_suffix_two"					"x 敏捷值"

		"DOTA_Tooltip_flamewaker_rune_e_2_buff" 								"龙之怒"
		"DOTA_Tooltip_flamewaker_rune_e_2_buff_description" 					"烧灼附近的敌人"
		
		"DOTA_Tooltip_ability_flamewaker_rune_e_3"								"[E3] 龙首"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_Description"					"炙热冲锋结束后，提高额外攻击力和攻击速度，持续6秒。"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_property_one"					"额外攻击力提高"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_suffix"						"%"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_property_two"					"攻击速度"
    	"DOTA_Tooltip_ability_flamewaker_rune_e_3_suffix_two"					""
		
		"DOTA_Tooltip_modifier_rune_e_3_damage_boost"							"龙首"
    	"DOTA_Tooltip_modifier_rune_e_3_damage_boost_Description"				"攻击力提高"
		
		"DOTA_Tooltip_modifier_searing_heat"									"灼热"
    	"DOTA_Tooltip_modifier_searing_heat_Description"						"护甲值降低"
		
