		//Abilities

		"omni_mace_effect"													"Omni Mace Effect"
		"omniro_element_help_disable"												"Click to set this as current element.<br>Alt-Click to disable this element from Omniro's rotation."
		"omniro_element_help_enable"												"Click to set this as current element.<br>Alt-Click to enable this element into Omniro's rotation."

		"omniro_normal_special_description"									"<br>No Special Effect"


		"DOTA_Tooltip_ability_omniro_omni_mace"								"Omni Mace"
		"DOTA_Tooltip_ability_omniro_omni_mace_Description"					"Grants an additional effect when attacking an enemy. Striking an enemy cycles to the next available element. This ability can be toggled on to lock the current element. Hover over an element on Omniro's panel to see its effect (not all effects can fit in this ability's tooltip). All effects scale with Omni Mace's level as well as that element's rune level. The extra instance of damage provided passively by this ability will be of the same damage type and element of the rune that enhances it."	
		"DOTA_Tooltip_ability_omniro_omni_mace_damage_mult"					"% EXTRA DAMAGE INSTANCE BASED ON ATTACK POWER:"

		"omniro_fire_special_description"									"Applies a <% OMNIRO_FIRE_SPECIAL_DURATION %> second buff that increases base attack damage."
		"omniro_fire_special_a_pretext"										"BASE ATTACK DAMAGE: "		

		"DOTA_Tooltip_modifier_omnimace_fire_buff"							"Omni Mace: Fire"	
		"DOTA_Tooltip_modifier_omnimace_fire_buff_Description"				"Increased Base Attack damage"							

		"omniro_earth_special_description"									"Applies a <% OMNIRO_EARTH_SPECIAL_DURATION %> second buff that increases armor and magic resistance."
		"omniro_earth_special_a_pretext"									"BONUS ARMOR:"		
		"omniro_earth_special_b_pretext"									"BONUS MAGIC RESISTANCE:"	

		"DOTA_Tooltip_modifier_omnimace_earth_buff"							"Omni Mace: Earth"
		"DOTA_Tooltip_modifier_omnimace_earth_buff_Description"				"Increased armor and magic resistance"									

		"omniro_lightning_special_description"									"Deals an extra instance of damage based on target's current HP."
		"omniro_lightning_special_a_pretext"										"CURRENT HP % DAMAGE:"												

		"omniro_poison_special_description"									"Applies a 2 second DoT that deals damage every 0.5 seconds. Deals <% OMNIRO_POISON_MULTIPLE_FOR_DOUBLE %>x damage when afflicted enemy is also standing in Orb Effect's poison puddle."
		"omniro_poison_special_a_pretext"										"DOT DAMAGE % OF ATTACK POWER: "

		"DOTA_Tooltip_modifier_omnimace_poison_debuff"						"Omni Mace: Poison"
		"DOTA_Tooltip_modifier_omnimace_poison_debuff_Description"			"Taking damage on 0.5 second interval"

		"omniro_time_special_description"									"Applies a <% OMNIRO_TIME_SPECIAL_DURATION %> second buff that increases attack speed and movespeed."
		"omniro_time_special_a_pretext"									"MOVESPEED:"		
		"omniro_time_special_b_pretext"									"ATTACK SPEED:"		

		"DOTA_Tooltip_modifier_omnimace_time_buff"							"Omni Mace: Temporal"
		"DOTA_Tooltip_modifier_omnimace_time_buff_Description"				"Increased Attack Speed and Movespeed"

		"omniro_holy_special_description"									"Grants Magic Immunity for a short duration."
		"omniro_holy_special_a_pretext"										"MAGIC IMMUNITY DURATION: "		

		"DOTA_Tooltip_modifier_omnimace_holy_buff"							"Omni Mace: Holy"
		"DOTA_Tooltip_modifier_omnimace_holy_buff_Description"				"Magic Immune"							

		"omniro_cosmic_special_description"									"Applies a <% OMNIRO_COSMIC_SPECIAL_DURATION %> second buff that increases Max Health."
		"omniro_cosmic_special_a_pretext"										"MAX HEALTH:"	

		"DOTA_Tooltip_modifier_omnimace_cosmic_buff"						"Omni Mace: Cosmic"		
