		//Abilities
		"earth_aspect"														"Элементаль Земли"
    	"fire_aspect"														"Элементаль Огня"
    	"shadow_aspect"														"Элементаль Тени"
		
		"DOTA_Tooltip_ability_aspect_abilities"								"ИИ элементалей"
    	"DOTA_Tooltip_ability_aspect_abilities_Description"					"Переключает искусственный интеллект выбранного элементаля."	
		
		"DOTA_Tooltip_ability_summon_earth_aspect"							"Earth Aspect"
		"DOTA_Tooltip_ability_summon_earth_aspect_Description"				"Призывает элементаля Земли. Он поглощает 50% любого урона, полученного героем. Элементаль земли не может атаковать.<br><font color='#70EA72'>Пока элементаль земли жив, вы можете использовать способность </font><font color='#6cbfe2'>(Q) Earthquake</font><font color='#70EA72'>.</font>"
		"DOTA_Tooltip_ability_summon_earth_aspect_Lore"						""
		"DOTA_Tooltip_ability_summon_earth_aspect_aspect_health"			"ЗДОРОВЬЕ ЭЛЕМЕНТАЛЯ ЗЕМЛИ:"
		
		"DOTA_Tooltip_ability_earthquake"									"Earthquake"
		"DOTA_Tooltip_ability_earthquake_Description"						"Стихия: <font color=\"#AF843D\">Земля</font><br>Раскалывает землю в указанной области и под элементалем земли. Дополнительные расколы можно кастовать без перезарядки еще 1.5 секунды после прочтения."
		"DOTA_Tooltip_ability_earthquake_Lore"								""
		"DOTA_Tooltip_ability_earthquake_damage"							"УРОН:"
		"DOTA_Tooltip_ability_earthquake_stun_duration"						"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		"DOTA_Tooltip_ability_earthquake_radius"							"РАДИУС:"

		"DOTA_Tooltip_modifier_free_quake"									"Quaking"
		"DOTA_Tooltip_modifier_free_quake_description"						"Свободное создание Earthquake, пока этот эффект активен."
		
		"DOTA_Tooltip_earth_aspect_a_a_ability"								"Earth Guardian"
		"DOTA_Tooltip_earth_aspect_a_a_ability_Description"					"Элементаль земли поглощает 50% всего получаемого призывателем урона. Каждая руна Q1  увеличивает броню союзных юнитов поблизости."

