    	//Abilities

    	"DOTA_Tooltip_ability_seinaru_konokaze"							"Konokaze"
    	"DOTA_Tooltip_ability_seinaru_konokaze_Description"				"Element: <font color=\"#7AE2A7\">Wind</font><br>A swift burst of air blinds, slows, and pushes back enemies in its path."
    	"DOTA_Tooltip_ability_seinaru_konokaze_stun_duration"			"KNOCKBACK DURATION:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_range"					"RANGE:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_blind_chance"			"BLIND MISS CHANCE:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_blind_duration"			"BLIND DURATION:"

    	"DOTA_Tooltip_ability_seinaru_rune_q_1"							"[Q1] Cloudburst"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_Description"				"Each enemy hit by @Ability1 increases Seinaru's attack damage and attack speed for <% SEINARU_Q1_DUR_BASE %> seconds."
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_one"			"Attack Damage"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_two"			"Attack Speed"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_rune_q_1"						"Cloudburst"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_1_Description"			"Increased attack damage and attack speed"

    	"DOTA_Tooltip_ability_seinaru_rune_q_2"							"[Q2] Gale Break"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_Description"				"Increases movespeed for <% SEINARU_Q2_DUR_BASE %> seconds after casting @Ability1. Enemies hit by the spell are slowed."
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_one"			"Movespeed Bonus"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix"					""
     	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_two"			"Movespeed Slow"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_q_2_speed"						"Gale Break"
    	"DOTA_Tooltip_modifier_seinaru_q_2_speed_Description"			"Increased movespeed"

    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow"					"Gale Break"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow_Description"		"Movespeed slowed"

    	"DOTA_Tooltip_ability_seinaru_rune_q_3"							"[Q3] Tailwind"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_Description"				"Enemies blinded by @Ability1 take increased post-mitigation damage from Seinaru, based on how much higher Seinaru's movespeed is than theirs."
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_property_one"			"Post-mitigation amp"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_suffix"					"% for each 1 movespeed difference"

    	"DOTA_Tooltip_ability_seinaru_rune_q_4"							"[Q4] Precision Breeze"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_Description"				"A % of Seinaru's attack damage is added to @Ability1's base damage."
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_property_one"			"Additional Damage"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_suffix"					"% of attack damage"

 		"DOTA_Tooltip_ability_seinaru_hands_of_hikari"					"Hands of Hikari"
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_Description"		"Seinaru heals himself and all nearby allies with a battle prayer. This has no cast time and does not interrupt Seinaru's previous orders.<br>This spell's radius also applies to the effects of each of its runes."
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_Lore"				""
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_heal"				"HEAL:"
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_radius"			"RADIUS:"

    	"Tooltip_seinaru_w"											"Hands of Hikari & Circle of Wind"

		"DOTA_Tooltip_ability_seinaru_rune_w_1"							"[W1] Circle of Wind"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_Description"				"<font color='#CCFF66'>Hands of Hikari</font> also unleashes a Circle of Wind that slows attack and movespeed of struck units by <% SEINARU_W1_MOV_SLOW_BASE %> for <% SEINARU_W1_DUR_BASE %> seconds. Additionally, enemies struck by the Circle take increased post-mitigation damage from Seinaru. The rune's effect per stack is multiplied by @Ability2's level. Maximum <% SEINARU_W1_MAX_STACKS_BASE %> stacks."
		"DOTA_Tooltip_ability_seinaru_rune_w_1_property_one"			"Post-mitigation damage bonus"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_suffix"					"%"

		"DOTA_Tooltip_ability_seinaru_rune_w_2"							"[W2] Typhoon"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_Description"				"Casting <font color='#CCFF66'>Hands of Hikari</font> also releases a rending Typhoon that damages enemies. Base damage is multiplied by the level of <font color='#CCFF66'>Hands of Hikari</font>, and by Seinaru's hero level."
		"DOTA_Tooltip_ability_seinaru_rune_w_2_property_one"			"Base Damage"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_suffix"					""

		"DOTA_Tooltip_ability_seinaru_rune_w_3"						"[W3] Four Winds"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_Description"			"After casting <font color='#CCFF66'>Hands of Hikari</font>, Seinaru and nearby allies are protected by a temporary shield lasting <% SEINARU_W3_DUR_BASE %> seconds. The shield absorbs damage based on Seinaru's Agility."
		"DOTA_Tooltip_ability_seinaru_rune_w_3_property_one"			"Shield capacity"
