    	//Abilities

    	"DOTA_Tooltip_ability_seinaru_konokaze"							"狂风"
    	"DOTA_Tooltip_ability_seinaru_konokaze_Description"				"元素: <font color=\"#7AE2A7\">风</font><br>，一阵狂风呼啸向前推开敌人，并且造成致盲和减速."
    	"DOTA_Tooltip_ability_seinaru_konokaze_stun_duration"			"狂风 持续时间:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_range"					"范围:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_blind_chance"			"致盲几率:"
    	"DOTA_Tooltip_ability_seinaru_konokaze_blind_duration"			"致盲持续时间:"
	
    	"DOTA_Tooltip_ability_seinaru_rune_q_1"							"[Q1] 骤雨"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_Description"				"微风每击中一个敌人，都将提高神圣剑客的攻击力和攻击速度，持续10秒。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_one"			"每击中一个单位攻击力提升"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_two"			"每击中一个单位攻击速度提高"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_rune_q_1"						"骤雨"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_1_Description"			"增加攻击伤害和攻击速度"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_2"							"[Q2] 烈风"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_Description"				"释放 @Ability1 后提高移动速度 <% SEINARU_Q2_DUR_BASE %> 秒. 被微风击中的敌人将被减速。"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_one"			"移动速度提高"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix"					""
     	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_two"			"敌人移动速度减少"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_q_2_speed"						"烈风"
    	"DOTA_Tooltip_modifier_seinaru_q_2_speed_Description"			"移动速度提高"	

    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow"					"烈风"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow_Description"		"移动速度减少"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_3"							"[Q3] 强风"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_Description"				"被 @Ability1 击中的敌人，剑圣将根据移速差获得税后伤害加成"
	"DOTA_Tooltip_ability_seinaru_rune_q_3_property_one"			"税后增伤"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_suffix"					"% 每一点移速差"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_4"							"[Q4] 微风细雨"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_Description"				"神圣剑客攻击力的一部分会附加到微风伤害中"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_property_one"			"额外伤害"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_suffix"					"% 攻击力"
		


 		"DOTA_Tooltip_ability_seinaru_hands_of_hikari"					"圣光之手"
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_Description"		"神圣剑客通过祈祷治愈自己和周围所有的盟友。该技能没有施法时间，也不会打断之前的指令.<br>该技能每个符文的范围与技能本身的范围一致."
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_Lore"				""
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_heal"				"治疗量:"
		"DOTA_Tooltip_ability_seinaru_hands_of_hikari_radius"			"半径:"

    	"Tooltip_seinaru_w"											"圣光之手和卷风"
	
		"DOTA_Tooltip_ability_seinaru_rune_w_1"							"[W1] 卷风"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_Description"				"<font color='#CCFF66'>圣光之手</font> 会同时在周身释放风环，受影响的敌人降低攻击速度和移动速度 <% SEINARU_W1_MOV_SLOW_BASE %> 持续 <% SEINARU_W1_DUR_BASE %> 秒. 此外，被W击中的敌人受到来自神圣剑客的税后伤害提高。提高效果为每层符文效果乘以W技能等级. 最大 <% SEINARU_W1_MAX_STACKS_BASE %> 层数."
		"DOTA_Tooltip_ability_seinaru_rune_w_1_property_one"				"每层税后伤害提高"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_suffix"					"%"
		
		"DOTA_Tooltip_ability_seinaru_rune_w_2"							"[W2] 旋风"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_Description"				" <font color='#CCFF66'>圣光之手</font> 还会释放一股旋风对敌人造成伤害. 技能基础伤害值也会被<font color='#CCFF66'>圣光之手</font>的等级和神圣剑客的等级提高。（乘法）"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_property_one"			"旋风伤害"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_suffix"					""

		"DOTA_Tooltip_ability_seinaru_rune_w_3"						"[W3] 光之盾"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_Description"			"释放 W圣光之手 后，获得一层护盾持续 3秒。护盾根据敏捷值吸收伤害。"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_property_one"			"伤害吸收"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_suffix"					"X 敏捷值"

    	"DOTA_Tooltip_ability_seinaru_rune_w_4"							"[W4] 智慧之光"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_Description"				"神圣剑客的敏捷值将提高圣光之手的治疗量，并且提高所有 <font color=\"#7AE2A7\">风</font> 元素伤害。"
	"DOTA_Tooltip_ability_seinaru_rune_w_4_property_one"			"风元素伤害提高"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_suffix"				"% 每10点敏捷值"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_property_two"			"治疗加成"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_suffix_two"				"% 每10点敏捷"


		"DOTA_Tooltip_ability_seinaru_odachi_leap"						"太刀飞跃"
		"DOTA_Tooltip_ability_seinaru_odachi_leap_Description"			"元素: <font color=\"#DDDDDD\">普通</font><br>快速向前飞跃，斩击路径上的所有敌人. 飞跃期间拥有100%闪避."
		"DOTA_Tooltip_ability_seinaru_odachi_leap_Lore"					""
		"DOTA_Tooltip_ability_seinaru_odachi_leap_damage"				"伤害:"



    	"DOTA_Tooltip_ability_seinaru_rune_e_1"						"[E1] 鹰击"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_Description"			"太刀飞跃击中的敌人会被标记，随后神圣剑客从天降落，提高攻击力，被标记的敌人将会被无敌斩。"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_one"			"攻击力提升"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_two"			"无敌斩最多单位"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix_two"				""
		
    	"DOTA_Tooltip_ability_seinaru_rune_e_2"						"[E2] 狂风斩"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_Description"			"被 [E1] 标记的目标有几率受到额外的[E1]攻击. 大于100%的几率意味着多次连续打击."
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_property_one"			"额外攻击几率"
    	"DOTA_Tooltip_ability_seinaru_rune_e_2_suffix"					"%"

    	"DOTA_Tooltip_ability_seinaru_rune_e_3"						"[E3] 潜影龙渊"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_Description"			"神圣剑客能以高超的剑术穿透敌人, 提高怪物的坚定阈值. 然而，这种秘技要求神圣剑客没有其他破坚定效果存在."
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_property_one"			"坚定阈值提高"
    	"DOTA_Tooltip_ability_seinaru_rune_e_3_suffix"					"% 基础值"
		
		"DOTA_Tooltip_ability_seinaru_rune_e_4"						"[E4] 迅捷之翼"
		"DOTA_Tooltip_ability_seinaru_rune_e_4_Description"			"加强[R1]，使得[R1]能将目标的护甲降低至0以下。当敌人护甲为负时，每点低于0点的护甲值，都将提高其受到的圣元素伤害。"
