		"djanghor_q"	"Marks"
        "djanghor_w"	"Jin'bo, Rend, War Stomp & Aerial Tornado"
        "djanghor_e"	"Monkey Leap, Feral Sprint, Battle Charge & Soar"
        "djanghor_r"	"Shapeshift"

		"DOTA_Tooltip_ability_draghor_shapeshift_cat"									"Shapeshift: Wolf"
    	"DOTA_Tooltip_ability_draghor_shapeshift_cat_Description"						"Transform into a wolf with its own ability set after 1.75 second channel. Form grants additional Magical and Pure damage reduction.  While in Wolf form, each attack against an enemy unit will heal Djanghor for 0.5% of his total attack damage."
    	"DOTA_Tooltip_ability_draghor_shapeshift_cat_agility_bonus"						"AGILITY BONUS IN WOLF FORM:"
		"DOTA_Tooltip_ability_draghor_shapeshift_cat_resist"							"MAGICAL AND PURE DAMAGE REDUCTION:"
		

    	"DOTA_Tooltip_ability_draghor_shapeshift_bear"									"Shapeshift: Bear"
    	"DOTA_Tooltip_ability_draghor_shapeshift_bear_Description"						"Transform into a bear with its own ability set after 1.75 second channel. Form grants additional Physical and Pure damage reduction."
    	"DOTA_Tooltip_ability_draghor_shapeshift_bear_strength_bonus"					"STRENGTH BONUS IN BEAR FORM:"
		"DOTA_Tooltip_ability_draghor_shapeshift_bear_resist"							"PHYSICAL AND PURE DAMAGE REDUCTION:"

    	"DOTA_Tooltip_ability_draghor_shapeshift_crow"									"Shapeshift: Hawk"
    	"DOTA_Tooltip_ability_draghor_shapeshift_crow_Description"						"Transform into a hawk with its own ability set after 1.75 second channel. Hawk form cannot attack, has flying movement capability and drains 0.1% of max mana every 0.03 seconds. If mana runs out or Djanghor flies into an obstruction, he is immediately transformed back into Monkey Form. While in Hawk form, all Physical and Magical damage taken is reduced by 5 for each point of INT, applied after Armor and Magic Resistance but before other reductions."
    	"DOTA_Tooltip_ability_draghor_shapeshift_crow_int_bonus"						"INTELLIGENCE BONUS IN HAWK FORM:"
		"DOTA_Tooltip_ability_draghor_shapeshift_crow_block"							"MAGICAL AND PHYSICAL DAMAGE BLOCK PER INTELLIGENCE:"

    	"DOTA_Tooltip_ability_draghor_monkey_form"										"Monkey Form"
    	"DOTA_Tooltip_ability_draghor_monkey_form_Description"							"Djanghor immediately transforms back into his base monkey form."	

    	"DOTA_Tooltip_ability_draghor_mark_of_the_fang"									"Mark of the Fang"
    	"DOTA_Tooltip_ability_draghor_mark_of_the_fang_Description"						"Increases base attack damage and attack speed. Allows for shapeshifting into Wolf form."
		"DOTA_Tooltip_ability_draghor_mark_of_the_fang_attack_speed"					"ATTACK SPEED:"
		"DOTA_Tooltip_ability_draghor_mark_of_the_fang_attack_damage_base"				"BASE ATTACK DAMAGE:"

		"DOTA_Tooltip_modifier_mark_of_the_fang"										"Mark of the Fang"
		"DOTA_Tooltip_modifier_mark_of_the_fang_Description"							"Increased base attack damage and attack speed. Allows shapeshifting into Wolf form."

		"DOTA_Tooltip_ability_draghor_mark_of_the_claw"									"Mark of the Claw"
		"DOTA_Tooltip_ability_draghor_mark_of_the_claw_Description"						"Increases armor and health regen. Allows for shapeshifting into Bear form."
		"DOTA_Tooltip_ability_draghor_mark_of_the_claw_armor_bonus"						"ARMOR BONUS:"
		"DOTA_Tooltip_ability_draghor_mark_of_the_claw_health_regen"					"HEALTH REGEN:"

		"DOTA_Tooltip_modifier_mark_of_the_claw"										"Mark of the Fang"
		"DOTA_Tooltip_modifier_mark_of_the_claw_Description"							"Increased armor and health regen. Allows shapeshifting into bear form."

		"DOTA_Tooltip_ability_draghor_mark_of_the_talon"								"Mark of the Talon"
		"DOTA_Tooltip_ability_draghor_mark_of_the_talon_Description"					"Increases mana regen and post-mitigation magic damage. Allows for shapeshifting into Hawk form."
		"DOTA_Tooltip_ability_draghor_mark_of_the_talon_mana_regen"						"MANA REGEN:"
		"DOTA_Tooltip_ability_draghor_mark_of_the_talon_post_mitigation_magic"			"POST MITIGATION MAGIC DAMAGE:"

		"DOTA_Tooltip_modifier_mark_of_the_talon"										"Mark of the Talon"
		"DOTA_Tooltip_modifier_mark_of_the_talon_Description"							"Increased mana regen and post-mitigation magic damage. Allows shapeshifting into Hawk form."	

		"DOTA_Tooltip_ability_draghor_jin_bo"											"Jin'bo"
		"DOTA_Tooltip_ability_draghor_jin_bo_Description"								"Element: <font color=\"#DDDDDD\">Normal</font><br>Djanghor swings his weapon and pushes back enemies. On the 3rd consecutive strike, the attack is extended and deals its damage in a line with a stun. The 3rd attack also has <font color=\"#69BC71\">Nature</font> damage. Using Jin'bo during Monkey Leap automatically casts the 3rd attack."
		"DOTA_Tooltip_ability_draghor_jin_bo_damage_mult"								"DAMAGE AS % OF ATTACK POWER:"
		"DOTA_Tooltip_ability_draghor_jin_bo_stun_duration"								"STUN DURATION ON 3RD STRIKE:"

		"DOTA_Tooltip_modifier_jinbo_stack"												"Jin'bo"
