		//Abilities
		"DOTA_Tooltip_ability_moon_shroud"								"星际尘埃"
		"DOTA_Tooltip_ability_moon_shroud_Description"					"元素： <font color=\"#C25DFC\">宇宙</font><br>在游侠前方创建一片星际尘埃，在其中的敌人将会攻击丢失、受到伤害并减速。"
		"DOTA_Tooltip_ability_moon_shroud_Lore"							""
		"DOTA_Tooltip_ability_moon_shroud_duration"						"持续时间："
		"DOTA_Tooltip_ability_moon_shroud_damage"						"每秒伤害："
		"DOTA_Tooltip_ability_moon_shroud_movespeed_loss"				"减速："
		"DOTA_Tooltip_ability_moon_shroud_miss_chance"					"攻击丢失几率："
		
		"DOTA_Tooltip_ability_astral_rune_q_1"							"[Q1] 无限提升"
    	"DOTA_Tooltip_ability_astral_rune_q_1_Description"				"星际游侠在她的星际尘埃上可以增加攻击距离。"
    	"DOTA_Tooltip_ability_astral_rune_q_1_property_one"				"攻击距离增加"
    	"DOTA_Tooltip_ability_astral_rune_q_1_suffix"					""

		"DOTA_Tooltip_modifier_rune_q_1_thinker"						"无限提升"
		"DOTA_Tooltip_modifier_rune_q_1_thinker_description" 			"攻击距离增加"
		
		"DOTA_Tooltip_ability_astral_rune_q_2"							"[Q2] 炎阳之怒"
    	"DOTA_Tooltip_ability_astral_rune_q_2_Description"				"你的普通攻击有20% 几率向目标释放一道炎阳，造成与攻击伤害相关的纯粹伤害并降低目标的护甲值。攻击分裂雕纹也会触发。坚定对该符文的阈值百分比增加5倍。"
    	"DOTA_Tooltip_ability_astral_rune_q_2_property_one"				"炎阳伤害"
    	"DOTA_Tooltip_ability_astral_rune_q_2_suffix"					"% 攻击伤害"
    	"DOTA_Tooltip_ability_astral_rune_q_2_property_two"				"护甲值降低"
    	"DOTA_Tooltip_ability_astral_rune_q_2_suffix_two"				""		

    	"DOTA_Tooltip_modifier_astral_b_a_armor_loss"					"炎阳之怒"
    	"DOTA_Tooltip_modifier_astral_b_a_armor_loss_Description"		"护甲值降低"
		
		"DOTA_Tooltip_ability_astral_rune_q_3"							"[Q3] 月之祝福"
    	"DOTA_Tooltip_ability_astral_rune_q_3_Description"				"在星际尘埃中，星际游侠的攻击力得到提升。"
    	"DOTA_Tooltip_ability_astral_rune_q_3_property_one"				"攻击力提高"
    	"DOTA_Tooltip_ability_astral_rune_q_3_suffix"					"%"
		
		
    	"DOTA_Tooltip_ability_astral_rune_q_4"							"[Q4] 月光"
    	"DOTA_Tooltip_ability_astral_rune_q_4_Description"				"你的属性值将提高你的攻击力。只在施放星辰披风后重新计算。"
    	"DOTA_Tooltip_ability_astral_rune_q_4_property_one"				"攻击力提高"
    	"DOTA_Tooltip_ability_astral_rune_q_4_suffix"					" 每点属性值"

    	"DOTA_Tooltip_modifier_astral_rune_q_4_visible"					"月光"
    	"DOTA_Tooltip_modifier_astral_rune_q_4_visible_Description"		"攻击力提高"
		
		"DOTA_Tooltip_ability_split_shot"								"分裂箭"
		"DOTA_Tooltip_ability_split_shot_Description"					"元素： <font color=\"#DDDDDD\">普通</font><br>星际游侠拉开她的长弓，持续0.8秒，然后向她面向的方向射出15支箭。"
		"DOTA_Tooltip_ability_split_shot_Lore"							""
		"DOTA_Tooltip_ability_split_shot_damage"						"每支箭伤害："
    	"DOTA_Tooltip_ability_split_shot_range"							"范围："
		
		"DOTA_Tooltip_ability_astral_rune_w_1"							"[W1] 箭雨"
    	"DOTA_Tooltip_ability_astral_rune_w_1_Description"				"分裂箭打击敌人时，每击中敌人一支箭，都将获得额外的属性值，持续 6 秒。最高叠加 100 层，持续时间结束后所有层数丢失。"
    	"DOTA_Tooltip_ability_astral_rune_w_1_property_one"				"每支箭提高属性值"
    	"DOTA_Tooltip_ability_astral_rune_w_1_suffix"					""

    	"DOTA_Tooltip_modifier_astral_a_b_visible"						"箭雨"
    	"DOTA_Tooltip_modifier_astral_a_b_visible_Description"			"属性值提高"
		
		"DOTA_Tooltip_ability_astral_rune_w_2"							"[W2] 多重射击"
    	"DOTA_Tooltip_ability_astral_rune_w_2_Description"				"当你使用分裂箭时，有一定几率触发2连击。超过100%可能释放多次分裂箭。额外的分裂箭同样消耗魔法值。"
    	"DOTA_Tooltip_ability_astral_rune_w_2_property_one"				"多重分裂箭几率"
    	"DOTA_Tooltip_ability_astral_rune_w_2_suffix"					"%"
		
		"DOTA_Tooltip_ability_astral_rune_w_3"							"[W3] 天使之箭"
    	"DOTA_Tooltip_ability_astral_rune_w_3_Description"				"分裂箭的每支箭有15%几率成为天使之箭，造成额外伤害。"
    	"DOTA_Tooltip_ability_astral_rune_w_3_property_one"				"额外伤害"
    	"DOTA_Tooltip_ability_astral_rune_w_3_suffix"					"%"
		
		"DOTA_Tooltip_ability_astral_rune_w_4"							"[W4] 集束箭"
    	"DOTA_Tooltip_ability_astral_rune_w_4_Description"				"敌人每被分裂箭击中一次，将获得一层debuff。每层debuff都将加深敌人所受到的伤害。（计算在敌人减伤之后，只加深来自星际游侠的伤害）debuff最高叠加20层。"
    	"DOTA_Tooltip_ability_astral_rune_w_4_property_one"				"伤害加深"
    	"DOTA_Tooltip_ability_astral_rune_w_4_suffix"					"% 每层"

    	"DOTA_Tooltip_modifier_astral_d_b_visible"						"集束箭"
    	"DOTA_Tooltip_modifier_astral_d_b_visible_Description"			"加深来自星际游侠的伤害"
		
		"DOTA_Tooltip_ability_star_blink"								"星际裂隙"
		"DOTA_Tooltip_ability_star_blink_Description"					"元素： <font color=\"#C25DFC\">宇宙</font><br>向目标点放置一粒星辰，眩晕其附近的单位。2秒后，游侠传送到该点。"
		"DOTA_Tooltip_ability_star_blink_Lore"							""
		"DOTA_Tooltip_ability_star_blink_star_range"					"施法距离："
    	"DOTA_Tooltip_ability_star_blink_star_stun_duration"			"眩晕时间："
    	"DOTA_Tooltip_ability_star_blink_star_aoe"						"范围："
		
		"DOTA_Tooltip_ability_astral_rune_e_1"							"[E1] 飞马"
    	"DOTA_Tooltip_ability_astral_rune_e_1_Description"				"施放星际裂隙时可以召唤飞马，定住其穿过的敌人并且对缠绕的敌人所造成的伤害加深。（计算在敌人减伤之后）伤害加深效果可以叠加，最多叠加 10 层。"
    	"DOTA_Tooltip_ability_astral_rune_e_1_property_one"				"减伤后伤害加深"
    	"DOTA_Tooltip_ability_astral_rune_e_1_suffix"					"%"
    	"DOTA_Tooltip_ability_astral_rune_e_1_property_two"				"缠绕持续时间"
    	"DOTA_Tooltip_ability_astral_rune_e_1_suffix_two"				""

    	"DOTA_Tooltip_modifier_astral_rune_e_1_visible"					"飞马"
    	"DOTA_Tooltip_modifier_astral_rune_e_1_visible_Description"		"被缠绕并且受到的伤害加深"
		
		"DOTA_Tooltip_ability_astral_rune_e_2"							"[E2] 星辰之力"
    	"DOTA_Tooltip_ability_astral_rune_e_2_Description"				"施放星际裂隙后，增加攻击速度和攻击力，持续8秒。并且传送后对着陆点周围所有敌人发动一次攻击。"
    	"DOTA_Tooltip_ability_astral_rune_e_2_property_one"				"攻击速度增加"
    	"DOTA_Tooltip_ability_astral_rune_e_2_suffix"					""
    	"DOTA_Tooltip_ability_astral_rune_e_2_property_two"				"攻击力增加"
    	"DOTA_Tooltip_ability_astral_rune_e_2_suffix_two"				""

		"DOTA_Tooltip_modifier_astral_rune_e_2"							"星辰之力"
		"DOTA_Tooltip_modifier_astral_rune_e_2_description" 			"攻击速度和攻击力提升"
		
		"DOTA_Tooltip_ability_astral_rune_e_3"							"[E3] 星辰披风"
    	"DOTA_Tooltip_ability_astral_rune_e_3_Description"				"当你施放星际裂隙后，得到星辰披风的庇护，伤害减免 75%，提高魔法抗性 95%，并且每 0.5 秒清除一次眩晕/沉默的负面效果。"
    	"DOTA_Tooltip_ability_astral_rune_e_3_property_one"				"持续时间"
    	"DOTA_Tooltip_ability_astral_rune_e_3_suffix"					" 秒"
		
		"DOTA_Tooltip_ability_astral_rune_e_4"							"[E4] 流星"
    	"DOTA_Tooltip_ability_astral_rune_e_4_Description"				"提高属性值，同时属性值将提高所有 <font color=\"#C25DFC\">宇宙</font> 元素的伤害。"
    	"DOTA_Tooltip_ability_astral_rune_e_4_property_one"				"额外属性值"
    	"DOTA_Tooltip_ability_astral_rune_e_4_suffix"					""
    	"DOTA_Tooltip_ability_astral_rune_e_4_property_two"				"宇宙元素伤害提高"
    	"DOTA_Tooltip_ability_astral_rune_e_4_suffix_two"				"% 每10点属性值"
		
		"DOTA_Tooltip_modifier_astral_d_c_visible"						"流星"
		
		"DOTA_Tooltip_modifier_astral_rune_e_4_visible"					"流星"
    	"DOTA_Tooltip_modifier_astral_rune_e_4_visible_Description"		"额外属性值并且提高宇宙元素伤害"
		
		"DOTA_Tooltip_ability_ranger_aoe_explosion"						"天体爆发"
		"DOTA_Tooltip_ability_ranger_aoe_explosion_Description"			"元素： <font color=\"#C25DFC\">宇宙</font><br>在星际游侠周围的地底产生星辰碎片，对范围内的敌人造成伤害并将其抛至空中。"
