		"DOTA_Tooltip_ability_epoch_time_binder"								"Time Binder"
		"DOTA_Tooltip_ability_epoch_time_binder_Description"					"Element: <font color=\"#B5FFB7\">Temporal</font><br>Fires a Time Binder in the target direction. Upon contact with an enemy, it links all nearby enemies, slowing their movement speed and dealing damage per second. The initial impact deals AOE damage in a small radius."
		"DOTA_Tooltip_ability_epoch_time_binder_Lore"							""
		"DOTA_Tooltip_ability_epoch_time_binder_damage_per_tick"				"DAMAGE/SEC:"
		"DOTA_Tooltip_ability_epoch_time_binder_impact_damage"					"IMPACT DAMAGE"
		"DOTA_Tooltip_ability_epoch_time_binder_movespeed_reduction"			"MOVESPEED REDUCTION:"

		"DOTA_Tooltip_modifier_time_bind" 										"Time Bind"
		"DOTA_Tooltip_modifier_time_bind_description" 							"Decreased movement speed and taking double damage from Distortion Orb and [E2] Distortion Rift."

		"DOTA_Tooltip_modifier_time_bound" 										"Time Bind"
		"DOTA_Tooltip_modifier_time_bound_description" 							"Decreased movement speed and taking double damage from Distortion Orb and [E2] Distortion Rift."
		
    	"DOTA_Tooltip_ability_epoch_rune_q_1"									"[Q1] Space Link"
    	"DOTA_Tooltip_ability_epoch_rune_q_1_Description"						"@Ability1 also entangles nearby enemy units in a [Q1], which functions as a duplicate of @Ability1 itself. @Ability3 and [E2] deal double damage to enemies affected by [Q1]. Makes 3 links as a base, but can be increased with rune levels."
    	"DOTA_Tooltip_ability_epoch_rune_q_1_property_one"						"Base Damage"
    	"DOTA_Tooltip_ability_epoch_rune_q_1_suffix"							"% of Time Binder"
        "DOTA_Tooltip_ability_epoch_rune_q_1_property_two"                      "Chance for additional links"
        "DOTA_Tooltip_ability_epoch_rune_q_1_suffix_two"                        "%"

    	"DOTA_Tooltip_modifier_space_link"										"Time Bind"
    	"DOTA_Tooltip_modifier_space_link_description"							"Time Binder damage over time effect."

    	"DOTA_Tooltip_ability_epoch_rune_q_2"									"[Q2] Eon Channel"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_Description"						"The initial target struck by @Ability1 has their attack damage stolen and added to Epoch Guardian for 7 seconds. All enemies linked by @Ability1 share damage with other linked enemies. All enemies linked by [Q1] share damage amongst themselves as well."
    	"DOTA_Tooltip_ability_epoch_rune_q_2_property_one"						"Damage Stolen"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_suffix"							""
        "DOTA_Tooltip_ability_epoch_rune_q_2_property_two"                      "Damage Share"
        "DOTA_Tooltip_ability_epoch_rune_q_2_suffix_two"                        "%"

    	"DOTA_Tooltip_modifier_eon_channel_friendly"							"Eon Channel"
    	"DOTA_Tooltip_modifier_eon_channel_friendly_Description"				"Stealing attack damage"
    	"DOTA_Tooltip_modifier_eon_channel_enemy"								"Eon Channel"
    	"DOTA_Tooltip_modifier_eon_channel_enemy_Description"					"Attack damage stolen"
		
    	"DOTA_Tooltip_ability_epoch_rune_q_3"									"[Q3] Aeon Strike"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_Description"						"Attacking drains 1% of Epoch Guardian's maximum mana to deal an additional instance of damage on impact based on the amount of mana drained."
    	"DOTA_Tooltip_ability_epoch_rune_q_3_property_one"						"Damage"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_suffix"							"x Mana Drained"

    	"DOTA_Tooltip_modifier_epoch_q_3"										"Aeon Strike"
    	"DOTA_Tooltip_modifier_epoch_q_3_Description"							"Attacks drain mana and deal extra damage"
		
    	"DOTA_Tooltip_ability_epoch_rune_q_4"									"[Q4] Overtime"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_Description"						"Casting @Ability1 drains <% EPOCH_Q4_MANA_DRAIN_BASE_PCT * 100 %>% of Epoch Guardian's maximum mana to increase the spell's impact damage, and damage over time, based on the amount of mana drained. Additionally, increases the amount of mana [Q3] drains per attack."
    	"DOTA_Tooltip_ability_epoch_rune_q_4_property_one"						"Damage Bonus"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_suffix"							"% for each 100 Mana Drained"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_property_two"						"Additional Aeon Strike mana drain"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_suffix_two"						"% of Max Mana"

    	"DOTA_Tooltip_ability_time_genesis_orb"							"Genesis Orb"
    	"DOTA_Tooltip_ability_time_genesis_orb_Description"				"Element: <font color=\"#B5FFB7\">Temporal</font><br>A sphere containing the inception of the Universe is tossed directly ahead of Epoch Guardian. The first Genesis Orb deals double damage after using Distortion Orb."
    	"DOTA_Tooltip_ability_time_genesis_orb_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_time_genesis_orb_range"					"RANGE:"

    	"DOTA_Tooltip_ability_epoch_rune_w_1"							"[W1] Time Lapse"
    	"DOTA_Tooltip_ability_epoch_rune_w_1_Description"				"Damaging an enemy unit with @Ability2 restores mana."
    	"DOTA_Tooltip_ability_epoch_rune_w_1_property_one"				"Mana restored"
    	"DOTA_Tooltip_ability_epoch_rune_w_1_suffix"					"% of maximum mana"

    	"DOTA_Tooltip_ability_epoch_rune_w_2"							"[W2] Origination"
    	"DOTA_Tooltip_ability_epoch_rune_w_2_Description"				"Enemies hit by @Ability2 have their Armor reduced for 6 seconds, to a minimum of -1000 Armor. For each point of Armor below 0, the target takes increased post-mitigation Magical and Pure damage from Epoch Guardian."
    	"DOTA_Tooltip_ability_epoch_rune_w_2_property_one"				"Armor Reduction"
    	"DOTA_Tooltip_ability_epoch_rune_w_2_suffix"					""
     	"DOTA_Tooltip_ability_epoch_rune_w_2_property_two"				"Additional Magic and Pure Damage"
