		//Abilities
		"DOTA_Tooltip_ability_voltex_overcharge"								"Overcharge"
		"DOTA_Tooltip_ability_voltex_overcharge_Description"					"Стихия: <font color=\"#5CCDF9\">Молния</font><br>Значительное увеличение скорости атаки и поражение молниями врагов."
		"DOTA_Tooltip_ability_voltex_overcharge_Lore"						""
		"DOTA_Tooltip_ability_voltex_overcharge_attack_speed"				"ДОП. СКОРОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_voltex_overcharge_proc_targets"				"МАКС. ЦЕЛЕЙ:"
    	"DOTA_Tooltip_ability_voltex_overcharge_proc_damage"					"ЭЛЕКТР. УРОН:"
    	"DOTA_Tooltip_ability_voltex_overcharge_duration"					"ДЛИТЕЛЬНОСТЬ:"
		
		"DOTA_Tooltip_ability_voltex_rune_q_1"								"[Q1] Magnetic Block"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_Description"					"Во время действия @Ability1 герой получает дополнительную броню"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_property_one"					"Доп. броня"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_suffix"						""

		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff" 						"Magnetic Block"
		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff_description" 			"Показатель брони увеличен"

    	"DOTA_Tooltip_ability_voltex_rune_q_2"								"[Q2] Thunder Surge"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_Description"					"Добавляет часть Ловкости героя к стихийному урону <font color=\"#5CCDF9\">Молнии</font>."
    	"DOTA_Tooltip_ability_voltex_rune_q_2_property_one"					"Бонус к урону Молнии"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_suffix"						"% от Ловкости"

		"DOTA_Tooltip_modifier_voltex_rune_q_2" 							"Chain Lightning"
		"DOTA_Tooltip_modifier_voltex_rune_q_2_description" 				"Ваши атаки имеют 15%% шанс выпустить Цепную молнию."
		
		"DOTA_Tooltip_ability_voltex_rune_q_3"								"[Q3] Power Break"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_Description"					"На врагов, попавших под действие @Ability1 будет наложен складывающийся эффект понижения брони. Эффект длится 6 секунд. Каждый удар @Ability1 с 30% нанесет еще одну порцию Физическим уроном."
    	"DOTA_Tooltip_ability_voltex_rune_q_3_property_one"					"Потеря брони за заряд"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_suffix"						""
		"DOTA_Tooltip_ability_voltex_rune_q_3_property_two"                 "Физический урон"
        "DOTA_Tooltip_ability_voltex_rune_q_3_suffix_two"                   "% от атаки"

    	"DOTA_Tooltip_modifier_voltex_rune_q_3"								"Power Break"
    	"DOTA_Tooltip_modifier_voltex_rune_q_3_Description"					"Показатель брони понижен"
		
		"DOTA_Tooltip_ability_voltex_rune_q_4"								"[Q4] Overflow"
