		//Abilities
		"DOTA_Tooltip_ability_voltex_overcharge"								"过载"
		"DOTA_Tooltip_ability_voltex_overcharge_Description"					"元素： <font color=\"#5CCDF9\">电</font><br>极大提高攻击速度，并在击中敌方单位时施加叉状闪电效果。"
		"DOTA_Tooltip_ability_voltex_overcharge_Lore"						""
		"DOTA_Tooltip_ability_voltex_overcharge_attack_speed"				"攻击速度增加："
		"DOTA_Tooltip_ability_voltex_overcharge_proc_targets"				"叉状最多目标："
    	"DOTA_Tooltip_ability_voltex_overcharge_proc_damage"					"闪电伤害："
    	"DOTA_Tooltip_ability_voltex_overcharge_duration"					"持续时间："
		
		"DOTA_Tooltip_ability_voltex_rune_q_1"								"[Q1] 磁场"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_Description"					"过载时，电光使者的护甲值提高。"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_property_one"					"额外护甲值"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_suffix"						""

		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff" 						"磁场"
		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff_description" 			"护甲值提高"

    	"DOTA_Tooltip_ability_voltex_rune_q_2"								"[Q2] 电流浪涌"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_Description"					"电光使者所造成的一切 <font color=\"#5CCDF9\">电</font> 元素伤害都将附带额外伤害。额外的伤害为敏捷值的一部分。"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_property_one"					"额外伤害"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_suffix"						"% 敏捷值"

		"DOTA_Tooltip_modifier_voltex_rune_q_2" 							"闪电链"
		"DOTA_Tooltip_modifier_voltex_rune_q_2_description" 				"你的攻击有15%几率释放一道闪电链"
		
		"DOTA_Tooltip_ability_voltex_rune_q_3"								"[Q3] 电源中断"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_Description"					"每次被过载击中，敌人的护甲值降低，持续6秒，可叠加。每次过载击中敌人后有30%的概率产生一道额外的闪电，造成物理伤害。"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_property_one"					"每层护甲降低"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_suffix"						""
        "DOTA_Tooltip_ability_voltex_rune_q_3_property_two"                 "触发时的物理伤害"
        "DOTA_Tooltip_ability_voltex_rune_q_3_suffix_two"                   "%攻击力"

    	"DOTA_Tooltip_modifier_voltex_rune_q_3"								"电源中断"
