		//Abilities
		"DOTA_Tooltip_ability_sephyr_lightbomb"										"Lightbomb"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_Description"							"Element: <font color=\"#F6FFB5\">Holy</font> / <font color=\"#7AE2A7\">Wind</font><br> Flutter into the air while invoking the wrath of the heavens, after a 0.8 second cast Sephyr smashes the lightbomb toward the target location, stunning and damaging enemies caught in the area.<br>Casting Lightbomb with Strafe active causes Sephyr to turn towards the target location over the duration of the cast time."
    	"DOTA_Tooltip_ability_sephyr_lightbomb_cast_range"							"CAST RANGE:"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_base_damage"							"DAMAGE:"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_int_damage"							"BONUS DAMAGE INTELLIGENCE MULTIPLE:"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_stun_duration"						"STUN DURATION:"

    	"DOTA_Tooltip_ability_sephyr_rune_q_1"									"[Q1] Illumination"
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_Description"						"Gain bonus intelligence for 12 seconds after casting Lightbomb."
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_property_one"						"Intelligence Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_suffix"							""

    	"DOTA_Tooltip_modifier_lightbomb_q_1"									"Illumination"
    	"DOTA_Tooltip_modifier_lightbomb_q_1_Description"						"Increased Intelligence"	
		
    	"DOTA_Tooltip_ability_sephyr_rune_q_2"									"[Q2] Amplifier"
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_Description"						"Enemies hit by Lightbomb take increased post-mitigation damage from Sephyr. 7 seconds duration."
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_property_one"						"Post-Mitigation Amp"
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_suffix"							"%"

    	"DOTA_Tooltip_modifier_lightbomb_postmit"								"Amplifier"
    	"DOTA_Tooltip_modifier_lightbomb_postmit_Description"					"Taking increased post-mitigation damage from Sephyr"

    	"DOTA_Tooltip_ability_sephyr_rune_q_3"									"[Q3] Clearfire"
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_Description"						"Casting Lightbomb adds stacks of Clearfire. 10 stacks of Clearfire allow Lightbomb to be cast without triggering its cooldown. Lightbombs that do not start cooldown do not add stacks. Each stack of Clearfire increases <font color=\"#F6FFB5\">Holy</font> damage."
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_property_one"						"Clearfire Stacks"
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_suffix"							""
        "DOTA_Tooltip_ability_sephyr_rune_q_3_property_two"                     "Holy Damage Amp"
        "DOTA_Tooltip_ability_sephyr_rune_q_3_suffix_two"                           "%"

    	"DOTA_Tooltip_modifier_lightbomb_freecast"								"Clearfire"
    	"DOTA_Tooltip_modifier_lightbomb_freecast_Description"					"10 stacks remove the cooldown of Lightbomb"

    	"DOTA_Tooltip_ability_sephyr_rune_q_4"									"[Q4] Sunny Disposition"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_Description"						"Passively increases <font color=\"#F6FFB5\">Holy</font> damage. A portion of <font color=\"#F6FFB5\">Holy</font> Elemental Bonus also amplifies attack damage."
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_property_one"						"Holy Damage Amp"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_suffix"							"%"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_property_two"						"Portion of Holy Amp also increasing Attack Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_suffix_two"						"%"
		
		"DOTA_Tooltip_ability_piercing_gale"										"Piercing Gale"
    	"DOTA_Tooltip_ability_piercing_gale_Description"							"Element: <font color=\"#7AE2A7\">Wind</font><br>Sephyr conjures a razor-sharp stream of wind directly in front of him."
    	"DOTA_Tooltip_ability_piercing_gale_damage"									"DAMAGE:"
		
		"DOTA_Tooltip_ability_sephyr_rune_w_1"									"[W1] Bright Eyes"
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_Description"						"Intelligence further increases mana regen."
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_property_one"						"Mana Regen"
    	"DOTA_Tooltip_ability_sephyr_rune_w_1_suffix"								"% of Intelligence"

    	"DOTA_Tooltip_ability_sephyr_rune_w_2"									"[W2] Crosswind"
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_Description"						"Piercing Gales have a 20% chance to do increased damage."
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_property_one"						"Critical Damage Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_w_2_suffix"								"%"

    	"DOTA_Tooltip_ability_sephyr_rune_w_3"									"[W3] Splinter Talon"
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_Description"						"Attack damage is added to Piercing Gale's base damage."
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_property_one"						"Attack Power Added to Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_w_3_suffix"								"%"

    	"DOTA_Tooltip_ability_sephyr_rune_w_4"									"[W4] Aeromancer"
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_Description"						"Sephyr's intelligence increases <font color=\"#7AE2A7\">Wind</font> damage."
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_property_one"						"Wind Damage Bonus"
    	"DOTA_Tooltip_ability_sephyr_rune_w_4_suffix"							"% for every 10 points of Intelligence"
		
		"DOTA_Tooltip_ability_sephyr_strafe"										"Strafe"
    	"DOTA_Tooltip_ability_sephyr_strafe_Description"							"When toggled on, Sephyr's facing direction is locked. Issuing a move order while the toggle is active causes him to whirl in that direction on a stream of wind. Each strafe consumes a small amount of mana. Moving to pick up an item turns off the toggle."
    	"DOTA_Tooltip_ability_sephyr_strafe_max_distance"							"MAX STRAFE DISTANCE:"							
    	"DOTA_Tooltip_ability_sephyr_strafe_strafe_speed"							"STRAFE SPEED:"
    	"DOTA_Tooltip_ability_sephyr_strafe_mana_percent_use"						"% MANA USED:"

    	"DOTA_Tooltip_modifier_strafe_cooldown"										"Strafe Cooldown"
		
		"DOTA_Tooltip_ability_sephyr_rune_e_1"									"[E1] Flurry Puck"
    	"DOTA_Tooltip_ability_sephyr_rune_e_1_Description"						"Issuing an attack order while Strafe is active caushes Sephyr to strafe away from the target and throw a Flurry Puck towards them. Impact disarms target for 0.5 seconds. Only 1 puck can be active at a time."
    	"DOTA_Tooltip_ability_sephyr_rune_e_1_property_one"						"Chance for additional Bounce"
    	"DOTA_Tooltip_ability_sephyr_rune_e_1_suffix"						    "%"
    	"DOTA_Tooltip_ability_sephyr_rune_e_1_property_two"						"Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_e_1_suffix_two"						""

    	"DOTA_Tooltip_modifier_boomerang_disarm"								"Flurry Puck"
    	"DOTA_Tooltip_modifier_boomerang_disarm_Description"					"Disarmed"

    	"DOTA_Tooltip_ability_sephyr_rune_e_2"									"[E2] Windbreaker"
    	"DOTA_Tooltip_ability_sephyr_rune_e_2_Description"						"When a flurry puck returns to Sephyr, he gains stacks of bonus attack damage for 9 seconds. Stack count is dependent on how many targets the puck hit before returning. Each puck provides a seperate instance of the buff. Attack damage also gets added to puck damage."
    	"DOTA_Tooltip_ability_sephyr_rune_e_2_property_one"						"Bonus Attack Damage Per Stack"
    	"DOTA_Tooltip_ability_sephyr_rune_e_2_suffix"							""
    	"DOTA_Tooltip_ability_sephyr_rune_e_2_property_two"						"Attack Damage Added to Puck"
    	"DOTA_Tooltip_ability_sephyr_rune_e_2_suffix_two"						"%"

    	"DOTA_Tooltip_ability_sephyr_rune_e_3"									"[E3] Razor Leaf"
    	"DOTA_Tooltip_ability_sephyr_rune_e_3_Description"						"Agility increases base attack damage. A multiple of agility is added to Puck damage."
    	"DOTA_Tooltip_ability_sephyr_rune_e_3_property_one"						"Attack Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_e_3_suffix"								"x Agility"
    	"DOTA_Tooltip_ability_sephyr_rune_e_3_property_two"						"Bonus Puck Damage"
    	"DOTA_Tooltip_ability_sephyr_rune_e_3_suffix_two"							"x Agility"

    	"DOTA_Tooltip_ability_sephyr_rune_e_4"									"[E4] Gust Glider"
    	"DOTA_Tooltip_ability_sephyr_rune_e_4_Description"						"Increases max strafe distance and base strafing speed."
    	"DOTA_Tooltip_ability_sephyr_rune_e_4_property_one"						"Strafe Speed Increase"
    	"DOTA_Tooltip_ability_sephyr_rune_e_4_suffix"							""
    	"DOTA_Tooltip_ability_sephyr_rune_e_4_property_two"						"Max Strafe Distance"
    	"DOTA_Tooltip_ability_sephyr_rune_e_4_suffix_two"						""
		
		"DOTA_Tooltip_ability_blessing_of_nefali"									"Winds of Nefali"
    	"DOTA_Tooltip_ability_blessing_of_nefali_Description"						"Sephyr grounds himself and channels the blessed winds of Nefali. All allies within the radius of the winds, including Sephyr, take drastically reduced damage. The winds begin 0.45 seconds after the channel begins. Buff lingers for 1 second after leaving."	
    	"DOTA_Tooltip_ability_blessing_of_nefali_radius"							"RADIUS:"
    	"DOTA_Tooltip_ability_blessing_of_nefali_damage_reduce"						"% DAMAGE REDUCTION:"

    	"DOTA_Tooltip_modifier_nefali_aura_effect"									"Winds of Nefali"
