		//Abilities
		"DOTA_Tooltip_ability_sephyr_lightbomb"										"神圣之光"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_Description"							"元素： <font color=\"#F6FFB5\">圣</font> / <font color=\"#7AE2A7\">风</font><br> 鼓翼升入云霄，并随着苍穹之怒一并降下，0.8 秒后，希芙尔在目标点震碎神圣光弹，眩晕并伤害范围内的敌人。<br>在风舞状态下施放神圣之光将使希芙尔转向施法方向。"
    	"DOTA_Tooltip_ability_sephyr_lightbomb_cast_range"							"施法范围："
    	"DOTA_Tooltip_ability_sephyr_lightbomb_base_damage"							"伤害："
    	"DOTA_Tooltip_ability_sephyr_lightbomb_int_damage"							"额外伤害为智力值的倍数："
    	"DOTA_Tooltip_ability_sephyr_lightbomb_stun_duration"						"眩晕持续时间："

    	"DOTA_Tooltip_ability_sephyr_rune_q_1"									"[Q1] 圣光"
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_Description"						"施放神圣之光后将提高智力值，持续 12 秒。"
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_property_one"						"提高智力值"
    	"DOTA_Tooltip_ability_sephyr_rune_q_1_suffix"							""

    	"DOTA_Tooltip_ability_sephyr_rune_q_2"									"[Q2] 放大"
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_Description"						"被神圣之光击中的敌人将受到debuff，加深其所受到的来自希芙尔的伤害。（伤害加深计算在敌人减伤之后）"
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_property_one"						"减伤后伤害加深"
    	"DOTA_Tooltip_ability_sephyr_rune_q_2_suffix"							"%"

    	"DOTA_Tooltip_modifier_lightbomb_postmit"								"放大"
    	"DOTA_Tooltip_modifier_lightbomb_postmit_Description"					"加深所受到的来自希芙尔的伤害"

    	"DOTA_Tooltip_ability_sephyr_rune_q_3"									"[Q3] 明澈之火"
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_Description"						"每次施放神圣之光后都将获得多层 明澈之火 的buff。拥有超过 10 层 明澈之火 buff后，神圣之光可以自由释放而不触发冷却，自由释放的神圣之光每次将消耗 10 层 明澈之火 buff，并且不增加新的明澈之火层数。每一层明澈之火增加 <font color=\"#F6FFB5\">圣</font> 伤害。"
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_property_one"						"每次获得明澈之火层数"
    	"DOTA_Tooltip_ability_sephyr_rune_q_3_suffix"							""

    	"DOTA_Tooltip_modifier_lightbomb_freecast"								"明澈之火"
    	"DOTA_Tooltip_modifier_lightbomb_freecast_Description"					"10 层将免除神圣之火冷却"

    	"DOTA_Tooltip_ability_sephyr_rune_q_4"									"[Q4] 晴明烈性"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_Description"						"被动提高 <font color=\"#F6FFB5\">圣</font> 元素伤害。一部分 <font color=\"#F6FFB5\">圣</font> 元素伤害提高值将同时提高攻击力。"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_property_one"						"圣元素伤害提高"
    	"DOTA_Tooltip_ability_sephyr_rune_q_4_suffix"							"%"
