"tooltip_duskbringer_Q"											"Whirling Flail and Duskfire"

		"DOTA_Tooltip_ability_whirling_flail"							"Whirling Flail"
		"DOTA_Tooltip_ability_whirling_flail_Description"				"Element: <font color=\"#DDDDDD\">Normal</font> / <font color=\"#9ACCD1\">Ghost</font><br>Duskbringer rapidly swings his weapon in circles, knocking back all nearby enemies. Can be used immediately after using Specter Rush to attack while moving."
		"DOTA_Tooltip_ability_whirling_flail_Lore"						""
		"DOTA_Tooltip_ability_whirling_flail_damage"					"DAMAGE % OF ATTACK DAMAGE/SWING"
		"DOTA_Tooltip_ability_whirling_flail_knockback"					"KNOCKBACK DISTANCE"		

		"DOTA_Tooltip_modifier_whirling_flail"							"Whirling Flail"
		"DOTA_Tooltip_modifier_whirling_flail_Description"  			"Swinging Rapidly"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1"						"[Q1] Duskfire Flail"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_Description"			"Duskbringer's weapon has an additional energy that explodes on enemies and leaves a burning DPS debuff. The burn effect stacks with no limit. Duration 5 seconds."
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_one"		"DPS"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix"				""		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_two"		"Bonus Damage from Agility"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix_two"			"x"
		
		"DOTA_Tooltip_modifier_duskbringer_rune_q_1"				"Duskfire Flail"
		"DOTA_Tooltip_modifier_duskbringer_rune_q_1_Description"	"Taking ghastly burn damage"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_2"						"[Q2] Polterbite"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_Description"			"Increases damage dealt directly by items"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_property_one"		"Item Damage Bonus"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_3"						"[Q3] Juxtaposition"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_Description"			"Whirling Flail deals additional damage to enemies closer to Duskbringer. The damage bonus decreases linearly towards the edge of the radius."
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_property_one"		"Focus Max Damage Bonus"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_4"						"[Q4] Ghastly Reach"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_Description"			"Increases the damage and radius of Whirling Flail. Damage bonus also applies to Duskfire."
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_one"		"Damage Bonus"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix"				"%"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_two"		"Radius Increase"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix_two"			""

		"DOTA_Tooltip_modifier_duskbringer_rune_q_4"					"Blank Combustion"
		"DOTA_Tooltip_modifier_duskbringer_rune_q_4_Description"		"Attacks are exploding with Duskfire"
		
		"DOTA_Tooltip_ability_ghost_hallow"								"Ghost Hallow"
		"DOTA_Tooltip_ability_ghost_hallow_Description"				"Summons a haunted void that roots all enemies that are trapped inside."
		"DOTA_Tooltip_ability_ghost_hallow_Lore"						""
		"DOTA_Tooltip_ability_ghost_hallow_radius"						"RADIUS"
		"DOTA_Tooltip_ability_ghost_hallow_duration"					"ROOT DURATION"

		"DOTA_Tooltip_ghost_hallow_stun"								"Ghost Hallow"
		"DOTA_Tooltip_ghost_hallow_stun_Description"					"Rooted"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_1"						"[W1] Haunted Hallow"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_Description"			"Enemies standing in Ghost Hallow take magic damage every 0.3 seconds based on Duskbringer's attack power."
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_property_one"		"Damage"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_suffix"				"% of attack damage"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_2"						"[W2] Astromagnetism"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_Description"			"Enemies locked by Ghost Hallow have reduced magic resistance."
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_property_one"		"Magic Resistance Reduction"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_3"						"[W3] Void Plasma"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_Description"			"Duskbringer is healed each time he takes damage."
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_property_one"		"Heal"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_4"						"[W4] Phantasm"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_Description"			"Duskbringer deals increased post-mitigation damage to enemies that are rooted by any means."
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_property_one"		"Post-mitigation damage bonus"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_suffix"				"%"

		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible"			"Material Diffusion"
		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible_Description"	"Losing Armor"
		
		"DOTA_Tooltip_ability_specter_rush"								"Specter Rush"
		"DOTA_Tooltip_ability_specter_rush_Description"					"Duskbringer quickly sprints forward with no collision."
		"DOTA_Tooltip_ability_specter_rush_Lore"						""
		"DOTA_Tooltip_ability_specter_rush_charge_duration"				"DURATION"

