"tooltip_duskbringer_Q"											"Whirling Flail и Duskfire"

		"DOTA_Tooltip_ability_whirling_flail"							"Whirling Flail"
		"DOTA_Tooltip_ability_whirling_flail_Description"				"Стихия: <font color=\"#DDDDDD\">Нормальный</font><br>Duskbringer быстро размахивает своим оружием, отталкивая всех ближайших противников. Может быть сразу использовано при Specter Rush для атаки во время движения."
		"DOTA_Tooltip_ability_whirling_flail_Lore"						""
		"DOTA_Tooltip_ability_whirling_flail_damage"					"УРОН, % ОТ УРОНА ГЕРОЯ ЗА ВЗМАХ:"
		"DOTA_Tooltip_ability_whirling_flail_knockback"					"ДАЛЬНОСТЬ ОТТАЛКИВАНИЯ:"		

		"DOTA_Tooltip_modifier_whirling_flail"							"Whirling Flail"
		"DOTA_Tooltip_modifier_whirling_flail_Description"  			"Размахивает оружием"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1"						"[Q1] Duskfire Flail"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_Description"			"Оружие Duskbringer наделяется дополнительной энергией, высвобождаемой при атаках огненным взрывом, заставляя врагов получать доп. огненный урон. Эффект горения складывается неограниченное количество раз. Эффект длится 5 секунд."
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_one"		"Базовый урон"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix"				""		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_two"		"Доп. урон от Ловкости"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix_two"			"х"
		
		"DOTA_Tooltip_modifier_modifier_duskbringer_rune_q_1"				"Duskfire Flail"
		"DOTA_Tooltip_modifier_modifier_duskbringer_rune_q_1_Description"	"Получает чудовищные ожоги"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_2"						"[Q2] Polterbite"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_Description"			"Увеличивает урон, наносимый предметами напрямую."
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_property_one"		"Бонус к урону предметов"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_3"						"[Q3] Juxtaposition"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_Description"			"Увеличивает наносимый урон от @Ability1 в зависимости от расстояния между героем и врагом: чем ближе находится противник, тем больше урона он получает. Бонус сокращается линейно от центра к границе действия умения."
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_property_one"		"Макс. бонусный урон"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_4"						"[Q4] Ghastly Reach"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_Description"			"Увеличивает урон и радиус действия @Ability1. Применяется и к Duskfire."
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_one"		"Доп. урон"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix"				"%"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_two"		"Доп. радиус"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix_two"			""
		
		"DOTA_Tooltip_ability_ghost_hallow"								"Ghost Hallow"
		"DOTA_Tooltip_ability_ghost_hallow_Description"					"Образует пугающую пустоту, которая обездвиживает всех попавших в неё врагов."
		"DOTA_Tooltip_ability_ghost_hallow_Lore"						""
		"DOTA_Tooltip_ability_ghost_hallow_radius"						"РАДИУС:"
		"DOTA_Tooltip_ability_ghost_hallow_duration"					"ДЛИТЕЛЬНОСТЬ СВЯЗЫВАНИЯ:"

		"DOTA_Tooltip_ghost_hallow_stun"								"Ghost Hallow"
		"DOTA_Tooltip_ghost_hallow_stun_Description"					"Обездвижен"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_1"						"[W1] Haunted Hallow"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_Description"			"Враги, находящиеся в пределах действия пустоты от умения @Ability2, получают магический урон каждые 0.3 секунды, основанный на уроне героя."
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_property_one"		"Урон"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_suffix"				"% от урона героя"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_2"						"[W2] Astromagnetism"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_Description"			"Враги, обездвиженные умением @Ability2 теряют магическое сопротивление."
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_property_one"		"Снижение сопротивления магии"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_3"						"[W3] Void Plasma"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_Description"			"Duskbringer исцеляется каждый раз, когда получает урон."
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_property_one"		"Исцеление"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_4"						"[W4] Phantasm"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_Description"			"Duskbringer наносит увеличенный пост-резистный урон по обездвиженным любым способом врагам."
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_property_one"		"Доп. пост-резистный урон"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_suffix"				"%"

		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible"			"Material Diffusion"
		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible_Description"	"[w4]_modifier_descripton?"
		
		"DOTA_Tooltip_ability_specter_rush"								"Specter Rush"
		"DOTA_Tooltip_ability_specter_rush_Description"					"Duskbringer быстро бежит вперёд, игнорируя препятствия."
