"tooltip_duskbringer_Q"											"螺旋枷和冥火枷"

		"DOTA_Tooltip_ability_whirling_flail"							"螺旋枷"
		"DOTA_Tooltip_ability_whirling_flail_Description"				"元素： <font color=\"#DDDDDD\">普通</font><br>夜幕使者快速挥动他的武器（每0.5秒挥动一次，持续3.5秒），击退附近所有敌人。施放幽灵冲刺之后可立即使用该技能，在冲刺的同时攻击敌人。"
		"DOTA_Tooltip_ability_whirling_flail_Lore"						""
		"DOTA_Tooltip_ability_whirling_flail_damage"					"每次挥动武器造成伤害"
		"DOTA_Tooltip_ability_whirling_flail_knockback"					"击退距离"		

		"DOTA_Tooltip_modifier_whirling_flail"							"螺旋枷"
		"DOTA_Tooltip_modifier_whirling_flail_Description"  			"快速挥动武器"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1"						"[Q1] 冥火枷"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_Description"			"施放螺旋枷的时候，夜幕使者的武器将附有冥火，每一次挥动武器（0.5秒）击中敌人并给敌人留下一层 debuff 持续造成灼烧伤害。debuff可以无上限的叠加。"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_one"		"每层debuff每秒灼烧伤害"
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix"				""		
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_property_two"		"额外伤害为敏捷值的倍数："
		"DOTA_Tooltip_ability_duskbringer_rune_q_1_suffix_two"			"x"
		
		"DOTA_Tooltip_modifier_modifier_duskbringer_rune_q_1"				"冥火枷"
		"DOTA_Tooltip_modifier_modifier_duskbringer_rune_q_1_Description"	"受到灼烧伤害"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_2"						"[Q2] 阴风阵阵"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_Description"			"提高直接物品伤害。（基于基础技能的物品伤害将不会受到提高）"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_property_one"		"物品伤害提高"
		"DOTA_Tooltip_ability_duskbringer_rune_q_2_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_3"						"[Q3] 黑暗能量"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_Description"			"根据敌人与夜幕使者之间的距离提高 螺旋枷 的伤害，距离越近伤害越高。伤害加成与中心距离成反比，并且线性递减，在最边缘处减少为 0。"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_property_one"		"中心最大伤害提高"
		"DOTA_Tooltip_ability_duskbringer_rune_q_3_suffix"				"%"
		
		"DOTA_Tooltip_ability_duskbringer_rune_q_4"						"[Q4] 灵魂之触"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_Description"			"提高@Ability1的伤害和作用范围。这个伤害加成也会对[Q1]冥火枷生效。"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_one"		"伤害提高"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix"				"%"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_property_two"		"范围提升"
		"DOTA_Tooltip_ability_duskbringer_rune_q_4_suffix_two"			""

		"DOTA_Tooltip_modifier_duskbringer_rune_q_4"					"苍白燃烧"
		"DOTA_Tooltip_modifier_duskbringer_rune_q_4_Description"		"攻击会附有冥火伽直接伤害并且造成爆炸"
		
		"DOTA_Tooltip_ability_ghost_hallow"								"幽冥之井"
		"DOTA_Tooltip_ability_ghost_hallow_Description"				"召唤鬼井把所有附近的敌人困住"
		"DOTA_Tooltip_ability_ghost_hallow_Lore"						""
		"DOTA_Tooltip_ability_ghost_hallow_radius"						"范围"
		"DOTA_Tooltip_ability_ghost_hallow_duration"					"囚禁时间"

		"DOTA_Tooltip_ghost_hallow_stun"								"幽冥之井"
		"DOTA_Tooltip_ghost_hallow_stun_Description"					"被囚禁"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_1"						"[W1] 幽冥之井"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_Description"			"当目标被幽冥之井困住，他们每 0.3s 会受到一次基于夜幕使者攻击力的魔法伤害。"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_property_one"		"伤害"
		"DOTA_Tooltip_ability_duskbringer_rune_w_1_suffix"				"% 攻击力"
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_2"						"[W2] 天体磁学"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_Description"			"被幽冥之井困住的敌人减少魔抗。"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_property_one"		"魔法抗性减少"
		"DOTA_Tooltip_ability_duskbringer_rune_w_2_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_3"						"[W3] 虚空等离子"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_Description"			"夜幕使者每次被攻击都会恢复血量"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_property_one"		"每次治疗"
		"DOTA_Tooltip_ability_duskbringer_rune_w_3_suffix"				""
		
		"DOTA_Tooltip_ability_duskbringer_rune_w_4"						"[W4] 鬼火"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_Description"			"当敌人被缠绕时（任何方式被缠绕时），受到来自夜幕使者的伤害将被加深。（伤害加深计算在敌人减伤之后）"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_property_one"		"减伤后伤害加深"
		"DOTA_Tooltip_ability_duskbringer_rune_w_4_suffix"				"%"

		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible"			"物质扩散"
		"DOTA_Tooltip_modifier_duskbringer_rune_w_4_visible_Description"	"护甲降低"
		
		"DOTA_Tooltip_ability_specter_rush"								"幽灵冲刺"
		"DOTA_Tooltip_ability_specter_rush_Description"					"夜幕使者快速向前冲刺。冲刺时无碰撞体积。"
		"DOTA_Tooltip_ability_specter_rush_Lore"						""
		"DOTA_Tooltip_ability_specter_rush_charge_duration"				"持续时间"

		"DOTA_Tooltip_ability_specter_rush_two"							"幽灵冲刺"
		"DOTA_Tooltip_ability_specter_rush_two_Description"				"夜幕使者快速向前冲刺。冲刺时无碰撞体积。"	
