		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
    	"solunia_w"															"Solarang and Lunarang"
    	"solunia_e"															"Solar and Lunar Warp Flare"
    	"solunia_r"															"Supernova and Eclipse"

    	"DOTA_Tooltip_ability_solunia_solar_glow"							"Solar Napalm"
    	"DOTA_Tooltip_ability_solunia_solar_glow_Description"				"Element: <font color=\"#C25DFC\">Cosmic</font> / <font color=\"#EF4126\">Fire</font><br>A barrage of firey Sun Stones launch from Solunia towards the target location."
    	"DOTA_Tooltip_ability_solunia_solar_glow_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_solar_glow_projectiles"				"PROJECTILES:"
    	"DOTA_Tooltip_ability_solunia_solar_glow_stun_duration"				"STUN DURATION:"

    	"DOTA_Tooltip_ability_solunia_lunar_glow"							"Lunar Napalm"
    	"DOTA_Tooltip_ability_solunia_lunar_glow_Description"				"Element: <font color=\"#C25DFC\">Cosmic</font> / <font color=\"#87D9FF\">Ice</font><br>A barrage of icy Moon Stones are emitted from Solunia towards the target location."
    	"DOTA_Tooltip_ability_solunia_lunar_glow_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_lunar_glow_projectiles"				"PROJECTILES:"
    	"DOTA_Tooltip_ability_solunia_lunar_glow_stun_duration"				"STUN DURATION:"
		
		"DOTA_Tooltip_ability_solunia_rune_q_1"								"[Q1] Gamma Ray"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_Description"					"An electromagnetic wave travels toward the Napalm cast point, pushing enemies toward the explosions and rooting them."
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_one"				"Damage"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix"						"% of attack Damage"	
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_two"				"Push Force"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix_two"					""
		
		"DOTA_Tooltip_modifier_solunia_q_1_root"							"Gamma Ray"
    	"DOTA_Tooltip_modifier_solunia_q_1_root_Description"				"Rooted and being pushed"
		
		"DOTA_Tooltip_ability_solunia_rune_q_2"								"[Q2] Nitro Boost"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_Description"					"Each enemy hit by Napalm adds a stack of Nitro Boost. Lunar stacks adds attack bonus % and Solar stacks add base attack damage. Each stack lasts 3 seconds, max 50 stacks."
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_one"				"Base Attack Damage (Solar)"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix"						""	
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_two"				"Attack Damage Bonus (Lunar)"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix_two"					"%"
		
		"DOTA_Tooltip_modifier_solunia_b_a_solar_visible"					"Nitro Boost"
    	"DOTA_Tooltip_modifier_solunia_b_a_solar_visible_Description"		"Increased base attack damage"
    	"DOTA_Tooltip_modifier_solunia_b_a_lunar_visible"					"Nitro Boost"
    	"DOTA_Tooltip_modifier_solunia_b_a_lunar_visible_Description"		"Increased damage by %%"
		
		"DOTA_Tooltip_ability_solunia_rune_q_3"								"[Q3] Natura"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_Description"					"Solar and Lunar Napalm deal increased damage based on the target's current or missing health."
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_one"				"Solar Napalm Damage Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix"						"% of enemy current health"	
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_two"				"Lunar Napalm Damage Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix_two"					"% of missing health"
		
		"DOTA_Tooltip_ability_solunia_rune_q_4"								"[Q4] Mercuria"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_Description"					"Solunias's Attributes increase all <font color=\"#C25DFC\">Cosmic</font> damage."
    	"DOTA_Tooltip_ability_solunia_rune_q_4_property_one"				"Cosmic Damage Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_suffix"						"% for each 10 points of Attributes"
		
		"DOTA_Tooltip_ability_solunia_solarang"								"Solarang"
    	"DOTA_Tooltip_ability_solunia_solarang_Description"					"Element: <font color=\"#C25DFC\">Cosmic</font> / <font color=\"#DDDDDD\">Normal</font><br>Solunia's weapon is tossed as a boomerang towards the target location. The blade deals damage every 0.2 seconds to all enemies it collides with. If it gets close enough to enemy, it latches on to them."
    	"DOTA_Tooltip_ability_solunia_solarang_max_boomerangs"				"MAX CONCURRENT SOLARANGS:"
    	"DOTA_Tooltip_ability_solunia_solarang_damage"						"DAMAGE:"

    	"DOTA_Tooltip_modifier_outgoing_solarang"							"Outbound Solarangs"
    	"DOTA_Tooltip_modifier_outgoing_lunarang"							"Outbound Lunarangs"

    	"DOTA_Tooltip_ability_solunia_lunarang"								"Lunarang"
    	"DOTA_Tooltip_ability_solunia_lunarang_Description"					"Element: <font color=\"#C25DFC\">Cosmic</font> / <font color=\"#DDDDDD\">Normal</font><br>Solunia's weapon is tossed as a boomerang towards the target location. The blade deals damage every 0.2 seconds to all enemies in its razor-sharp spin. If it gets close enough to enemy, it latches on to them."
    	"DOTA_Tooltip_ability_solunia_lunarang_max_boomerangs"				"MAX CONCURRENT LUNARANGS:"
