		//Abilities
		"ekkan_corpse"														"尸体"
		
		"notification_no_dominion"											"不可被支配"
    	"notification_raise_skeleton_fail"									"必须点击尸体"
    	"notification_supercharge_fail"										"必须点击已召唤的单位"
    	"notification_river_no_explosion"									"E1 没有升级"
    	"notification_supercharge_no_swarm"									"R2 没有升级"
    	"notification_supercharge_no_corpse_charge"							"R3 没有升级"

    	"DOTA_Tooltip_ability_ekkan_dominion"								"黑暗统治"
    	"DOTA_Tooltip_ability_ekkan_dominion_Description"					"元素： <font color=\"#5C776E\">亡灵</font> / <font color=\"#5B648C\">恶魔</font><br>死灵飞龙诅咒敌人的灵魂。被诅咒的敌人每0.5秒受到基于自身攻击力的伤害。如果该敌方单位在诅咒持续的时间内死亡，这个敌人的亡灵将永久被死灵飞龙支配，为死灵飞龙战斗直至战死。如果对已经被支配的死灵施放此技能将直接杀死这个死灵。"
    	"DOTA_Tooltip_ability_ekkan_dominion_max_summons"					"最大支配数量："
    	"DOTA_Tooltip_ability_ekkan_dominion_move_slow"						"诅咒使敌人移动速度减少 % ："
    	"DOTA_Tooltip_ability_ekkan_dominion_debuff_duration"				"诅咒持续时间："
    	"DOTA_Tooltip_ability_ekkan_dominion_burn_damage"					"诅咒伤害为被诅咒敌人攻击力的 % ："
		
		"DOTA_Tooltip_modifier_dominion_counter"							"黑暗统治支配死灵数"
    	"DOTA_Tooltip_modifier_dominion_counter_Description"				""
		
		"DOTA_Tooltip_ability_ekkan_creep_aggressive"						"侵略"
    	"DOTA_Tooltip_ability_ekkan_creep_aggressive_Description"			"这个单位正在猎杀敌人，开启技能可以切换行动模式为跟随"

    	"DOTA_Tooltip_ability_ekkan_creep_follow"							"跟随"
    	"DOTA_Tooltip_ability_ekkan_creep_follow_Description"				"这个单位正在跟随召唤者，开启技能可以切换行动模式为被动"

    	"DOTA_Tooltip_ability_ekkan_creep_passive"							"被动"
    	"DOTA_Tooltip_ability_ekkan_creep_passive_Description"				"这个单位没有指示将不会进行任何行动。开启技能可以切换行动模式为侵略"

    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff"						"黑暗统治"
    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff_Description"			"被减速。如果在此buff持续时间内死亡，这个死灵将会被死灵飞龙支配。"

    	"DOTA_Tooltip_modifier_ekkan_dominion_unit"							"统治"
   		"DOTA_Tooltip_modifier_ekkan_dominion_unit_Description"				"为死灵飞龙效劳"
		
		"DOTA_Tooltip_ability_ekkan_rune_q_1"								"[Q1] 僵尸之吻"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_Description"					"被支配的死灵攻击有 10% 的几率在一条直线上对敌人造成额外的魔法伤害。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_property_one"					"额外的魔法伤害"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_suffix"						"% 被支配死灵的攻击力"
		
		"DOTA_Tooltip_ability_ekkan_zombie_strike"							"僵尸之吻"
    	"DOTA_Tooltip_ability_ekkan_zombie_strike_Description"				"攻击有10％的几率，在目标身后的一条直线上造成额外魔法伤害。"
		
		"DOTA_Tooltip_ability_ekkan_rune_q_2"								"[Q2] 阴沉觉醒"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_Description"					"增加所支配死灵的最大生命值"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_property_one"					"最大生命值提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3"								"[Q3] 暗黑旅程"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_Description"					"被支配的死灵每击杀一个敌人，都将永久增加其攻击力与护甲值"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_one"					"攻击力提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_two"					"护甲值提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks"						"暗黑旅程层数"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_Description"			"收获了敌人的灵魂，护甲值和攻击力提高"

    	"DOTA_Tooltip_ability_ekkan_rune_q_4"								"[Q4] 同情"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_Description"					"增加被支配死灵的攻击速度和移动速度。"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_one"					"移动速度提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_two"					"攻击速度提高"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity"							"同情"
    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity_Description"				"攻击速度和移动速度提高"
		
		"DOTA_Tooltip_ability_ekkan_summon_skeleton"						"召唤骷髅"
   		"DOTA_Tooltip_ability_ekkan_summon_skeleton_Description"			"敌人在死灵飞龙附近1500码范围内死亡，将会留下一摊尸骨。死灵飞龙可以从尸体中召唤出骷髅战士为他战斗。"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_max_skeletons"			"最大召唤骷髅数量："
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_duration"		"骷髅持续时间："
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_armor_mult"				"骷髅护甲值为死灵龙的倍数："
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_attack_mult"			"骷髅攻击力为死灵龙的倍数："
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_health"		"骷髅的生命值："

		"castle_skeleton_warrior"											"骷髅战士"

		"DOTA_Tooltip_modifier_summon_skeleton_counter"						"骷髅召唤数量"
		"DOTA_Tooltip_modifier_summon_skeleton_counter_Description"			""

		"DOTA_Tooltip_modifier_skeleton_summon_unit"						"被召唤的骷髅"
		
		"DOTA_Tooltip_ability_ekkan_rune_w_1"								"[W1] 骷髅射手"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_Description"					"几率召唤出一个骷髅射手，骷髅射手远程攻击并且攻击力为死灵飞龙的倍数。骷髅射手有30%的概率造成致命一击并且穿透护甲，并且该致命一击拥有<font color=\"#5C776E\">不死</font> 元素。"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_property_one"					"攻击力为死灵飞龙的 % ："
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_suffix"						"%"
	"DOTA_Tooltip_ability_ekkan_rune_w_1_property_two"                  "致命一击伤害"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_suffix_two"                    "%"

    	"DOTA_Tooltip_ability_ekkan_rune_w_2"								"[W2] 扩展恢复"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_Description"					"增加召唤骷髅的持续时间。 每一个存在的骷髅增加死灵飞龙的 <font color=\"#5C776E\">不死</font> 伤害。"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_property_one"					"召唤持续时间增加"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_suffix"						" 秒"
	"DOTA_Tooltip_ability_ekkan_rune_w_2_property_two"                  "不死元素伤害增加"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_suffix_two"                        "每一个存在的骷髅"

    	"DOTA_Tooltip_ability_ekkan_rune_w_3"								"[W3] 骷髅法师"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_Description"					"30%几率召唤骷髅法师，对敌人进行aoe魔法攻击，伤害并减速敌人。"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_one"					"AOE魔法伤害"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix"						"% 死灵飞龙的攻击力"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_two"					"移动速度降低"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix_two"					""

    	"DOTA_Tooltip_ability_ekkan_mage_blast"								"爆炸"
    	"DOTA_Tooltip_ability_ekkan_mage_blast_Description"					"1秒后对范围内的敌人造成伤害并且减速敌人。伤害视为召唤骷髅的基础技能伤害。"

    	"DOTA_Tooltip_modifier_mage_blast_slow"								"爆炸"
    	"DOTA_Tooltip_modifier_mage_blast_slow_Description"					"移动速度降低"

    	"DOTA_Tooltip_ability_ekkan_rune_w_4"								"[W4] 阴影斗篷"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_Description"					"所有被召唤的骷髅和死灵飞龙自身，都将获得额外的魔法抗性。被召唤的骷髅拥有税后伤害加成。"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_property_one"					"魔法抗性提高"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_suffix"						""
	"DOTA_Tooltip_ability_ekkan_rune_w_4_property_two"                  "骷髅的税后伤害增加"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_suffix_two"                    "%"
		
		"DOTA_Tooltip_ability_ekkan_river_of_souls"							"地狱之门"
		"DOTA_Tooltip_ability_ekkan_river_of_souls_Description"				"在目标地点创造一个地狱之门，可以与另一个地狱之门联通，踏入地狱之门在1.5秒之后将被传送至另一个地狱之门处。死灵飞龙所有的控制单位都可以被传送，并且友军也可以使用地狱之门。"	
		"DOTA_Tooltip_ability_ekkan_river_of_souls_cast_range"				"施法距离："

		"DOTA_Tooltip_modifier_river_of_souls_teleporting"					"地狱之门传送中"
		
		"DOTA_Tooltip_ability_ekkan_rune_e_1"								"[E1] 尸爆"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_Description"					"地狱之门可以对尸体施放，使尸体炸成诸多碎片，碎片会造成伤害，伤害基于该尸体生前的最大生命值。"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_one"					"伤害"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix"						"% 最大生命值"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_two"					"爆炸半径"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix_two"					""

    	"DOTA_Tooltip_ability_ekkan_rune_e_2"								"[E2] 石像鬼"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_Description"					"一个魔法免疫的石像鬼从地狱之门中被召唤出来。石像鬼拥有死灵飞龙一半的最大生命值。最多拥有两个石像鬼。"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_one"					"石像鬼攻击力"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix"						"% 死灵飞龙攻击力"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_property_two"					"石像鬼护甲值"
    	"DOTA_Tooltip_ability_ekkan_rune_e_2_suffix_two"					"% 死灵飞龙护甲值"

    	"DOTA_Tooltip_ability_ekkan_rune_e_3"								"[E3] 分解"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_Description"					"石像鬼的攻击将降低攻击目标的护甲值"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_property_one"					"护甲值降低"
    	"DOTA_Tooltip_ability_ekkan_rune_e_3_suffix"						""

    	"DOTA_Tooltip_ability_ekkan_rune_e_4"								"[E4] 石像形态"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_Description"					"石像鬼可以变成石像，变身时眩晕敌人。石像形态下石像鬼免疫物理攻击并且回复生命值。"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_one"					"眩晕持续时间"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix"						" 秒"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_property_two"					"生命值回复"
    	"DOTA_Tooltip_ability_ekkan_rune_e_4_suffix_two"					"%"

    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform"						"石像形态"
    	"DOTA_Tooltip_ability_ekkan_familiar_stoneform_Description"			"眩晕下面的敌人并且在持续时间内提高生命回复速度。在侵略行动模式下，当石像鬼生命值低于70%的最大生命时，该技能将会自动施放。"

    	"DOTA_Tooltip_modifier_familiar_stoneform"							"石像形态"
		
		"DOTA_Tooltip_ability_ekkan_supercharge"							"灵魂充能"
		"DOTA_Tooltip_ability_ekkan_supercharge_Description"				"死灵飞龙可以强化他的任意一个召唤物。"
		"DOTA_Tooltip_ability_ekkan_supercharge_buff_duration"				"强化持续时间："
		"DOTA_Tooltip_ability_ekkan_supercharge_attack_speed"				"攻击速度提高："
		"DOTA_Tooltip_ability_ekkan_supercharge_health_regen"				"生命回复速度提高 %："

		"DOTA_Tooltip_modifier_ekkan_supercharge"							"灵魂充能"
		"DOTA_Tooltip_modifier_ekkan_supercharge_Description"				"被死灵飞龙强化"
		
		"DOTA_Tooltip_ability_ekkan_rune_r_1"								"[R1] 吸血"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_Description"					"灵魂充能强化的单位获得攻击吸血能力。攻击的吸血同时也会治疗死灵飞龙。"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_property_one"					"吸血"
    	"DOTA_Tooltip_ability_ekkan_rune_r_1_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_r_2"								"[R2] 灾难群"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_Description"					"灵魂充能可以对单个敌人施放。对这个敌人造成全体召唤物 % 总攻击力的纯粹伤害。这个伤害无视坚定。"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_property_one"					"伤害"
    	"DOTA_Tooltip_ability_ekkan_rune_r_2_suffix"						"% 全体召唤物的总攻击力"

    	"DOTA_Tooltip_ability_ekkan_rune_r_3"								"[R3] 骷髅王"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_Description"					"对尸体施放灵魂充能将会创造一个不可移动的骷髅王，持续8秒。骷髅王每0.2秒伤害周围的敌人。骷髅王的每次伤害基于该尸体生前的攻击力。"
    	"DOTA_Tooltip_ability_ekkan_rune_r_3_property_one"					"伤害"
