
    	"DOTA_Tooltip_ability_item_rpc_basilisk_plague_helm"							"Basilisk Plague Helm"
		"item_property_basilisk_plague"					"Depth Rot"
		"property_basilisk_plague_description"				"A cloud of foul rot surrounds you, slowing the movement speed of nearby enemies by <% BASILISK_PLAGUE_MOVESPEED_REDUCE_PCT %>% and reducing their attack speed by <% BASILISK_PLAGUE_ATT_SPD_REDUCE %>. Enemies who are exposed to the rot for <% BASILISK_PLAGUE_TIME_BEFORE_STONE_FORM %> seconds are petrified for <% BASILISK_PLAGUE_STONE_FORM_DUR %> seconds, paralyzing them while granting Spell Immunity and a <% BASILISK_PLAGUE_PHYSICAL_POSTMIT * 100%>% post-mitigation weakness to Physical damage."
        "DOTA_Tooltip_modifier_basilisk_plague_petrify"	"Depth Rot Petrify"
		"DOTA_Tooltip_modifier_basilisk_plague_petrify_Description"	"Turned to stone. Spell Immune, vulnerable to Physical damage."

		
    	"DOTA_Tooltip_ability_item_rpc_brazen_kabuto_of_the_desert_realm"				"Brazen Kabuto of the Desert Realm"
		"item_property_brazen_kabuto"				"Warrior's Rampart"
		"property_brazen_kabuto_description"		"100% damage immunity while channeling @Ability4. When the channel is finished, gain a shield that grants <% KABUTO_SHIELD_RESISTANCE * 100 %>% damage reduction for <% KABUTO_SHIELD_DUR %> seconds."
		"DOTA_Tooltip_modifier_brazen_kabuto_channeling"	"Warrior's Rampart"
		"DOTA_Tooltip_modifier_brazen_kabuto_description"	"Magic and damage immunity"
		"DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Warrior's Rampart"
        "DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Reduce incoming damage by <% KABUTO_SHIELD_RESISTANCE * 100 %>%."
		

		 "DOTA_Tooltip_ability_item_rpc_shipyard_veil_lv1"								"Shipyard Veil"
		 "item_property_shipyard_veil_3"					"Soul Shield"
		 "property_shipyard_veil_3_description"				"Each enemy hit by @Ability1 applies a shield stack that absorbs an instance of damage (0.1 second cooldown). Max @special_property1 stacks. Each stack increases Base Ability damage of @Ability1 by @special_property2%. Enemies who damage the shield are targeted by a skull that deals<br>@special_property3x your primary attribute as magic damage."

		 
		 "DOTA_Tooltip_modifier_shipyard_veil_shield"			"Soul Shield"
		 "DOTA_Tooltip_modifier_shipyard_veil_shield_Description"			"Absorbing damage instances."


    	"DOTA_Tooltip_ability_item_rpc_crown_of_the_lava_forge"							"Crown of the Lava Forge"
		 "item_property_lava_forge"							"Eject Tephra"
		 "property_lava_forge_description"					"When taking damage, launch a fireball towards the damage source that deals <% LAVA_FORGE_DMG_PER_ATT %>x your attack damage + <% LAVA_FORGE_DMG_PER_AGI %>x your Agility in a small radius on impact."
		 
		 
    	"DOTA_Tooltip_ability_item_rpc_white_mage_hat"								"White Mage Hat"
		"item_property_white_mage_hat_2"			"Curaga"
		"property_white_mage_hat_2_description"		"@Ability2 also restores HP for you and nearby allies, based on @special_property1x your Intelligence. Any over heal applies a shield that absorbs equivalent damage, up to 100% of target's max health. Base Ability damage is increased by @special_property2% for each 10 points of Intelligence."
		"DOTA_Tooltip_modifier_white_mage_shield"	"White Mage Shield"
		"DOTA_Tooltip_modifier_white_mage_shield_Description"	"Absorbing Damage"
		
		
    	"DOTA_Tooltip_ability_item_rpc_hyper_visor"									"Hyper Visor"
		"item_property_hyper_visor2"				"Hyper Lightning"
		"property_hyper_visor2_description"			"@special_property1% chance on attack to drop a lightning bolt on your target, dealing damage in a small area based on @special_property2x your attack power. Reduces your Base Attack Time by @special_property3 seconds.<br>All damage dealt directly by items is enhanced by @special_property4% for each 10 points of Agility."
		
		
    	"DOTA_Tooltip_ability_item_rpc_crown_of_ruby_dragon"							"Crown of the Ruby Dragon"	
		"item_property_ruby_dragon"					"Ruby Dragon"
		"property_ruby_dragon_description"			"Casting @Ability4 summons an invulnerable Ruby Dragon which patrols the sky around you for <% RUBY_DRAGON_DURATION %> seconds. It will bombard enemies with fire breath, dealing <% RUBY_DRAGON_IMPACT_DMG_PER_STR %>x your Strength on impact; targets will then burn for <% RUBY_DRAGON_TICK_DURATION %> seconds, taking <% RUBY_DRAGON_TICK_DMG_PER_STR %>x your Strength every <% RUBY_DRAGON_TICK_INTERVAL %> seconds. Each time a single unit is struck by fire breath, it will generate a new burn debuff, and each burn debuff deals damage and expires independently."
		
		
    	"DOTA_Tooltip_ability_item_rpc_centaur_horns"									"Sturdy Centaur Horns"	
		"item_property_centaur_horns"				"Rigidity"
		"property_centaur_horns_description"		"Knockback and Stuns received are capped at 0.03 seconds. Damage instances taken are capped at @special_property1% of max health. Taking damage from any source other than Centaur Horns disables all healing for @special_property2 seconds. Take 1 pure damage every 0.03 seconds."
		"DOTA_Tooltip_modifier_centaur_horns_debuff"				"Rigidity"
		"DOTA_Tooltip_modifier_centaur_horns_debuff_Description"	"Healing disabled"
		
		
    	"DOTA_Tooltip_ability_item_rpc_hood_of_chosen"									"Hood of the Chosen"	
		
		
    	"DOTA_Tooltip_ability_item_rpc_death_whisper_helm"								"Death Whisper Helm"
		"item_property_death_whisper"				"Death Whisper"
		"property_death_whisper_description"		"All enemies struck by @Ability1 take 30% increased Post-mitigation damage from all sources and are slowed by 100 for 5 seconds."
		
		
    	"DOTA_Tooltip_ability_item_rpc_cap_of_wild_nature"								"Cap of Wild Nature"
		"item_property_wild_nature"					"Entangling Roots"
		"property_wild_nature_description"			"@special_property1% chance to root enemies that damage you for @special_property2 seconds, dealing @special_property3x your primary attribute as damage every second."
		"item_property_wild_nature_two"				"Ensnaring Roots"
		"property_wild_nature_two_description"		"Enemies struck by @Ability2 have a @special_property1% chance to be rooted for @special_property2 seconds, taking @special_property3x your primary attribute as damage every second."
		
		
    	"DOTA_Tooltip_ability_item_rpc_guard_of_luma"									"Guard of Luma"
		"item_property_luma"						"Lucent Beam"
