		
		
				//ARENA

		"roshpit_arena"												"Roshpit Arena"
		"arena_dialogue_one"										"The Roshpit Arena hosts the highest level of combat! People come from all over the World to celebrate our greatest Champions."
		"arena_attendee_one"										"Arena Attendee"

		"arena_training_dummy"										"Training Dummy"
		"arena_training_dummy_sentence_1"							"hit"
		"arena_training_dummy_sentence_2"							"for"
		"arena_training_dummy_sentence_3"							"damage"

		"arena_training_button_1"									"Clear Log"
		"arena_training_button_2"									"Start 7s Timer"
		"arena_training_button_3"									"Exit"

		"arena_log_capacity"										"Log Capacity"
		"arena_log_dps"												"DPS"
		"arena_armor_title"											"Physical Armor"
		"arena_update_dummy"										"Update Dummy"

		"arena_fan_dialogue_one"									"I'm here to see my favorite fighter, Champion Varaphlas!"
		"arena_fan_dialogue_two"									"Wow, you're my favorite Champion!"
		"arena_entrance_fan"										"Arena Fan"

		"arena_fan2_dialogue_one"									"I'm here to watch the Challenger's League! Anyone can register, but only a small few actually reach the highest level."

		"arena_left_leaderboard_title"								"Champion's League"

		"donations_board_title"										"Roshpit Donations"
		"donation_tip"												"roshpit.ca/donate"
		"donations_name"											"Name"
		"donations_amount"											"Amount"
		"donations_message"											"Message"	

		"arena_hall_of_heroes_npc"									"Historian"

		"champions_league_attendant"								"Champion's League Attendant"
		"pvp_league_attendant"										"PVP League Attendant"
		"pvp_league_attendant_message"								"The PVP League is still under development. Check back later."
		"challenger_league_attendant_message"						"The Challenger League is still under development. Battles will consist of co-op group chellenges. Check back later."

		"hall_of_champions_dialogue"								"These statues are built to commemorate the Valor and Courage of past heroes."

		"arena_behind_counter_1"									"Please speak to me on the other side of the counter."
		"arena_behind_counter_2"									"Hey. You're not supposed to be back here."
		"arena_behind_counter_3"									"Staff Only. Please get out of here."

		"arena_league_attendant_greeting"							"Hi! Welcome to the Champion's League."
		"pvp_league_attendant_greeting"								"This is the PVP League."
		"challenger_league_attendant_greeting"						"Welcome to the Challenger's League."

		"challenger_attendant"										"Challenger's League Attendant"
		
		"arena_crowd_fan"											"Fan"
		
		"arena_guard"												"Guard of Arena"
		"DOTA_Tooltip_ability_arena_guard_ability"					"Guard of Arena"
		"DOTA_Tooltip_ability_arena_guard_ability"					"No trespassing!"

		"arena_league_attendant_player_restriction"					"You may only participate in the Champion's League as an individual. Come back when you're alone if you want to join."
		"arena_league_attendant_player_state_0"						"Welcome to the Champion's League! This is a global tournament that tests the individual battle proficiency of its participants."
		"arena_league_attendant_choice_0_option_1"					"Sign Up"
		"arena_league_attendant_choice_0_option_2"					"Nevermind"

		"champions_league_assistant"								"Coach Clearmoon"

		"arena_league_attendant_player_state_1"						"Oh. It looks like you don't have a coach. I might be able to assign you one, would you want that?"
		"arena_league_attendant_choice_1_option_1"					"Yes"
		"arena_league_attendant_choice_1_option_2"					"No Thanks"
		"arena_league_attendant_calling_coach"						"OK, I'm buzzing her now. She should be on her way."
		"arena_league_attendant_waiting_for_coach"					"Your coach is on her way. Please wait here for her."

		"champion_assistant_dialogue_1"								"Can you not bother me? I'm trying to think."
		"champion_assistant_dialogue_2"								"I'm here. Is this the new registrant?"
		"arena_league_attendant_coach_arrive"						"Hi!"
		"champion_assistant_dialogue_3"								"You look weak... but I can see some fire in your eyes."
		"champion_assistant_dialogue_4"								"I hope you're not as fragile as some of the other pick-up registrants that I've been assigned to."	
		"champion_assistant_dialogue_5"								"Follow me, I'll show you to the newbie lounge and prepare you for your first fight."
		"champion_assistant_dialogue_6"								"This is the Hall of Champions. I often come here to meditate and reflect on past battles."		
		"arena_league_attendant_coach_arrive_end"					"Good luck to both of you!"
		"champion_assistant_dialogue_7"								"This is the newbie lounge. It's not the nicest place, but it's where you belong."
		"champion_assistant_dialogue_8"								"Since you are now an official competitor, you are welcome here at any time."
		"champion_assistant_dialogue_9"								"Over there is an Arena Terminal. You can register for a battle from there."
		"champion_assistant_dialogue_9a"							"Go and try it out!"
		"champion_assistant_dialogue_10"							"Oh? There seems to be a problem with your registration. I need to go back to front desk to fix it."
		"champion_assistant_dialogue_11"							"Just wait here, and maybe get to know some of your rivals. I'll be right back."
		"champion_assistant_dialogue_12"							"OK, you're all set up now. Go use the terminal to register for your first battle."
		"champion_assistant_dialogue_12a"							"Your battle is about to begin. The arena is just setting up for you!"
		"champion_assistant_dialogue_13"							"This is your first fight. Battles are decided in a Bo3, so keep your head up after your first win."
		"champion_assistant_dialogue_14"							"If you lose this, you should probably go home and come back only when you're stronger."
		"champion_assistant_dialogue_15"							"Great, you won your first fight. Don't get too confident, it only gets harder from here."
		"champion_assistant_dialogue_15a"							"Your Champions League progress is automatically saved after winning."
		"champion_assistant_dialogue_16"							"Use the terminal to start your next ranked battle."
		"champion_assistant_dialogue_17"							"Blacksong is a tough opponent. She has massive physical damage and will always keep up with you."
		"champion_assistant_dialogue_19"							"A lot of people give up around here, so let's see you persevere."
		"champion_assistant_dialogue_20"							"That was an impressive show, the crowd was loving it."
		"champion_assistant_dialogue_21"							"I'm looking forward to your next battle."
		"champion_assistant_dialogue_22"							"Let's show Gorewreck. Register at the Terminal!"
		"champion_assistant_dialogue_23"							"Gorewreck returns damage when attacked. Heavy hits will be returned harder."
		"champion_assistant_dialogue_24"							"Keep a steady and controlled pace!"
		"champion_assistant_dialogue_25"							"Elderheart creates 3 elementals each with their own strengths."
		"champion_assistant_dialogue_26"							"The Earth Spirit has high magic resist, and fire has high armor."
		"champion_assistant_dialogue_27"							"That was a huge win! I have confidence that you'll go far."
		"champion_assistant_dialogue_28"							"Bryvarus is incredibly fast and resilient."
		"champion_assistant_dialogue_29"							"Use any tools you have to keep your distance, and chip him down!"
		"champion_assistant_dialogue_30"							"This opponent is sneaky. Don't let him trick you!"
		"champion_assistant_dialogue_31"							"What an incredible performance! Only 5 more rank ups until you're in the Major League."
		"champion_assistant_dialogue_32"							"Keep it up!"
		"champion_assistant_dialogue_33"							"The only way to hurt Ironspike is to let him damage you!"
		"champion_assistant_dialogue_34"							"Healing and Tanking are the keys to winning this matchup"
		"champion_assistant_dialogue_35"							"Ursa Major summons a horde of savage bears."
		"champion_assistant_dialogue_36"							"Classic wave-clearing AOE will be the most efficient way to win"
		"champion_assistant_dialogue_37"							"Rakash throws stunning axes and has nimble Maneuverability."
		"champion_assistant_dialogue_38"							"He has periodic magic immunity, so physical attacks will be most reliable."
		"champion_assistant_dialogue_39"							"The Red Mist Captain has an aura that deals 3% of your current health as pure damage each second."
		"champion_assistant_dialogue_40"							"If your health falls below 35%, he will execute you!"
		"champion_assistant_dialogue_41"							"Your next match will place you in the Major Champion's League"
		"champion_assistant_dialogue_42"							"I must say I am proud of how far you've made it!"
		"champion_assistant_dialogue_43"							"I shouldn't have doubted you. Let's see you make it to the Major League!"
		"champion_assistant_dialogue_44"							"The Avernus challenger combines the power of the strongest enemies of Avernus Castle"
		"champion_assistant_dialogue_45"							"If you're an experienced adventurer, you should know how to handle him!"
		"champion_assistant_dialogue_45a"							"Congratulations on your big win!"
		"champion_assistant_dialogue_45b"							"You are now in the Major League, and you are welcome in the Major League Lounge at any time."
		"champion_assistant_dialogue_45c"							"I am so proud of your accomplishment!"
		"champion_assistant_dialogue_46"							"Arcanys has maximum attack range and can teleport around the arena."
		"champion_assistant_dialogue_47"							"Mobility and disjoints will be necessary to win!"	
		"champion_assistant_dialogue_48"							"Only the strongest Champions can compete in the Major League. Use the terminal to start your next battle!"
		"champion_assistant_dialogue_49"							"Grand Warlord gains 1 magic resist for each % of Health that he's missing."
		"champion_assistant_dialogue_50"							"You'll have to finish him off with physical damage."
		"champion_assistant_dialogue_51"							"Condorpaw has blink teleport on a short cooldown."
		"champion_assistant_dialogue_52"							"He will strike you with fire and ice!"
