		
		
				//ARENA

		"roshpit_arena"												"Арена Roshpit"
		"arena_dialogue_one"										"Приветствую вас в залах Арены Roshpit, где проходят величайшие бои! Люди со всего мира приходят сюда, чтобы вновь поприветствовать величайших Чемпионов!"
		"arena_attendee_one"										"Участник Арены"

		"arena_training_dummy"										"Тренировочное чучело"
		"arena_training_dummy_sentence_1"							"нанёс"
		"arena_training_dummy_sentence_2"							"урон:"
		"arena_training_dummy_sentence_3"							""

		"arena_training_button_1"									"Очистить запись"
		"arena_training_button_2"									"7 сек. таймер"
		"arena_training_button_3"									"Выход"

		"arena_log_capacity"										"Вместимость лога"
		"arena_log_dps"												"DPS"
		"arena_armor_title"											"Физ. броня"
		"arena_update_dummy"										"Обновить"

		"arena_fan_dialogue_one"									"Я пришел сюда, чтобы увидеть моего любимого бойца! Его зовут Чемпион Варафлас!"
		"arena_fan_dialogue_two"									"Вау! Ты мой самый любимый Чемпион!"
		"arena_entrance_fan"										"Фанат Арены"

		"arena_fan2_dialogue_one"									"Я здесь, чтобы посмотреть битвы новичков! Любой может зарегистрироваться, но лишь малая часть доходит до вершины славы."

		"arena_left_leaderboard_title"								"Лига Чемпионов"

		"donations_board_title"										"Roshpit Donations"
		"donation_tip"												"roshpit.ca/donate"
		"donations_name"											"Имя"
		"donations_amount"											"Сумма"
		"donations_message"											"Сообщение"	

		"arena_hall_of_heroes_npc"									"Историк"

		"champions_league_attendant"								"Участник Лиги Чемпионов"
		"pvp_league_attendant"										"Участник PVP Лиги"
		"pvp_league_attendant_message"								"Лига PVP находится в процессе разработки. Будет добавлена позже."
		"challenger_league_attendant_message"						"Совместная лига в процессе разработки. Сражения будут содержать элементы совместной игры. Будет добавлена позже."

		"hall_of_champions_dialogue"								"Эти статуи возведены в память о мужестве и доблести героев прошлого."

		"arena_behind_counter_1"									"Поговорим, когда перейдешь за стойку..."
		"arena_behind_counter_2"									"Эй! Вам нельзя здесь находиться!"
		"arena_behind_counter_3"									"Здесь разрешено находиться только персоналу Арены. Немедленно уходи отсюда."

		"arena_league_attendant_greeting"							"Приветствую! Добро пожаловать в Лигу Чемпионов!"
		"pvp_league_attendant_greeting"								"Это PVP Лига."
		"challenger_league_attendant_greeting"						"Добро пожаловать в совместную лигу."

		"challenger_attendant"										"Сотрудник арены - Совместная лига"
		
		"arena_crowd_fan"											"Фанат"
		
		"arena_guard"												"Страж Арены"
		"DOTA_Tooltip_ability_arena_guard_ability"					"Посторонним вход воспрещен!"
		"DOTA_Tooltip_ability_arena_guard_ability"					"Посторонним вход воспрещен!"

		"arena_league_attendant_player_restriction"					"Ты можете принять участие в Лиге Чемпионов только в одиночку. Возвращайся, когда будешь один, если хочешь присоединиться."
		"arena_league_attendant_player_state_0"						"Добро пожаловать в Лигу Чемпионов! Это глобальное соревнование, где проходят проверку все личные боевые качества участников."
		"arena_league_attendant_choice_0_option_1"					"Регистрация"
		"arena_league_attendant_choice_0_option_2"					"Забудь"

		"champions_league_assistant"								"Тренер Чистая Луна"

		"arena_league_attendant_player_state_1"						"О. Судя по всему у тебя нет тренера. Я могу помочь тебе, ты хочешь нанять себе тренера?"
		"arena_league_attendant_choice_1_option_1"					"Да"
		"arena_league_attendant_choice_1_option_2"					"Нет, спасибо"
		"arena_league_attendant_calling_coach"						"Хорошо, я сейчас её позову. Она уже в пути."
		"arena_league_attendant_waiting_for_coach"					"Твой тренер уже идёт. Пожалуйста, подожди её здесь."

		"champion_assistant_dialogue_1"								"Можешь не отвлекать меня? Я пытаюсь думать."
		"champion_assistant_dialogue_2"								"Я здесь. Это ты новоприбывший?"
		"arena_league_attendant_coach_arrive"						"Привет!"
		"champion_assistant_dialogue_3"								"Ты выглядишь таким слабым... но я вижу огонь в твоих глазах."
		"champion_assistant_dialogue_4"								"Надеюсь, ты не такой слабак, как те, что приходили немногим ранее."	
		"champion_assistant_dialogue_5"								"Следуй за мной, я покажу зал для новичков и подготовлю тебя к первой битве."
		"champion_assistant_dialogue_6"								"Это зал Чемпионов. Часто прихожу сюда, чтобы расслабиться и подумать о прошедших битвах."		
		"arena_league_attendant_coach_arrive_end"					"Удачи вам обоим!"
		"champion_assistant_dialogue_7"								"Это зал для новичков. Не самое лучшее место, но большего ты еще не заслужил."
		"champion_assistant_dialogue_8"								"С тех пор, как ты зарегистрировался участником, ты можете приходить сюда в любое время."
		"champion_assistant_dialogue_9"								"А здесь у нас терминал Арены. Тут можно зарегистрироваться на битву."
		"champion_assistant_dialogue_9a"							"Иди и попробуй!"
		"champion_assistant_dialogue_10"							"Что такое? Похоже, что возникли проблемы с регистрацией. Мне нужно вернуться к стойке регистрации и исправить это."
		"champion_assistant_dialogue_11"							"Просто жди здесь, возможно ты найдешь тут своих будущих врагов. Скоро вернусь."
		"champion_assistant_dialogue_12"							"Так, теперь ты готов. Подойди к терминалу для регистрации и запишись на твою первую битву."
		"champion_assistant_dialogue_12a"							"Скоро твой бой. Арена уже готова для твоего появления!"
		"champion_assistant_dialogue_13"							"Это твой первый бой. Сражения проходят в рамках 'Лучший из трёх', так что не расслабляться после первой победы!"
		"champion_assistant_dialogue_14"							"Если ты проиграешь, то это будет значить, что тебе пора домой. Вернешься как станешь сильнее."
		"champion_assistant_dialogue_15"							"Здорово! Тебе удалось одержать победу в своём первом сражении! Только слищком не зазнавайся, дальше будет всё сложнее и сложнее."
		"champion_assistant_dialogue_15a"							"В случае победы, обновленный прогресс в Чемпионской лиге будет сохранён автоматически."
		"champion_assistant_dialogue_16"							"Воспользуйся терминалом, чтобы записаться на твоё следующее сражение."
		"champion_assistant_dialogue_17"							"Черная песнь - серьёзный противник. Она славится своими физическими атаками и будет всегда держать короткую дистанцию."
		"champion_assistant_dialogue_19"							"Очень много людей отказывались от этого сражения. Посмотрим, стоило ли этого твоё упорство."
		"champion_assistant_dialogue_20"							"Это было потрясающе! Фанаты были в восторге от этой бойни."
		"champion_assistant_dialogue_21"							"С нетерпением жду твоей следующей битвы."
		"champion_assistant_dialogue_22"							"Вперёд на регистрацию! Далее нас ждёт сражение с ... Горвиком"
		"champion_assistant_dialogue_23"							"Горвик способен возвращать любой получаемый им урон. Тяжёлые удары выйдут боком тебе же."
		"champion_assistant_dialogue_24"							"Контролируй темп и поддерживай его!"
		"champion_assistant_dialogue_25"							"Мастер элементов может создавать трех элементалей, у каждого свои сильные стороны."
		"champion_assistant_dialogue_26"							"Элементаль земли обладает повышенным сопротивлением магии, а огненный имеет больше всех брони."
		"champion_assistant_dialogue_27"							"Это была оглушительная победа! Уверена, ты добьёшься больших высот на арене!"
		"champion_assistant_dialogue_28"							"Брайварус невероятно силён и быстр."
		"champion_assistant_dialogue_29"							"Пользуйся любыми возможными способами, чтобы держаться от него на расстоянии и сбить его с ног!"
		"champion_assistant_dialogue_30"							"Это очень скрытный противник. Не дай ему тебя обмануть!"
		"champion_assistant_dialogue_31"							"Какой потрясающий успех! Еще пять побед и ты окажешься в высшей лиге."
		"champion_assistant_dialogue_32"							"Так держать!"
		"champion_assistant_dialogue_33"							"Единственный способ нанести удар по Железному Шипу - это дать ему возможность атаковать тебя!"
		"champion_assistant_dialogue_34"							"Лечение и способность держать урон - вот ключ к победе в этом сражении."
		"champion_assistant_dialogue_35"							"Большой медведь может призвать к себе орду медведей поменьше."
		"champion_assistant_dialogue_36"							"Классическая атака по области будет наиболее эффективной в этом сражении"
		"champion_assistant_dialogue_37"							"Рекеш знаменит бросками оглушающих топоров и своим проворством."
		"champion_assistant_dialogue_38"							"Время от времени он накладывает на себя сильный магический щит, так что лучше бей его физическими атаками."
		"champion_assistant_dialogue_39"							"Капитан армии Красного Тумана обладает аурой, которая ежесекундно отнимает у тебя 3% твоего максимального здоровья чистым уроном."
		"champion_assistant_dialogue_40"							"Если твоё здоровье опустится ниже 35%, он с легкостью казнит тебя!"
		"champion_assistant_dialogue_41"							"Победа в следующем сражении будет означать, что ты поднимешься в Высшую лигу"
		"champion_assistant_dialogue_42"							"Должна сказать, что я испытываю настоящую гордость за то, как стремительно ты продвигаешься в таблице чемпионата!"
		"champion_assistant_dialogue_43"							"Я не должна подвергать тебя сомнениям. Давай посмотрим, на что ты способен в Высшей Лиге!"
		"champion_assistant_dialogue_44"							"Претендент Авернус сочетает в себе мощь самых сильных врагов крепости Авернуса"
		"champion_assistant_dialogue_45"							"Если тебе доводилось побывать там, что тебе лучше знать, как биться с ним!"
		"champion_assistant_dialogue_45a"							"Поздравляю тебя с большой победой!"
		"champion_assistant_dialogue_45b"							"Теперь ты действительно достоин вступить в Высшую Лигу! Теперь тебе открыты двери в Зал Высшей Лиги в любое время."
		"champion_assistant_dialogue_45c"							"Я так горжусь твоими успехами!"
		"champion_assistant_dialogue_46"							"Арканис способен атаковать на любое расстояние и мгновенно перемещаться в любую точку арены."
		"champion_assistant_dialogue_47"							"Для победы тебе стоит полагаться на твою скорость и возможность уклоняться от атак и заклинаний!"	
		"champion_assistant_dialogue_48"							"Только истинные Чеспионы могут конкурировать в Высшей Лиге. Воспользуйся терминалом, чтобы записаться на следующую битву!"
		"champion_assistant_dialogue_49"							"Великий Вождь увеличивает своё сопротивление магии на 1% за каждый % отсутствующего у него здоровья."
		"champion_assistant_dialogue_50"							"Тебе придётся добить его физической атакой."
		"champion_assistant_dialogue_51"							"У Когтя Кондора есть способность мгновенного перемещения с короткой перезарядкой."
		"champion_assistant_dialogue_52"							"Его излюбленная тактика - атаковать врагов льдом и пламенем!"
		"champion_assistant_dialogue_53"							"Если честно, я не могу вспомнить, на что способен твой следующий противник."
		"champion_assistant_dialogue_54"							"Битва за шестой ранг всегда самая скучная."
		"champion_assistant_dialogue_55"							"А ты оживился, едва завидев меня. В чем дело?"
		"champion_assistant_dialogue_56"							"Тебе осталось подняться еще на 1 ступень выше, чтобы войти в Лигу Всех Звезд! Впечатляющий результат!"
		"champion_assistant_dialogue_57"							"Варафлас может вызывать локальное землетрясение, с помощью которого также может быстро перемещаться"
		"champion_assistant_dialogue_58"							"Он также может обрушить поток метеоров, так что следи за головой!"	
		"champion_assistant_dialogue_59"							"Ты обретаешь оглушительный успех! Теперь ты обожаемая всеми звезда Арены!"
		"champion_assistant_dialogue_59a"							"Сражения Звезд самые сложные, но я уверена, что ты утрёшь им всем нос."
		"champion_assistant_dialogue_60"							"Оплексус любимчик публики. Крайне сложно обратить на себя внимаие болельщиков, когда он на поле боя."
		"champion_assistant_dialogue_61"							"Не дай ему ослепить тебя, сконцентрируйся!"
		"champion_assistant_dialogue_62"							"Красный Рубик неуязвим к магическому урону, тогда как синий невосприимчив к магии."
		"champion_assistant_dialogue_63"							"Братья разделяют между собой одно здоровье, так что выбери себе одну цель и уничтожь их обоих!"
		"champion_assistant_dialogue_64"							"Потрясающе! Теперь ты вошел в тройку величайших Чмпионов!"
		"champion_assistant_dialogue_65"							"Никогда себе не представляла, что ты сможешь пробиться так далеко. Как думаешь, займём ли мы когда-нибудь самую верхнюю строчку?"	
		"champion_assistant_dialogue_66"							"Особые атаки Немезиса наносят огромнейший урон, но они слишком предсказуемы."
		"champion_assistant_dialogue_67"							"Постарайся как можно скорее запомнить все его возможные атаки и бой будет проще простого!"	
		"champion_assistant_dialogue_68"							"Всего 1 победа и ты прославишься как Великий Чемпион!"
		"champion_assistant_dialogue_69"							"Мы прошли через столько препятствий, столько сражений, так давай же займём, наконец, первое место!"

		"sign_hall_of_champions"									"Зал Чемпионов"
