		
		
				//ARENA

		"roshpit_arena"												"肉山谷竞技场"
		"arena_dialogue_one"										"肉山竞技场将举行最高等级的比赛。来自全世界的人们将一起为我们最伟大的冠军欢呼。"
		"arena_attendee_one"										"竞技场管理员"

		"arena_fan_dialogue_one"									"我来这里看我最喜爱的战士，Champion Varaphlas!"
		"arena_fan_dialogue_two"									"哇，你是我最喜爱的英雄！"
		"arena_entrance_fan"										"竞技场爱好者"

		"arena_fan2_dialogue_one"									"我来这儿观看挑战联赛！任何人都可以报名，但只有极少数能达到最高的等级。"

		"arena_left_leaderboard_title"								"冠军联赛"

		"champions_league_attendant"								"冠军联赛服务员"
		"pvp_league_attendant"										"PVP联赛服务员"
		"pvp_league_attendant_message"								"PVP联赛仍在开发中，敬请期待。"
		"challenger_league_attendant_message"						"挑战联赛（团队挑战）仍在开发中，敬请期待。"

		"hall_of_champions_dialogue"								"这些雕像用以纪念以往英雄们的英勇和胆魄。"

		"arena_behind_counter_1"									"请在柜台的另一边和我说话。"
		"arena_behind_counter_2"									"嘿，你不应该回到这里。"
		"arena_behind_counter_3"									"仅限工作人员。请你离开这里。"

		"arena_league_attendant_greeting"							"欢迎来到冠军联赛！"
		"pvp_league_attendant_greeting"								"这里是PVP联赛。"
		"challenger_league_attendant_greeting"						"欢迎来到挑战联赛！"

		"challenger_attendant"										"挑战联赛服务员"

		"arena_league_attendant_player_restriction"					"冠军联赛只接受单人模式报名。如果你想参与请你独身前来。"
		"arena_league_attendant_player_state_0"						"欢迎来到冠军联赛！这是一项检验参赛者个人技艺的全球赛事。"
		"arena_league_attendant_choice_0_option_1"					"报名"
		"arena_league_attendant_choice_0_option_2"					"忽略"

		"champions_league_assistant"								"朗月教练"

		"arena_league_attendant_player_state_1"						"看起来你似乎没有教练。需要我为你安排一个吗？"
		"arena_league_attendant_choice_1_option_1"					"是的"
		"arena_league_attendant_choice_1_option_2"					"不用了"
		"arena_league_attendant_calling_coach"						"好的，我现在就呼叫她。她很快就将赶来。"
		"arena_league_attendant_waiting_for_coach"					"你的教练即将到来，请在此稍候。"

		"champion_assistant_dialogue_1"								"能别烦我吗？我在思考问题！"
		"champion_assistant_dialogue_2"								"我来了。这位就是新成员？"
		"arena_league_attendant_coach_arrive"						"你好！"
		"champion_assistant_dialogue_3"								"你看起来好弱……不过我在你的眼中看到了对胜利的渴望。"
		"champion_assistant_dialogue_4"								"希望你别像我以前教导的选手那样脆弱。"	
		"champion_assistant_dialogue_5"								"跟着我，我带你去新手休息室并准备你的第一场比赛。"
		"champion_assistant_dialogue_6"								"这里是冠军大厅。我时常到这里来思考过去的战斗。"		
		"arena_league_attendant_coach_arrive_end"					"祝你们两好运！"
		"champion_assistant_dialogue_7"								"这里是新手休息室。尽管它不是最棒的，但它现在是你属于的地方。"
		"champion_assistant_dialogue_8"								"由于你现在已经是正式参赛者，欢迎你在任何时候来这里。"
		"champion_assistant_dialogue_9"								"那边就是竞技场后台。你可以在那里报名一场比赛。"
		"champion_assistant_dialogue_9a"							"去试试吧！"
		"champion_assistant_dialogue_10"							"哦？你的报名似乎出了点问题，我需要到前台去确认一下。"
