		"zone_redfall"											"Redfall Ridge"

		"redfall_first_quest_giver"								"Redfall Shagbark"

		"redfall_village"										"Redfall Village"
		"redfall_forest"										"Redfall Forest"
		"autumn_mist_canyon_entrance"							"Autumn Mist Canyon - Entrance"
		"autumn_mist_canyon"									"Autumn Mist Canyon"
		"redfall_farmlands"										"Redfall Farmlands"
		"abandoned_shipyard"									"Abandoned Shipyard"
		"abandoned_shipyard_boss_room"							"Crimsyth Hideout"
		
		//REDFALL QUESTS

		"tooltip_quest_log"										"Quest Log"
		"tooltip_quest_log_description"							"Opens up your Quest Log"

		"tooltip_new_quest"										"New Quest Added"

		"tooltip_progress"										"Progress"
		"tooltip_reward"										"Reward"
		"tooltip_quest_to_complete"								"Click to Complete"

		"tooltip_no_quests"										"You don't have any active quests"
		"tooltip_no_quests_completed"							"You don't have any completed quests"

		"tooltip_active"										"Active"	
		"tooltip_completed"										"Completed"

		"redfall_quest_1_title"									"Heart of the Forest"
		"redfall_quest_1_objective"								"Restore 4 Vermillion Trees located within Redfall Forest."

		"redfall_quest_1_objective_2"							"Defeat the Crimsyth Occult Wizard"	

		"redfall_autumnleaf_firefly"							"Burgundy Firefly"
		"redfall_autumnleaf_firefly_Description"				"Opens the entrance to Autumn Mist Canyon"

		"redfall_quest_2_title"									"Shrine of Mari"
		"redfall_quest_2_objective"								"Defeat the Mari Sprites."

		"redfall_blessing_of_maru"								"Blessing of Mari"
		"redfall_blessing_of_maru_Description"					"Grants 50/300/1000 to all stats for 60 minutes"

		"DOTA_Tooltip_modifier_blessing_of_maru"				"Blessing of Mari"
		"DOTA_Tooltip_modifier_blessing_of_maru_Description"	"Increased Attributes"

		"redfall_quest_3_title"									"Cleansing the Coast"
		"redfall_quest_3_objective"								"Defeat the waves of Ocean Ghouls summoned by Otaru."

		"redfall_otaru"											"Otaru"
		"redfall_otaru_dialogue_one"							"I have committed my life to protecting the forest borders. I will soon be performing a ritual of purification."	

		"redfall_otaru_dialogue_option1"						"May I join you?"
		"redfall_otaru_dialogue_option2"						"Thank you<br>for your service"

		"redfall_otaru_dialogue_2"								"Come. You will witness the artistry of preserving the land."

		"redfall_preservers_mantra"								"Preserver's Mantra"
		"redfall_preservers_mantra_Description"					"Increases XP gain by 20% for 60 minutes"

		"DOTA_Tooltip_modifier_preservers_mantra"				"Preserver's Mantra"
		"DOTA_Tooltip_modifier_preservers_mantra_Description"	"20%% increased XP gain."

		"redfall_otaru_dialogue_3"								"Very good. That should keep us pure for a few more days."

		"redfall_final_otaru_dialogue"							"The bounties of the Forest must never be taken for granted."

		"redfall_quest_4_title"									"Autumn Ash"
		"redfall_quest_4_objective"								"Awaken the Ash Treant in Redfall Forest."
		"redfall_quest_4_objective_2"							"Defeat the Ash Treant."

		"DOTA_Tooltip_ability_item_redfall_ashen_twig"			"Ashen Twig"
		"DOTA_Tooltip_ability_item_redfall_ashen_twig_Description"	"Use: Awakens the Ash Treant in the eastern part of forest when standing near him."

		"quest_immortal_head_gear"								"Immortal Helm"

		"redfall_quest_5_title"									"Seeking Ashara"
		"redfall_quest_5_objective"								"Use the Glowing Redfall Leaf at the Shrine of Ashara in Autumn Mist Canyon."		

		"redfall_quest_mithril_reward"							"Mithril Shards"
		"redfall_quest_5_reward"								"Rewards 35/70/210 Mithril Shards"

		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf"			"Glowing Redfall Leaf"
		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf_Description"	"Use: Activates the portal at the Shrine of Ashara in Autumn Mist Canyon."

		"redfall_quest_5_objective_2"								"Defeat the Spirit of Ashara in Autumn Mist Canyon."
		"redfall_quest_5_objective_3"								"Stand before the Raven Statue in Redfall Forest."
		"redfall_quest_5_objective_4"								"Encounter Ashara."

		"DOTA_Tooltip_modifier_blessing_of_ashara"			"Blessing of Ashara"
		"DOTA_Tooltip_modifier_blessing_of_ashara_Description"	"Allows the activation of the Raven Statue in Redfall Forest."	

		"redfall_quest_6_title"									"Shadow of Fenrir"
		"redfall_quest_6_objective"								"Find and defeat Fenrir, who roams Redfall Forest."

		"redfall_quest_6_reward"								"Fenrir's Fang"
		"redfall_quest_6_reward_Description"					"Immortal Trinket"

		//REDFALL DIALOGUE

		"redfall_quest_1_dialogue"								"Vermillion trees provide the lifeblood of our forest."
		"redfall_quest_1_dialogue_2"							"An external force threatens their survival."

		//REDFALL MONSTERS

		"DOTA_Tooltip_ability_redfall_autumn_slow"				"Mudsling"
		"DOTA_Tooltip_ability_redfall_autumn_slow_Description"	"Attacks leave their target with a slowing sticky mud."
		"DOTA_Tooltip_ability_redfall_autumn_slow_movespeed_loss"	"MOVESPEED LOSS:"

		"DOTA_Tooltip_modifier_autumn_slow"						"Mudsling"
		"DOTA_Tooltip_modifier_autumn_slow_Description"			"Movespeed Reduced"

		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability"	"Leaf Fall"
		"DOTA_Tooltip_ability_redfall_autumn_spawner_ability_Description"	"Periodcally spawns Autumn Flowers."

		"redfall_autumn_flower"									"Autumn Flower"

		"redfall_autumn_spawner"								"Enchanted Branch"

		"DOTA_Tooltip_ability_autumn_summoner_ability"					"Force of Seasons"
		"DOTA_Tooltip_ability_autumn_summoner_ability_Description"		"Spawns treant warriors to fight for the caster"

		"redfall_aqua_lily"										"Redfall Aqua Lily"

		"DOTA_Tooltip_ability_wozxak_fury_swipes"				"Fury Swipes"
		"DOTA_Tooltip_ability_wozxak_fury_swipes_Description"	"Successive attacks deal increased damage."
		"DOTA_Tooltip_ability_wozxak_fury_swipes_damage_per_stack"	"DAMAGE PER STACK:"

		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven"				"Fury Swipes"
		"DOTA_Tooltip_modifier_fury_swipes_target_datadriven_Description"	"Taking increased physical damage with each stack"

		"DOTA_Tooltip_ability_redfall_poison_sting"				"Poison Sting"
		"DOTA_Tooltip_ability_redfall_poison_sting_Description"	"Applies a stacking damage over time poison effect to attacked targets."
		"DOTA_Tooltip_ability_redfall_poison_sting_damage_per_tick"	"DAMAGE PER 0.5 SEC:"

		"DOTA_Tooltip_modifier_redfall_poison_sting"			"Poison Sting"
		"DOTA_Tooltip_modifier_redfall_poison_sting_Description"	"Taking damage every 0.5 seconds"

		"DOTA_Tooltip_ability_redfall_blade_fury"							"Blade Fury"
		"DOTA_Tooltip_ability_redfall_blade_fury_Description"				"Spins wildly with their blade, damaging enemies who get close. Magic Immune while spinning."

		"redfall_autumn_spirit"									"Autumn Spirit"

		"DOTA_Tooltip_ability_redfall_misty_breeze"				"Crippling Breeze"
		"DOTA_Tooltip_ability_redfall_misty_breeze_Description"	"Reduces attack damage, attack speed and movespeed of nearby enemies."
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_damage" "ATTACK DAMAGE %:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_attack_speed" "ATTACK SPEED:"
		"DOTA_Tooltip_ability_redfall_misty_breeze_movespeed"	"MOVESPEED:"

		"redfall_disciple_of_maru"								"Maru Sprite"

		"DOTA_Tooltip_ability_redfall_heavy_stone_toss"			"Heavy Stone Toss"
		"DOTA_Tooltip_ability_redfall_heavy_stone_toss_Description"	"Throws a boulder at the target unit that stuns and pushes them away from the caster."

		"DOTA_Tooltip_ability_redfall_spirit_of_ashara_passive"	"Red Heavens"
		"DOTA_Tooltip_ability_redfall_spirit_of_ashara_passive_Description"	"Red stars damage all nearby enemies on an interval."

		"DOTA_Tooltip_ability_redfall_gust_wave"				"Autumn Wind"
		"DOTA_Tooltip_ability_redfall_gust_wave_Description"	"A burst of wind damages and slows enemies in a cone."
		"DOTA_Tooltip_ability_redfall_gust_wave_move_slow"		"MOVE SLOW:"
		"DOTA_Tooltip_ability_redfall_gust_wave_attack_slow"    "ATTACK SPEED SLOW:"

		"DOTA_Tooltip_modifier_gust_wave_slow"					"Autumn Wind"
		"DOTA_Tooltip_modifier_gust_wave_slow_Description"		"Slowed"

		"redfall_cliff_invader"									"Ocean Ghoul"
		"redfall_cliff_invader_range"							"Ocean Ghoul"

		"DOTA_Tooltip_ability_redfall_dodge_ability"			"Combat Dodge"
		"DOTA_Tooltip_ability_redfall_dodge_ability_Description"	"Special Maneuverability."

		"DOTA_Tooltip_ability_redfall_forest_ranger_ai"					"Fall Marksmen"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_Description"		"Attacks have a 25% chance to leave a gaping wound, making the target bleed for damage each 0.5 seconds and reducing armor."
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_damage_per_tick"	"DAMAGE PER 0.5 SECONDS:"
		"DOTA_Tooltip_ability_redfall_forest_ranger_ai_armor_reduce"	"ARMOR REDUCTION:"

		"DOTA_Tooltip_modifier_forest_ranger_bleed"						"Fall Marksmen"
		"DOTA_Tooltip_modifier_forest_ranger_bleed_Description"			"Bleeding and reduced armor."

		"DOTA_Tooltip_ability_creature_heart_spike"						"Heart Spike"
		"DOTA_Tooltip_ability_creature_heart_spike_Description"			"Attacks deal additional pure damage based on the target's max health."
		"DOTA_Tooltip_ability_creature_heart_spike_health_percent"		"MAX HEALTH AS PURE DAMAGE %:"
		
		"DOTA_Tooltip_ability_redfall_ash_snake_ai"						"Autumn Ash"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_Description"			"Attacks reduce attack damage and attack speed of the target."
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_attack_speed_loss"			"ATTACK SPEED REDUCTION:"
		"DOTA_Tooltip_ability_redfall_ash_snake_ai_damage_loss_percent"			"OUTGOING DAMAGE REDUCTION %:"

		"DOTA_Tooltip_modifier_ash_snake_debuff"						"Autumn Ash"
		"DOTA_Tooltip_modifier_ash_snake_debuff_Description"			"Reduced Attack Speed and Attack Damage"	

		"redfall_ash_snake"										"Ash Snake"

		"DOTA_Tooltip_ability_redfall_forest_roar"				"Enrage"
		"DOTA_Tooltip_ability_redfall_forest_roar_Description"	"Grow in size and gain power."

		"DOTA_Tooltip_ability_redfall_ash_knight_shield"				"Equinox Shield"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_Description"	"Blocks all damage. Enemies who damage the shield are disarmed and weakened for 6 seconds."
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_regen_in_shield" "HP REGEN % IN SHIELD:"
		"DOTA_Tooltip_ability_redfall_ash_knight_shield_damage_loss"	 "SHIELD REVERB DAMAGE LOSS:"
