		"zone_redfall"											"Осенний Хребет"

		"redfall_first_quest_giver"								"Радостный зверь"

		"redfall_village"										"Осенняя Деревня"
		"redfall_forest"										"Осенний Лес"
		"autumn_mist_canyon_entrance"							"Каньон Осеннего Тумана - Вход"
		"autumn_mist_canyon"									"Каньон Осеннего Тумана"
		"redfall_farmlands"										"Осенняя Ферма"
		"abandoned_shipyard"									"Заброшенная Верфь"
		"abandoned_shipyard_boss_room"							"Убежище Кримсита"
		
		//REDFALL QUESTS

		"tooltip_quest_log"										"Список заданий"
		"tooltip_quest_log_description"							"Открывает ваш список заданий"

		"tooltip_new_quest"										"Получено новое задание"

		"tooltip_progress"										"Прогресс"
		"tooltip_reward"										"Награда"
		"tooltip_quest_to_complete"								"Нажмите для завершения"

		"tooltip_no_quests"										"У Вас нет активных заданий"
		"tooltip_no_quests_completed"							"У Вас нет завершенных заданий"

		"tooltip_active"										"Активно"	
		"tooltip_completed"										"Завершено"

		"redfall_quest_1_title"									"Сердце Леса"
		"redfall_quest_1_objective"								"Восстановите 4 Дерева Вермиллиона в Осеннем Лесу."

		"redfall_quest_1_objective_2"							"Одолейте мастера культа Кримсита"	

		"redfall_autumnleaf_firefly"							"Бургундийский Светлячок"
		"redfall_autumnleaf_firefly_Description"				"Открывает вход в Каньон Осеннего Тумана."

		"redfall_quest_2_title"									"Храм Мари"
		"redfall_quest_2_objective"								"Одолейте Духов Мари."

		"redfall_blessing_of_maru"								"Благословение Мари"
		"redfall_blessing_of_maru_Description"					"Дарует 50/300/1000 ко всем атрибутам на 60 минут."

		"DOTA_Tooltip_modifier_blessing_of_maru"				"Благословение Мари"
		"DOTA_Tooltip_modifier_blessing_of_maru_Description"	"Доп. атрибуты"

		"redfall_quest_3_title"									"Очистка Побережья"
		"redfall_quest_3_objective"								"Отару призвал морских гулей, убейте их."

		"redfall_otaru"											"Отару"
		"redfall_otaru_dialogue_one"							"Я посвятил свою жизнь защите этих лесов. Скоро я проведу ритуал очищения."	

		"redfall_otaru_dialogue_option1"						"Я помогу тебе провести его"
		"redfall_otaru_dialogue_option2"						"В другой раз"

		"redfall_otaru_dialogue_2"								"Пойдём. Ты узришь искусство очищения земли."

		"redfall_preservers_mantra"								"Мантра Хранителя"
		"redfall_preservers_mantra_Description"					"Увеличивает получаемый опыт на 20% на 60 минут."

		"DOTA_Tooltip_modifier_preservers_mantra"				"Мантра Хранителя"
		"DOTA_Tooltip_modifier_preservers_mantra_Description"	"20%% бонус опыта."

		"redfall_otaru_dialogue_3"								"Очень хорошо. Это очистит нас на несколько ближайших дней."

		"redfall_final_otaru_dialogue"							"Дары Леса не должны восприниматься как должное."

		"redfall_quest_4_title"									"Осенний пепел"
		"redfall_quest_4_objective"								"Пробудите сгоревшего трента в Осеннем Лесу."
		"redfall_quest_4_objective_2"							"Одолейте сгоревшего трента."

		"DOTA_Tooltip_ability_item_redfall_ashen_twig"			"Сгоревшая ветка"
		"DOTA_Tooltip_ability_item_redfall_ashen_twig_Description"	"Использование: Позволяет разбудить сгоревшего трента в восточной части леса. Необходимо стоять рядом с ним во время активации."

		"quest_immortal_head_gear"								"Immortal Шлем"

		"redfall_quest_5_title"									"Поиск Ашары"
		"redfall_quest_5_objective"								"Используйте Светящийся Осенний Лист в святилище Ашары в Каньоне Осеннего Тумана."		

		"redfall_quest_mithril_reward"							"Мифрильные Осколки"
		"redfall_quest_5_reward"								"Награда: 35/70/210 Мифрильных Осколков"

		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf"			"Светящийся Осенний Лист"
		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf_Description"	"Использование: Позволяет активировать портал в Святилище Ашары, что в Каньоне Осеннего Тумана."

		"redfall_quest_5_objective_2"								"Одолейте Дух Ашары в Каньоне Осеннего Тумана."
		"redfall_quest_5_objective_3"								"Встаньте перед статуей ворона в Осеннем Лесу"
		"redfall_quest_5_objective_4"								"Встретьте Ашару"

		"DOTA_Tooltip_modifier_blessing_of_ashara"			"Blessing of Ashara"
		"DOTA_Tooltip_modifier_blessing_of_ashara_Description"	"Позволяет активировать статую ворона в Осеннем Лесу (Расположен в восточной части леса)."	

		"redfall_quest_6_title"									"Тень Фенрира"
		"redfall_quest_6_objective"								"Найдите и убейте волка Фенрира, охотящегося в Осеннем Лесу."

		"redfall_quest_6_reward"								"Клык Фенрира"
		"redfall_quest_6_reward_Description"					"Immortal амулет"

		//REDFALL DIALOGUE

		"redfall_quest_1_dialogue"								"Деревья Вермиллиона хранят жизнь во всём лесу."
		"redfall_quest_1_dialogue_2"							"Внешние силы ставят под угрозу их выживание."

		//REDFALL MONSTERS

		"DOTA_Tooltip_ability_redfall_autumn_slow"				"Mudsling"
		"DOTA_Tooltip_ability_redfall_autumn_slow_Description"	"Атакуя цель липкой грязью, заставляет её замедляться."
		"DOTA_Tooltip_ability_redfall_autumn_slow_movespeed_loss"	"ЗАМЕДЛЕНИЕ:"

