		"zone_redfall"											"落红流火之岭"

		"redfall_village"										"落红流火村"
		"redfall_forest"										"落红流火树林"
		"autumn_mist_canyon_entrance"							"秋之薄雾峡谷 - 入口"
		"autumn_mist_canyon"									"秋之薄雾峡谷"
		
		//REDFALL QUESTS

		"tooltip_quest_log"										"任务日志"
		"tooltip_quest_log_description"							"开启你的任务日志"

		"tooltip_new_quest"										"新的任务已经添加"

		"tooltip_progress"										"进展"
		"tooltip_reward"										"奖励"
		"tooltip_quest_to_complete"								"点击完成"

		"tooltip_no_quests"										"你没有任何可用的任务"
		"tooltip_no_quests_completed"							"你没有任何完成的任务"

		"tooltip_active"										"启动"	
		"tooltip_completed"										"完成"

		"redfall_quest_1_title"									"森林之心"
		"redfall_quest_1_objective"								"在落红流火树林恢复四棵朱紅色的树."

		"redfall_quest_1_objective_2"							"打败Crimsyth巫师"	

		"redfall_autumnleaf_firefly"							"酒红色的的萤火虫"
		"redfall_autumnleaf_firefly_Description"				"打开秋之薄雾峡谷的入口"

		"redfall_quest_2_title"									"马里神社"
		"redfall_quest_2_objective"								"打败马里的精灵们."

		"redfall_blessing_of_maru"								"马里的祝福"
		"redfall_blessing_of_maru_Description"					"获得 50/300/1000 的全属性持续时间60分钟"

		"DOTA_Tooltip_modifier_blessing_of_maru"				"马里的祝福"
		"DOTA_Tooltip_modifier_blessing_of_maru_Description"	"增加属性"

		"redfall_quest_3_title"									"清理海岸"
		"redfall_quest_3_objective"								"防守Otaru的海洋食尸鬼."

		"redfall_otaru"											"Otaru"
		"redfall_otaru_dialogue_one"							"我承诺过保护森林的边界. 我将很快进行净化的仪式."	

		"redfall_otaru_dialogue_option1"						"我可以加入你吗?"
		"redfall_otaru_dialogue_option2"						"谢谢你的<br>服务"

		"redfall_otaru_dialogue_2"								"来. 你将会见证这座岛所保存的艺术."

		"redfall_preservers_mantra"								"保护者的曼陀罗"
		"redfall_preservers_mantra_Description"					"增加20%的经验获取速度持续时间60分钟."

		"DOTA_Tooltip_modifier_preservers_mantra"				"保护者的曼陀罗"
		"DOTA_Tooltip_modifier_preservers_mantra_Description"	"增加20%的经验获取速度"

		"redfall_otaru_dialogue_3"								"非常棒. 这应该能让我们在几天安静下来"

		"redfall_final_otaru_dialogue"							"森林的瑰宝永远不会被认为是理所当然的."

		"redfall_quest_4_title"									"秋天的梣木"
		"redfall_quest_4_objective"								"唤醒落红流火树林的灰烬."
		"redfall_quest_4_objective_2"							"打败银朱树."

		"DOTA_Tooltip_ability_item_redfall_ashen_twig"			"Ashen的树枝"
		"DOTA_Tooltip_ability_item_redfall_ashen_twig_Description"	"使用: 唤醒落红流火树林的灰烬."

		"quest_immortal_head_gear"								"不朽头盔"

		"redfall_quest_5_title"									"寻找Ashara"
		"redfall_quest_5_objective"								"在秋之薄雾峡谷中的Ashara的神社使用落红流火树叶."		

		"redfall_quest_mithril_reward"							"秘銀水晶"
		"redfall_quest_5_reward"								"奖励 35/70/210 秘銀水晶"

		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf"			"生长的落红流火树叶"
		"DOTA_Tooltip_ability_item_redfall_glowing_redfall_leaf_Description"	"使用: 启动在秋之薄雾峡谷中的Ashara的神社的传送门."

		"redfall_quest_5_objective_2"								"在秋之薄雾峡谷中打败Ashara的灵魂"
		"redfall_quest_5_objective_3"								"在落红流火森林里面站在乌鸦雕像前."
		"redfall_quest_5_objective_4"								"碰见Ashara."

		"DOTA_Tooltip_modifier_blessing_of_ashara"			"Ashara的祝福"
		"DOTA_Tooltip_modifier_blessing_of_ashara_Description"	"允许允许激活乌鸦雕像"	

		"redfall_quest_6_title"									"芬里尔的影子"
		"redfall_quest_6_objective"								"找到并且打败芬里尔."

		"redfall_quest_6_reward"								"芬里尔的犬牙"
