		"serengaard_vote_skip_wave"										"Vote Skip"
		
		"serengaard_leaderboard_title"									"Serengaard Leaderboard"

		"serengaard_leaderboard_7days"									"Last 7 Days"
		"serengaard_leaderboard_month"									"This Month"
		"serengaard_leaderboard_all_time"								"All Time"			

		"DOTA_Tooltip_ability_item_serengaard_sunstone"					"Serengaard Sunstone"
		"item_serengaard_sunstone_desc"									"Use before the first wave in the Battle of Serengaard to skip to the infinite wave battle on Legend."

		"battle_of_serengaard"											"Battle of Serengaard"
		"wave_starting_timer"											"Starting"
		"wave_name"														"Wave"
		"enemies_slain"													"Enemies Slain"
		"wave_spawning"													"Wave Spawning"

		"rpc_serengaard_tower"											"Dragon Tower"
		"DOTA_Tooltip_ability_serengaard_tower_ability"					"Serengaard Tower"
		"DOTA_Tooltip_ability_serengaard_tower_ability_Description"		"Towers are magical sentinels that attack one enemy target at a time."
		
		"serengaard_ancient_guardian"									"Sun Guardian"

		"rpc_serengaard_barracks"										"Sun Barracks"
		"DOTA_Tooltip_ability_serengaard_barracks_ability"				"Serengaard Barracks"
		"DOTA_Tooltip_ability_serengaard_barracks_ability_Description"	"These barracks generate durable guardians that bravely advance down their lane."

		"serengaard_ranger"												"Sun Ranger"
		"DOTA_Tooltip_ability_serengaard_ranger_ability"				"Sun Ranger"
		"DOTA_Tooltip_ability_serengaard_ranger_ability_Description"				"Shieldmaidens aggravate the advancing monsters by throwing moon glaives."

		"rpc_serengaard_teleporter"										"Serengaard Teleporter"

		"serengaard_knight"												"Serengaard Knight"

		"rpc_serengaard_ancient"										"Serengaard Ancient"
		"DOTA_Tooltip_ability_serengaard_ancient_ability"				"Serengaard Ancient"
		"DOTA_Tooltip_ability_serengaard_ancient_ability_Description"				"This monument controls the Battle of Serengaard combat test, summoning waves of ever more powerful monsters. When it falls, the test is concluded. The Serengaard Ancient takes only Physical and Pure damage and cannot be healed."

		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability"			"Sun Guardian"
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_Description"		"Provides passive health regen."
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_health_regen_pct"	"HEALTH REGEN %:"

		"DOTA_Tooltip_modifier_teleporter_aura"							"Teleporter"
		"DOTA_Tooltip_modifier_teleporter_aura_Description"				"Issuing a move order greater than 800 distance away and within Serengaard Castle will teleport you there after a 0.5 second delay."
	
		"DOTA_Tooltip_ability_serengaard_teleporter_ability"			"Teleporter"
		"DOTA_Tooltip_ability_serengaard_teleporter_ability_Description"	"While standing near the teleporter, issuing a move order greater than 800 distance away and within Serengaard Castle will teleport you there after a 0.5 second delay."
	
		"dark_fighter_serengaard"										"Dark Fighter"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment"		"Overpower"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment_Description"	"Massively increases attack speed"

		"serengaard_freeze_fiend"										"Freeze Fiend"

		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova" 				"Crystal Nova"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_Description"	"Targets an area with a chilling wind, dealing damage and slowing affected enemies."
