		"serengaard_vote_skip_wave"										"Пропустить ожидание"
		
		"serengaard_leaderboard_title"									"Лидеры выживания в битве за Серенгард"

		"serengaard_leaderboard_7days"									"7 дней"
		"serengaard_leaderboard_month"									"Месяц"
		"serengaard_leaderboard_all_time"								"Всё время"			

		"DOTA_Tooltip_ability_item_serengaard_sunstone"					"Солнечный Камень Серенгарда"
		"item_serengaard_sunstone_desc"									"Использование: Активируйте этот камень перед самой первой волной в Битве за Серенгард, чтобы пропустить волны до бесконечной стадии на сложности Legend."

		"battle_of_serengaard"											"Битва за Серенгард"
		"wave_starting_timer"											"Начало"
		"wave_name"														"Волна"
		"enemies_slain"													"Врагов убито"
		"wave_spawning"													"Появление волны"

		"rpc_serengaard_tower"											"Драконья Башня"
		"DOTA_Tooltip_ability_serengaard_tower_ability_Description"		"Башни-магические стражи атакуют приближающихся противников."
		"serengaard_ancient_guardian"									"Солнечный Страж"

		"rpc_serengaard_barracks"										"Солнечные бараки"
		"DOTA_Tooltip_ability_serengaard_barracks_ability"				"Serengaard Barracks"
		"DOTA_Tooltip_ability_serengaard_barracks_ability_Description"	"Этот барак периодически выпускает стражей, которые защищают свою линию."

		"serengaard_ranger"												"Солнечный стрелок"
		"DOTA_Tooltip_ability_serengaard_ranger_ability"				"Sun Ranger"
		"DOTA_Tooltip_ability_serengaard_ranger_ability_Description"				"Девы Щита отвлекают противников бросками лезвий."

		"rpc_serengaard_teleporter"										"Телепорт Серенгарда"

		"serengaard_knight"												"Рыцарь Серенгарда"

		"rpc_serengaard_ancient"										"Крепость Серенгарда"

		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability"			"Солнечный Страж"
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_Description"		"Пассивно восстанавливает здоровье."
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_health_regen_pct"	"ДОП. РЕГЕН. ЗДОРОВЬЯ, %:"

		"DOTA_Tooltip_modifier_teleporter_aura"							"Телепорт"
		"DOTA_Tooltip_modifier_teleporter_aura_Description"				"Приказ герою двигаться на расстояние больше, чем 800 юнитов, но в пределах крепости Серенгарда позволит телепортироваться с задержкой в 0.5 секунды."
	
		"DOTA_Tooltip_ability_serengaard_teleporter_ability"			"Телепорт"
		"DOTA_Tooltip_ability_serengaard_teleporter_ability_Description"	"Пока герой стоит рядом с телепортом, любой приказ двигаться на расстояние большее, чем 800 юнитов, но в пределах Крепости Серенгарда, позволит телепортироваться с задержкой в 0.5 секунды."
	
		"dark_fighter_serengaard"										"Тёмный Боец"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment"		"Overpower"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment_Description"	"Значительно увеличивает скорость атаки"

		"serengaard_freeze_fiend"										"Ледяной демон"

		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova" 				"Crystal Nova"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_Description"	"Проклинает выбранную область ледяными ветрами, наносит урон и замедляет задетых противников."
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_movespeed_slow"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ %:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_attackspeed_slow"	"СНИЖЕНИЕ СКОРОСТИ АТАКИ:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_duration"			"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"

		"serengaard_icy_venge"											"Ледяной Дух"

		"DOTA_Tooltip_ability_serengaard_wave_of_terror"				"Wave of Terror"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_Description"		"Быстро перемещающаяся волна страха, наносит урон и снижает броню задетых противников."
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_armor_reduction"	"СНИЖЕНИЕ БРОНИ:"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_tooltip_duration"	"ДЛИТЕЛЬНОСТЬ СНИЖЕНИЯ БРОНИ:"

		"DOTA_Tooltip_ability_serengaard_ice_vortex"					"Ice Vortex"
		"DOTA_Tooltip_ability_serengaard_ice_vortex_Description"		"Замораживает выбранную область мистическим льдом. Попадающие под действие льда противники замедляются и теряют сопротивление к магии."
		"DOTA_Tooltip_ability_serengaard_ice_vortex_movement_speed_pct"	"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_serengaard_ice_vortex_spell_resist_pct"	"СНИЖЕНИЕ СОПРОТИВЛЕНИЯ К МАГИИ:"

		"DOTA_Tooltip_ability_creature_acid_spray"						"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"При смерти взрывается, оставляя на месте гибели лужу сильного яда."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"ЕЖЕСЕКУНДНЫЙ УРОН:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"СНИЖЕНИЕ БРОНИ:"

		"DOTA_Tooltip_ability_creature_acid_spray"						"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"При смерти взрывается, оставляя на месте гибели лужу сильного яда."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"ЕЖЕСЕКУНДНЫЙ УРОН:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"СНИЖЕНИЕ БРОНИ:"

		"DOTA_Tooltip_ability_creature_acid_spray_yellow"				"Fulminating Poison"
		"DOTA_Tooltip_ability_creature_acid_spray_Description"			"При смерти взрывается, оставляя на месте гибели лужу сильного яда."
		"DOTA_Tooltip_ability_creature_acid_spray_damage"				"ЕЖЕСЕКУНДНЫЙ УРОН:"
		"DOTA_Tooltip_ability_creature_acid_spray_armor_reduction"		"СНИЖЕНИЕ БРОНИ:"

		"serengaard_hook_flinger"										"Метатель крюка"

		"DOTA_Tooltip_ability_custom_meat_hook"							"Meat Hook"
		"DOTA_Tooltip_ability_custom_meat_hook_Description"				"Бросает окровавленный крюк в выбранную точку и в случае, если на его пути будет вражеский герой, притягивает его к себе."
		"DOTA_Tooltip_ability_custom_meat_hook_damage"					"УРОН:"

		"serengaard_antimage"											"Временной странник"

		"DOTA_Tooltip_ability_serengaard_antimage_blink_custom"				"Blink"
		"DOTA_Tooltip_ability_serengaard_antimage_blink_custom_Description"	"Телепортируется в выбранную точку."

		"serengaard_sand_king"											"Песочный скорпион"

		"DOTA_Tooltip_ability_serengaard_burrowstrike"					"Burrowstrike"
		"DOTA_Tooltip_ability_serengaard_burrowstrike_Description"		"Закапывается в землю и быстро перемещается в указанную точку, оглушая всех врагов на своём пути."
		"DOTA_Tooltip_ability_serengaard_burrowstrike_tooltip_range"	"ДАЛЬНОСТЬ ПРИМЕНЕНИЯ:"

		"DOTA_Tooltip_ability_serengaard_sandking_ai"					"Sandstorm"
