
		
		"serengaard_leaderboard_title"									"防守地图排行榜"

		"serengaard_leaderboard_7days"									"七天内"
		"serengaard_leaderboard_month"									"本月"
		"serengaard_leaderboard_all_time"								"全部时间"			

		"DOTA_Tooltip_ability_item_serengaard_sunstone"					"防守图之太阳石"
		"item_serengaard_sunstone_desc"									"在传说难度下，在第一波敌人之前使用，将直接开启无尽模式。"

		"battle_of_serengaard"											"防守之战"
		"wave_starting_timer"											"开始"
		"wave_name"														"波"
		"enemies_slain"													"击败敌人"
		"wave_spawning"													"敌人来袭"

		"rpc_serengaard_tower"											"龙之塔"
		"serengaard_ancient_guardian"									"太阳守卫"

		"rpc_serengaard_barracks"										"太阳兵栈"

		"serengaard_ranger"												"太阳游侠"

		"rpc_serengaard_teleporter"										"传送点"

		"serengaard_knight"												"没充值的圣斗士"

		"rpc_serengaard_ancient"										"守卫雅典娜"

		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability"			"太阳守卫"
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_Description"		"被动增加生命回复."
		"DOTA_Tooltip_ability_serengaard_sun_guardian_ability_health_regen_pct"	"每秒生命回复 %:"

		"DOTA_Tooltip_modifier_teleporter_aura"							"传送"
		"DOTA_Tooltip_modifier_teleporter_aura_Description"				"右键点击地图上任意处，在0.5秒的延迟后传送至目标区域."
	
		"DOTA_Tooltip_ability_serengaard_teleporter_ability"			"传送"
		"DOTA_Tooltip_ability_serengaard_teleporter_ability_Description"	"当站在传送点附近时, 右键点击800范围外的地图上任意处，能在0.5秒的延迟后传送至目标区域."
	
		"dark_fighter_serengaard"										"黑暗战士"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment"		"too op"
		"DOTA_Tooltip_ability_ursa_overpower_no_head_attachment_Description"	"大量增加攻击速度"

		"serengaard_freeze_fiend"										"寒冰恶魔"

		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova" 				"冰霜新星"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_Description"	"召唤寒风打击目标区域, 对范围内的敌人造成伤害并减速."
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_movespeed_slow"	"移动速度减少 %:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_attackspeed_slow"	"攻击速度减少:"
		"DOTA_Tooltip_ability_freeze_fiend_crystal_nova_duration"			"减速时间:"

		"serengaard_icy_venge"											"冰霜复仇女神"

		"DOTA_Tooltip_ability_serengaard_wave_of_terror"				"恐怖波动"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_Description"		"发出一阵邪恶的嚎叫，对路径上的敌人造成伤害并降低他们的护甲."
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_armor_reduction"	"护甲降低:"
		"DOTA_Tooltip_ability_serengaard_wave_of_terror_tooltip_duration"	"护甲降低时间:"

		"DOTA_Tooltip_ability_serengaard_ice_vortex"					"冰霜漩涡"
