		"winterblight_village"											"Winterblight Village"
		"shrine_of_azalea"												"Shrine of Azalea"
		"winterblight_mountain"											"Winterblight Mountain"
		
		"DOTA_Tooltip_ability_item_rpc_winterblight_glacier_stone"		"Winterblight Glacier Stone"
		"item_rpc_winterblight_glacier_stone_desc"						"Place at the Altar of Ice in Winterblight Mountain to increase monster power."

		"altar_of_ice"												"Altar of Ice"
		"altar_of_ice_help1"										"A chilling voice appears in your head, 'Unleash the cold of the Glacier Stones, and feel the Mountain tremble.'<br><br><font color='FFFFFF'>1 Stone: Enemies have 99% damage reduction and deal 100% increased damage.</font>"
		"altar_of_ice_help2"										"A chilling voice appears in your head, 'Unleash the cold of the Glacier Stones, and feel the Mountain tremble.'<br><br><font color='FFFFFF'>2 Stones: Enemies have 99.9% damage reduction and deal 200% increased damage.</font>"
		"altar_of_ice_help3"										"A chilling voice appears in your head, 'Unleash the cold of the Glacier Stones, and feel the Mountain tremble.'<br><br><font color='FFFFFF'>3 Stones: Enemies have 99.999% damage reduction and deal 300% increased damage.</font>"

		"buzuki_powerup"											"Power Up!"

		"villager_dialogue_1"										"The mountain air seems to be getting increasingly bitter. I sometimes wonder if the cold will finally consume us all."
		"villager_dialogue_2"										"This trail marks the beginning of the long and harrowing path towards the peak of Winterblight Mountain."
		"villager_dialogue_2a"										"Desperate pilgrims head for the summit, risking everything for a chance at enlightenment."
		"villager_dialogue_3"										"Beyond here is an alternate route that winds up the mountain."
	
		"winterblight_tuskar_villager"								"Villager"
		
		
		"DOTA_Tooltip_ability_item_rpc_boreal_granite_chunk"		"Chunk of Boreal Granite"
		"item_rpc_boreal_granite_chunk_desc"						"Combine with any other immortal body armor in a Synthesis Vessel to create a Boreal Granite Vest."
		
		"DOTA_Tooltip_modifier_hero_candy_crush"					"Color Link"
		"DOTA_Tooltip_modifier_hero_candy_crush_Description"		"Connect adjacent same colored statues by attacking them. Cast W spell to end the link."

		"DOTA_Tooltip_modifier_ice_sliding"							"Slippery Ice"

		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability"	"Snow Crab Spawner"
		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability_Description"	"Spawns a Snow Crab on a fixed interval"

		"DOTA_Tooltip_ability_winterblight_ogre_armor"				"Ogre Armor"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_Description"	"Reduces incoming damage and fires a retaliatory strike after taking damage multiple times."
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage_resist"	"PASSIVE DAMAGE RESIST:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage"		"PROJECTILE DAMAGE:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_stun_duration"	"PROJECTILE STUN DURATION:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_hits_for_counter"	"HITS FOR RETALIATION:"

		"DOTA_Tooltip_ability_winterblight_raxxus_passive"			"Frost Brawler"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_Description"	"Provides a passive movespeed bonus. All attacks deal damage and slow in a small area."
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_damage"		"AOE DAMAGE:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_loss"		"CHILLED MOVESPEED SLOW:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_self"		"PASSIVE MOVESPEED BONUS:"

		"DOTA_Tooltip_ability_winterblight_generic_summon"			"Summon Minion"
