		"winterblight_village"											"Деревня Winterblight"
		"shrine_of_azalea"												"Святилище Азалии"
		"winterblight_mountain"											"Гора Winterblight"
		
		"DOTA_Tooltip_ability_item_rpc_winterblight_glacier_stone"		"Winterblight Glacier Stone"
		"item_rpc_winterblight_glacier_stone_desc"						"Разместите в Алтаре Льда на горе Winterblight, чтобы увеличить силу монстров."

		"altar_of_ice"												"Алтарь Льда"
		"altar_of_ice_help1"										"Леденящий голос звучит в вашей голове: 'Освободи холод из ледникового камня и почувствуй дрожь Горы.'<br><br><font color='FFFFFF'>1 Камень: Враги получают на 99% меньше урона и наносят на 100% больше урона.</font>"
		"altar_of_ice_help2"										"Леденящий голос звучит в вашей голове: 'Освободи холод из ледникового камня и почувствуй дрожь Горы.'<br><br><font color='FFFFFF'>2 Камня: Враги получают на 99.9% меньше урона и наносят на 200% больше урона.</font>"
		"altar_of_ice_help3"										"Леденящий голос звучит в вашей голове: 'Освободи холод из ледникового камня и почувствуй дрожь Горы.'<br><br><font color='FFFFFF'>3 Камня: Враги получают на 99.999% меньше урона и наносят на 300% больше урона.</font>"

		"buzuki_powerup"											"Усиление!"

		"villager_dialogue_1"										"Похоже, что горный воздух становится все более морозным. Иногда мне кажется, что холод поглотит всех нас."
		"villager_dialogue_2"										"Эта тропа знаменует начало длинного и мучительного пути к вершине горы Winterblight."
		"villager_dialogue_2a"										"О какой тропе я говорю? Ну, её еще не существует, она материализуется в далеком будущем."
		"villager_dialogue_3"										"Здесь берет начало иной путь к горе Winterblight. Однако и мост и сама гора еще не существуют, и появятся в далеком будущем..."
	
		"winterblight_tuskar_villager"								"Житель"
		
		
		"DOTA_Tooltip_ability_item_rpc_boreal_granite_chunk"		"Chunk of Boreal Granite"
		"item_rpc_boreal_granite_chunk_desc"						"Соедините с любой Immortal броней в синтезирующем сосуде, чтобы получить Boreal Granite Vest."
		
		"DOTA_Tooltip_modifier_hero_candy_crush"					"Color Link"
		"DOTA_Tooltip_modifier_hero_candy_crush_Description"		"Соедините соседние цветные статуи, атакуя их. С прочтением (W) процесс создания связей завершится."

		"DOTA_Tooltip_modifier_ice_sliding"							"Скользкий лед"

		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability"	"Snow Crab Spawner"
		"DOTA_Tooltip_ability_winterblight_crab_spawner_ability_Description"	"Производит снежного краба за определенный интервал"

		"DOTA_Tooltip_ability_winterblight_ogre_armor"				"Ogre Armor"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_Description"	"Снижает входящий урон и производит удар возмездия, будучи атакованным множество раз."
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage_resist"	"ПАССИВНОЕ СОПРОТИВЛЕНИЕ УРОНУ:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_damage"		"УРОН ОТ УДАРА:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_stun_duration"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ ОТ УДАРА:"
		"DOTA_Tooltip_ability_winterblight_ogre_armor_hits_for_counter"	"УДАРОВ ДО ВОЗМЕЗДИЯ:"

		"DOTA_Tooltip_ability_winterblight_raxxus_passive"			"Frost Brawler"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_Description"	"Пассивно увеличивает скорость передвижения. Все атаки наносят урон в небольшой области и замедляют задетые цели."
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_damage"		"УРОН ПО ОБЛАСТИ:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_loss"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_raxxus_passive_ms_self"		"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"

		"DOTA_Tooltip_ability_winterblight_generic_summon"			"Summon Minion"
		"DOTA_Tooltip_ability_winterblight_generic_summon_Description"	"Призывает питомца на поле битвы на сторону призвавшего."

		"DOTA_Tooltip_modifier_mountain_assassin_passive"			"Evasive"
		"DOTA_Tooltip_modifier_mountain_assassin_passive_Description"	"Шанс уклониться от атак"

		"DOTA_Tooltip_ability_assassin_jump"						"Winter Spiral"
		"DOTA_Tooltip_ability_assassin_jump_Description"			"Прыгает в выбранную точку."

		"DOTA_Tooltip_ability_assassin_charge_blast"				"Icicle Spark"
		"DOTA_Tooltip_ability_assassin_charge_blast_Description"	"Заряжается и выпускает множество сосулек в выбранную область. Враги, задетые волной получаюту урон и теряют ману."
		"DOTA_Tooltip_ability_assassin_charge_blast_range"			"РАССТОЯНИЕ:"
		"DOTA_Tooltip_ability_assassin_charge_blast_mana_burn"		"ПОТЕРИ МАНЫ:"

		"DOTA_Tooltip_ability_winterblight_wolf_ability"			"Pack Leader"
		"DOTA_Tooltip_ability_winterblight_wolf_ability_Description"	"Распространяет ауру, повышающую урон союзников."
		"DOTA_Tooltip_ability_winterblight_wolf_ability_attacK_damage_increase"				"ДОП. УРОН, %:"

		"DOTA_Tooltip_ability_winterblight_ice_magic_immune_ability"	"Shimmering Ice"
		"DOTA_Tooltip_ability_winterblight_ice_magic_immune_ability_Description"	"С некоторым интервалом получает иммунитет к магии."

		"DOTA_Tooltip_ability_mountain_glissade"					"Mountain Glissade"
		"DOTA_Tooltip_ability_mountain_glissade_Description"		"Совершает быстрый рывок в выбранную область."
		"DOTA_Tooltip_ability_mountain_glissade_range"				"РАССТОЯНИЕ:"

		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive"	"Winter's Sparkle"
		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive_Description"	"Сильно восстанавливает здоровье, если не получал урон 1.5 секунды."
		"DOTA_Tooltip_ability_winterblight_mountain_dweller_passive_health_regen"	"РЕГЕН. ЗДОРОВЬЯ %:"

		"DOTA_Tooltip_modifier_mountain_dweller_regen"			"Winter's Sparkle"
		"DOTA_Tooltip_modifier_mountain_dweller_regen_Description"	"Значительно увеличена регенерация здоровья"

		"DOTA_Tooltip_ability_winterblight_frostiok_passive"	"Icicle Skin"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_Description"	"Периодически выпускает сосульки в ближайших врагов. При попадании по врагу, сосулька накладывает неограниченный по количеству зарядов дебафф, который увеличивает получаемый пост-резистный урон. Действует только на героев."
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_damage"			"УРОН:"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_damage_amp_per_stack"	"ДОП. ПОСТ-РЕЗ. ЗА ЗАРЯД:"
		"DOTA_Tooltip_ability_winterblight_frostiok_passive_radius"			"РАДИУС АТАКИ:"

		"DOTA_Tooltip_modifier_frostiok_damage_amp"				"Icy Protrusion"
		"DOTA_Tooltip_modifier_frostiok_damage_amp_Description"	"Получает увеличенный пост-резистный урон."

		"DOTA_Tooltip_ability_winterblight_marauder_passive"	"Marauder"
		"DOTA_Tooltip_ability_winterblight_marauder_passive_Description"	"Атаки игнорируют броню."

		"DOTA_Tooltip_ability_frost_colossus_ground_slam"		"Avalanche"
		"DOTA_Tooltip_ability_frost_colossus_ground_slam_Description"	"После небольшой подготовки, ударяет землю, оглушая врагов в небольшой области."
		"DOTA_Tooltip_ability_frost_colossus_ground_slam_damage"	"УРОН:"

		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive"	"Icy Veins"
		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive_Description"	"При получении смертельного урона, заключает владельца способности в ледяной кокон, который снижает весь входящий урон до 0 и увеличивает регенерацию здоровья."
		"DOTA_Tooltip_ability_winterblight_frost_colossus_passive_stacks"	"ЗАРЯДОВ КОКОНА:"

		"DOTA_Tooltip_modifier_frostiok_immunity_stacks"			"Заряды Icy Veins"

		"DOTA_Tooltip_modifier_colossus_restore"					"Icy Veins"
		"DOTA_Tooltip_modifier_colossus_restore_Description"		"Невосприимчив к урону и восстанавливает здоровье"

		"DOTA_Tooltip_ability_winterblight_norgok_passive"			"Nor'Gok the Winter Rider"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_Description"	"Периодически получает бонус к скорости передвижения, скорости атаки и броне. Все враги в радиусе действия способности поражаются ледяным лучем каждые 0.03 секунды."
		"DOTA_Tooltip_ability_winterblight_norgok_passive_damage"	"УРОН ЛЕДЯНОГО ЛУЧА:"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_movespeed"	"ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_winterblight_norgok_passive_armor"	"ДОП. БРОНЯ:"

		"DOTA_Tooltip_ability_purging_ice"							"Purging Ice"
		"DOTA_Tooltip_ability_purging_ice_Description"				"Выпускает ледяной снаряд, наносящий урон и снимающий ВСЕ положительные эффекты"
		"DOTA_Tooltip_ability_purging_ice_damage"					"УРОН:"

		"DOTA_Tooltip_ability_winterblight_snowshaker_passive"		"Tenacity"
		"DOTA_Tooltip_ability_winterblight_snowshaker_passive_Description"	"Блокирует 100% урона, пока не перезаряжается. Перезарядка происходит после получения урона."

		"DOTA_Tooltip_modifier_snowshaker_passive"					"Tenacity"
		"DOTA_Tooltip_modifier_snowshaker_passive_Description"		"Невосприимчив к урону, пока перезаряжается способность."	

		"DOTA_Tooltip_ability_snowshaker_fissure"					"Mountain Fissure"
		"DOTA_Tooltip_ability_snowshaker_fissure_Description"		"Создаёт прямую стену из обломков скал, нанося урон и оглушая врагов."
		"DOTA_Tooltip_ability_snowshaker_fissure_range"				"РАДИУС:"
